Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
0.01	0.71364	-0.0040973	0.76	-0.000126077	35.682	-0.204865	38	-0.00630383
0.20995	0.711661	-0.00246345	0.759938	-0.00264648	35.583	-0.123172	37.9969	-0.132324
0.4099	0.710519	-0.00561843	0.759763	-0.00516413	35.526	-0.280922	37.9882	-0.258207
0.60985	0.710599	-0.00753921	0.759476	-0.00767643	35.5299	-0.376961	37.9738	-0.383821
0.8098	0.710404	-0.0107374	0.759077	-0.0101808	35.5202	-0.536871	37.9539	-0.509038
1.00975	0.709958	-0.0124181	0.758566	-0.0126745	35.4979	-0.620904	37.9283	-0.633727
1.2097	0.709802	-0.0158323	0.757943	-0.0151552	35.4901	-0.791616	37.8972	-0.757758
1.40965	0.708931	-0.0174224	0.757209	-0.0176201	35.4466	-0.871118	37.8604	-0.881003
1.6096	0.708543	-0.0201114	0.756364	-0.0200667	35.4271	-1.00557	37.8182	-1.00333
1.80955	0.707265	-0.0230128	0.755409	-0.0224925	35.3633	-1.15064	37.7705	-1.12462
2.0095	0.706311	-0.0253741	0.754344	-0.0248949	35.3156	-1.26871	37.7172	-1.24475
2.20945	0.706059	-0.027714	0.753171	-0.0272716	35.3029	-1.3857	37.6585	-1.36358
2.4094	0.704365	-0.0299893	0.751889	-0.0296199	35.2183	-1.49947	37.5945	-1.48099
2.60935	0.703886	-0.033174	0.750501	-0.0319374	35.1943	-1.6587	37.525	-1.59687
2.8093	0.701598	-0.0348841	0.749005	-0.0342218	35.0799	-1.74421	37.4503	-1.71109
3.00925	0.701685	-0.0370415	0.747405	-0.0364706	35.0842	-1.85208	37.3702	-1.82353
3.2092	0.698703	-0.0391784	0.7457	-0.0386815	34.9352	-1.95892	37.285	-1.93408
3.40915	0.697865	-0.0418536	0.743892	-0.0408523	34.8932	-2.09268	37.1946	-2.04261
3.6091	0.696487	-0.0442457	0.741982	-0.0429805	34.8244	-2.21228	37.0991	-2.14903
3.80905	0.694479	-0.0460641	0.739971	-0.045064	34.7239	-2.3032	36.9986	-2.2532
4.009	0.692938	-0.0488291	0.737861	-0.0471007	34.6469	-2.44146	36.893	-2.35503
4.20895	0.690646	-0.0501992	0.735652	-0.0490883	34.5323	-2.50996	36.7826	-2.45441
4.4089	0.689376	-0.0531946	0.733347	-0.0510247	34.4688	-2.65973	36.6673	-2.55124
4.60885	0.686465	-0.0544912	0.730946	-0.052908	34.3233	-2.72456	36.5473	-2.6454
4.8088	0.685348	-0.0576319	0.728452	-0.054736	34.2674	-2.8816	36.4226	-2.7368
5.00875	0.682639	-0.0590521	0.725865	-0.056507	34.1319	-2.9526	36.2932	-2.82535
5.2087	0.680856	-0.0607552	0.723187	-0.0582189	34.0428	-3.03776	36.1594	-2.91094
5.40865	0.678619	-0.0633061	0.720421	-0.0598699	33.931	-3.1653	36.0211	-2.99349
5.6086	0.675803	-0.064424	0.717567	-0.0614582	33.7901	-3.2212	35.8784	-3.07291
5.80855	0.674334	-0.0668847	0.714628	-0.0629821	33.7167	-3.34423	35.7314	-3.14911
6.0085	0.670284	-0.0680289	0.711605	-0.06444	33.5142	-3.40145	35.5802	-3.222
6.20845	0.66876	-0.0700882	0.7085	-0.0658302	33.438	-3.50441	35.425	-3.29151
6.4084	0.665324	-0.0718595	0.705314	-0.0671511	33.2662	-3.59298	35.2657	-3.35755
6.60835	0.664296	-0.0728591	0.702051	-0.0684012	33.2148	-3.64296	35.1025	-3.42006
6.8083	0.65951	-0.0743128	0.698711	-0.0695792	32.9755	-3.71564	34.9355	-3.47896
7.00825	0.657318	-0.0759812	0.695297	-0.0706836	32.8659	-3.79906	34.7648	-3.53418
7.2082	0.654627	-0.0780347	0.69181	-0.0717131	32.7313	-3.90173	34.5905	-3.58565
7.40815	0.651033	-0.0784881	0.688252	-0.0726664	32.5516	-3.92441	34.4126	-3.63332
7.6081	0.648479	-0.0799208	0.684627	-0.0735425	32.424	-3.99604	34.2313	-3.67712
7.80805	0.644038	-0.0811471	0.680935	-0.07434	32.2019	-4.05736	34.0467	-3.717
8.008	0.642402	-0.0824249	0.677178	-0.0750581	32.1201	-4.12125	33.8589	-3.7529
8.20795	0.63791	-0.0837311	0.673359	-0.0756956	31.8955	-4.18655	33.668	-3.78478
8.4079	0.635546	-0.084311	0.66948	-0.0762516	31.7773	-4.21555	33.474	-3.81258
8.60785	0.63123	-0.0858871	0.665543	-0.0767253	31.5615	-4.29435	33.2771	-3.83627
8.8078	0.628018	-0.085911	0.66155	-0.0771158	31.4009	-4.29555	33.0775	-3.85579
9.00775	0.624478	-0.0883357	0.657502	-0.0774224	31.2239	-4.41679	32.8751	-3.87112
9.2077	0.621163	-0.0877584	0.653403	-0.0776444	31.0581	-4.38792	32.6702	-3.88222
9.40765	0.617021	-0.0882879	0.649254	-0.0777812	30.851	-4.41439	32.4627	-3.88906
9.6076	0.613431	-0.0893946	0.645058	-0.0778321	30.6715	-4.46973	32.2529	-3.89161
9.80755	0.60943	-0.0886989	0.640816	-0.0777967	30.4715	-4.43495	32.0408	-3.88984
10.0075	0.606413	-0.0907873	0.636531	-0.0776745	30.3207	-4.53937	31.8265	-3.88373
10.2074	0.601953	-0.0885907	0.632204	-0.0774652	30.0976	-4.42954	31.6102	-3.87326
10.4074	0.598501	-0.0906883	0.627838	-0.0771684	29.925	-4.53441	31.3919	-3.85842
10.6074	0.59369	-0.0894191	0.623435	-0.0767838	29.6845	-4.47095	31.1717	-3.83919
10.8073	0.590969	-0.0914049	0.618997	-0.0763112	29.5484	-4.57024	30.9498	-3.81556
11.0073	0.586281	-0.0902704	0.614526	-0.0757504	29.314	-4.51352	30.7263	-3.78752
11.2072	0.582663	-0.0895757	0.610023	-0.0751014	29.1332	-4.47878	30.5012	-3.75507
11.4071	0.577785	-0.0896467	0.605492	-0.0743641	28.8893	-4.48234	30.2746	-3.7182
11.6071	0.572346	-0.0892857	0.600934	-0.0735384	28.6173	-4.46429	30.0467	-3.67692
11.8071	0.570595	-0.0903317	0.596352	-0.0726245	28.5297	-4.51659	29.8176	-3.63122
12.007	0.563205	-0.088577	0.591746	-0.0716224	28.1602	-4.42885	29.5873	-3.58112
12.207	0.562471	-0.0893153	0.587119	-0.0705322	28.1235	-4.46577	29.356	-3.52661
12.4069	0.554405	-0.0879947	0.582473	-0.0693543	27.7202	-4.39973	29.1237	-3.46771
12.6068	0.555096	-0.0880705	0.57781	-0.0680888	27.7548	-4.40353	28.8905	-3.40444
12.8068	0.546616	-0.0848791	0.573132	-0.0667359	27.3308	-4.24396	28.6566	-3.3368
13.0068	0.544004	-0.0850135	0.568441	-0.0652962	27.2002	-4.25067	28.422	-3.26481
13.2067	0.538486	-0.0831597	0.563738	-0.0637698	26.9243	-4.15798	28.1869	-3.18849
13.4067	0.534527	-0.0822858	0.559025	-0.0621573	26.7264	-4.11429	27.9512	-3.10786
13.6066	0.531554	-0.0804839	0.554304	-0.060459	26.5777	-4.0242	27.7152	-3.02295
13.8065	0.525516	-0.0793173	0.549577	-0.0586756	26.2758	-3.96587	27.4788	-2.93378
14.0065	0.523027	-0.076575	0.544845	-0.0568075	26.1514	-3.82875	27.2423	-2.84038
14.2065	0.515901	-0.0766159	0.540111	-0.0548553	25.795	-3.83079	27.0056	-2.74277
14.4064	0.514283	-0.0739831	0.535376	-0.0528196	25.7141	-3.69915	26.7688	-2.64098
14.6064	0.508562	-0.0729067	0.530641	-0.0507011	25.4281	-3.64534	26.532	-2.53505
14.8063	0.505045	-0.0691825	0.525908	-0.0485004	25.2522	-3.45913	26.2954	-2.42502
15.0062	0.499329	-0.0687233	0.521178	-0.0462182	24.9665	-3.43616	26.0589	-2.31091
15.2062	0.494504	-0.0658286	0.516454	-0.0438552	24.7252	-3.29143	25.8227	-2.19276
15.4062	0.49087	-0.064246	0.511737	-0.0414123	24.5435	-3.2123	25.5868	-2.07062
15.6061	0.48634	-0.0612291	0.507027	-0.0388902	24.317	-3.06146	25.3514	-1.94451
15.8061	0.482496	-0.058538	0.502327	-0.0362897	24.1248	-2.9269	25.1164	-1.81448
16.006	0.477233	-0.0568133	0.497638	-0.0336117	23.8616	-2.84067	24.8819	-1.68058
16.206	0.474007	-0.0531511	0.492962	-0.0308569	23.7003	-2.65755	24.6481	-1.54285
