Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-2.04132
0.109977	-2.4919e-05	-2.04134
0.119955	-5.22062e-05	-2.04137
0.129932	-8.18616e-05	-2.0414
0.13991	-0.000113885	-2.04143
0.149887	-0.000148277	-2.04147
0.159865	-0.000185037	-2.0415
0.169842	-0.000224165	-2.04154
0.17982	-0.000265661	-2.04158
0.189797	-0.000309525	-2.04163
0.199775	-0.000355758	-2.04167
0.209752	-0.000404359	-2.04172
0.21973	-0.000455328	-2.04177
0.229707	-0.000508665	-2.04183
0.239685	-0.00056437	-2.04188
0.249662	-0.000622444	-2.04194
0.25964	-0.000682885	-2.042
0.269617	-0.000745695	-2.04206
0.279595	-0.000810873	-2.04213
0.289572	-0.00087842	-2.0422
0.29955	-0.000948334	-2.04227
0.309527	-0.00102062	-2.04234
0.319505	-0.00109527	-2.04241
0.329482	-0.00117229	-2.04249
0.33946	-0.00125168	-2.04257
0.349437	-0.00133343	-2.04265
0.359415	-0.00141755	-2.04274
0.369392	-0.00150405	-2.04282
0.37937	-0.00159291	-2.04291
0.389347	-0.00168414	-2.043
0.399325	-0.00177773	-2.0431
0.409302	-0.0018737	-2.04319
0.41928	-0.00197203	-2.04329
0.429257	-0.00207273	-2.04339
0.439235	-0.0021758	-2.04349
0.449212	-0.00228124	-2.0436
0.45919	-0.00238905	-2.04371
0.469167	-0.00249923	-2.04382
0.479145	-0.00261177	-2.04393
0.489122	-0.00272668	-2.04405
0.4991	-0.00284396	-2.04416
0.509077	-0.00296361	-2.04428
0.519055	-0.00308563	-2.0444
0.529032	-0.00321001	-2.04453
0.53901	-0.00333677	-2.04466
0.548987	-0.00346589	-2.04478
0.558965	-0.00359738	-2.04492
0.568942	-0.00373124	-2.04505
0.57892	-0.00386746	-2.04519
0.588897	-0.00400606	-2.04532
0.598875	-0.00414702	-2.04547
0.608852	-0.00429036	-2.04561
0.61883	-0.00443606	-2.04575
0.628807	-0.00458413	-2.0459
0.638785	-0.00473456	-2.04605
0.648762	-0.00488737	-2.04621
0.65874	-0.00504255	-2.04636
0.668717	-0.00520009	-2.04652
0.678695	-0.00536	-2.04668
0.688672	-0.00552228	-2.04684
0.69865	-0.00568693	-2.04701
0.708627	-0.00585395	-2.04717
0.718605	-0.00602333	-2.04734
0.728582	-0.00619509	-2.04751
0.73856	-0.00636921	-2.04769
0.748537	-0.0065457	-2.04786
0.758515	-0.00672456	-2.04804
0.768492	-0.00690579	-2.04822
0.77847	-0.00708939	-2.04841
0.788447	-0.00727536	-2.04859
0.798425	-0.00746369	-2.04878
0.808402	-0.0076544	-2.04897
0.81838	-0.00784747	-2.04917
0.828357	-0.00804291	-2.04936
0.838335	-0.00824072	-2.04956
0.848312	-0.0084409	-2.04976
0.85829	-0.00864344	-2.04996
0.868267	-0.00884836	-2.05017
0.878245	-0.00905565	-2.05037
0.888222	-0.0092653	-2.05058
0.8982	-0.00947732	-2.0508
0.908177	-0.00969171	-2.05101
0.918155	-0.00990847	-2.05123
0.928132	-0.0101276	-2.05145
0.93811	-0.0103491	-2.05167
0.948087	-0.010573	-2.05189
0.958065	-0.0107992	-2.05212
0.968042	-0.0110278	-2.05235
0.97802	-0.0112588	-2.05258
0.987997	-0.0114921	-2.05281
0.997974	-0.0117278	-2.05305
1.00795	-0.0119659	-2.05328
1.01793	-0.0122064	-2.05353
1.02791	-0.0124492	-2.05377
1.03788	-0.0126944	-2.05401
1.04786	-0.0129419	-2.05426
1.05784	-0.0131918	-2.05451
1.06782	-0.0134441	-2.05476
1.07779	-0.0136988	-2.05502
1.08777	-0.0139558	-2.05527
1.09775	-0.0142152	-2.05553
1.10773	-0.014477	-2.0558
1.1177	-0.0147411	-2.05606
1.12768	-0.0150076	-2.05633
1.13766	-0.0152765	-2.0566
1.14764	-0.0155478	-2.05687
1.15761	-0.0158214	-2.05714
1.16759	-0.0160974	-2.05742
1.17757	-0.0163757	-2.05769
1.18755	-0.0166564	-2.05798
1.19752	-0.0169395	-2.05826
1.2075	-0.017225	-2.05854
1.21748	-0.0175128	-2.05883
1.22746	-0.017803	-2.05912
1.23743	-0.0180956	-2.05941
