Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-9.3352
0.109977	-3.92817e-06	-9.3352
0.119955	-8.22966e-06	-9.33521
0.129932	-1.29045e-05	-9.33521
0.13991	-1.79526e-05	-9.33522
0.149887	-2.33742e-05	-9.33522
0.159865	-2.9169e-05	-9.33523
0.169842	-3.53372e-05	-9.33524
0.17982	-4.18788e-05	-9.33524
0.189797	-4.87937e-05	-9.33525
0.199775	-5.6082e-05	-9.33526
0.209752	-6.37437e-05	-9.33526
0.21973	-7.17788e-05	-9.33527
0.229707	-8.01872e-05	-9.33528
0.239685	-8.89691e-05	-9.33529
0.249662	-9.81244e-05	-9.3353
0.25964	-0.000107653	-9.33531
0.269617	-0.000117555	-9.33532
0.279595	-0.000127831	-9.33533
0.289572	-0.00013848	-9.33534
0.29955	-0.000149503	-9.33535
0.309527	-0.000160899	-9.33536
0.319505	-0.000172668	-9.33537
0.329482	-0.000184811	-9.33538
0.33946	-0.000197328	-9.3354
0.349437	-0.000210218	-9.33541
0.359415	-0.000223481	-9.33542
0.369392	-0.000237119	-9.33544
0.37937	-0.000251129	-9.33545
0.389347	-0.000265514	-9.33547
0.399325	-0.000280272	-9.33548
0.409302	-0.000295403	-9.3355
0.41928	-0.000310909	-9.33551
0.429257	-0.000326787	-9.33553
0.439235	-0.00034304	-9.33554
0.449212	-0.000359666	-9.33556
0.45919	-0.000376666	-9.33558
0.469167	-0.00039404	-9.33559
0.479145	-0.000411787	-9.33561
0.489122	-0.000429909	-9.33563
0.4991	-0.000448404	-9.33565
0.509077	-0.000467272	-9.33567
0.519055	-0.000486515	-9.33569
0.529032	-0.000506131	-9.33571
0.53901	-0.000526122	-9.33573
0.548987	-0.000546486	-9.33575
0.558965	-0.000567224	-9.33577
0.568942	-0.000588336	-9.33579
0.57892	-0.000609822	-9.33581
0.588897	-0.000631682	-9.33583
0.598875	-0.000653916	-9.33585
0.608852	-0.000676524	-9.33588
0.61883	-0.000699506	-9.3359
0.628807	-0.000722862	-9.33592
0.638785	-0.000746593	-9.33595
0.648762	-0.000770697	-9.33597
0.65874	-0.000795175	-9.336
0.668717	-0.000820028	-9.33602
0.678695	-0.000845255	-9.33605
0.688672	-0.000870856	-9.33607
0.69865	-0.000896832	-9.3361
0.708627	-0.000923181	-9.33612
0.718605	-0.000949905	-9.33615
0.728582	-0.000977003	-9.33618
0.73856	-0.00100448	-9.3362
0.748537	-0.00103232	-9.33623
0.758515	-0.00106054	-9.33626
0.768492	-0.00108914	-9.33629
0.77847	-0.00111811	-9.33632
0.788447	-0.00114746	-9.33635
0.798425	-0.00117718	-9.33638
0.808402	-0.00120727	-9.33641
0.81838	-0.00123774	-9.33644
0.828357	-0.00126858	-9.33647
0.838335	-0.0012998	-9.3365
0.848312	-0.00133139	-9.33653
0.85829	-0.00136336	-9.33656
0.868267	-0.0013957	-9.3366
0.878245	-0.00142842	-9.33663
0.888222	-0.00146151	-9.33666
0.8982	-0.00149498	-9.3367
0.908177	-0.00152882	-9.33673
0.918155	-0.00156304	-9.33676
0.928132	-0.00159763	-9.3368
0.93811	-0.0016326	-9.33683
0.948087	-0.00166794	-9.33687
0.958065	-0.00170366	-9.3369
0.968042	-0.00173975	-9.33694
0.97802	-0.00177622	-9.33698
0.987997	-0.00181306	-9.33701
0.997974	-0.00185028	-9.33705
1.00795	-0.00188787	-9.33709
1.01793	-0.00192584	-9.33713
1.02791	-0.00196418	-9.33716
1.03788	-0.0020029	-9.3372
1.04786	-0.002042	-9.33724
1.05784	-0.00208147	-9.33728
