Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-0.0108795	0.0684694	-8.47333e-07	-0.0766692
0.20995	0.00748658	-1.61824	-0.000373476	-1.60968
0.4099	0.00549591	-3.17192	-0.00142338	-3.14273
0.60985	0.00147579	-4.70795	-0.00314993	-4.67585
0.8098	0.00408407	-6.26824	-0.0055521	-6.20909
1.00975	-0.00545085	-7.81787	-0.00862848	-7.74249
1.2097	-0.0142931	-9.35172	-0.0123772	-9.27607
1.40965	-0.0125251	-10.8698	-0.0167961	-10.8099
1.6096	-0.0152843	-12.4268	-0.0218824	-12.344
1.80955	-0.0210576	-13.9784	-0.0276332	-13.8783
2.0095	-0.027812	-15.5095	-0.0340449	-15.413
2.20945	-0.0376453	-17.0429	-0.0411136	-16.9481
2.4094	-0.0506661	-18.5509	-0.0488352	-18.4835
2.60935	-0.0481625	-20.0403	-0.0572048	-20.0194
2.8093	-0.0648585	-21.5488	-0.0662172	-21.5557
3.00925	-0.064231	-23.0658	-0.075867	-23.0925
3.2092	-0.0708443	-24.5827	-0.0861482	-24.6298
3.40915	-0.0715756	-26.1045	-0.0970542	-26.1676
3.6091	-0.0786845	-27.6588	-0.108578	-27.706
3.80905	-0.0944428	-29.1743	-0.120713	-29.245
4.009	-0.10101	-30.6846	-0.133451	-30.7845
4.20895	-0.103676	-32.2012	-0.146783	-32.3246
4.4089	-0.117653	-33.7104	-0.160701	-33.8653
4.60885	-0.130617	-35.2492	-0.175197	-35.4066
4.8088	-0.130719	-36.6921	-0.19026	-36.9486
5.00875	-0.14294	-38.2323	-0.20588	-38.4911
5.2087	-0.14955	-39.744	-0.222047	-40.0343
5.40865	-0.158978	-41.2811	-0.23875	-41.5781
5.6086	-0.170394	-42.7669	-0.255977	-43.1226
5.80855	-0.176836	-44.2687	-0.273718	-44.6676
6.0085	-0.19136	-45.7772	-0.291959	-46.2133
6.20845	-0.206668	-47.2412	-0.310687	-47.7595
6.4084	-0.227355	-48.7981	-0.32989	-49.3063
6.60835	-0.234558	-50.2148	-0.349553	-50.8536
6.8083	-0.250454	-51.7737	-0.369663	-52.4015
7.00825	-0.260379	-53.2339	-0.390205	-53.9498
7.2082	-0.267792	-54.7154	-0.411164	-55.4986
7.40815	-0.28779	-56.2435	-0.432525	-57.0478
7.6081	-0.299981	-57.7231	-0.454271	-58.5974
7.80805	-0.321948	-59.1878	-0.476387	-60.1473
8.008	-0.333211	-60.6432	-0.498855	-61.6975
8.20795	-0.344667	-62.1325	-0.521659	-63.2479
8.4079	-0.35452	-63.5848	-0.544781	-64.7985
8.60785	-0.377679	-65.5164	-0.568203	-66.3492
8.8078	-0.389175	-66.6225	-0.591907	-67.8999
9.00775	-0.401345	-68.0583	-0.615875	-69.4507
9.2077	-0.422785	-69.4956	-0.640087	-71.0013
9.40765	-0.432099	-70.9574	-0.664525	-72.5518
9.6076	-0.451736	-72.4463	-0.68917	-74.102
9.80755	-0.482703	-73.8854	-0.714	-75.6518
10.0075	-0.484316	-75.3781	-0.738997	-77.2013
10.2074	-0.521107	-76.9334	-0.76414	-78.7502
10.4074	-0.527971	-78.3766	-0.789409	-80.2985
10.6074	-0.556904	-79.6333	-0.814783	-81.846
10.8073	-0.564938	-81.0771	-0.840242	-83.3928
11.0073	-0.575517	-82.5145	-0.865766	-84.9386
11.2072	-0.599315	-83.9786	-0.891332	-86.4833
11.4071	-0.622983	-85.3742	-0.91692	-88.0269
11.6071	-0.640572	-86.8978	-0.94251	-89.5691
11.8071	-0.64981	-88.2221	-0.968079	-91.11
12.007	-0.676744	-89.884	-0.993609	-92.6493
12.207	-0.682779	-91.2223	-1.01908	-94.1869
12.4069	-0.703095	-92.7376	-1.04446	-95.7227
12.6068	-0.719571	-93.9304	-1.06975	-97.2565
12.8068	-0.746719	-95.4988	-1.09491	-98.7882
13.0068	-0.753197	-96.7942	-1.11992	-100.318
13.2067	-0.785327	-98.2446	-1.14478	-101.845
13.4067	-0.787223	-99.667	-1.16945	-103.369
13.6066	-0.744109	-97.1735	-1.19392	-104.891
13.8065	-0.772929	-99.188	-1.21816	-106.41
14.0065	-0.80576	-101.033	-1.24217	-107.926
14.2065	-0.826849	-103.112	-1.26592	-109.439
14.4064	-0.861279	-104.903	-1.28939	-110.948
14.6064	-0.891191	-107.016	-1.31257	-112.454
14.8063	-0.932172	-108.975	-1.33544	-113.956
15.0062	-0.963977	-111.083	-1.35798	-115.455
15.2062	-0.994441	-112.745	-1.38018	-116.949
15.4062	-1.00488	-114.109	-1.40202	-118.439
15.6061	-1.03625	-115.441	-1.42348	-119.925
15.8061	-1.05548	-116.775	-1.44457	-121.407
16.006	-1.06968	-118.022	-1.46525	-122.883
16.206	-1.09409	-119.327	-1.48551	-124.355
16.4059	-1.10528	-120.707	-1.50535	-125.822
16.6059	-1.14145	-122.02	-1.52476	-127.284
16.8058	-1.15675	-123.412	-1.54372	-128.74
17.0057	-1.17946	-124.853	-1.56222	-130.191
17.2057	-1.19834	-126.122	-1.58025	-131.636
17.4057	-1.21773	-127.497	-1.59781	-133.075
17.6056	-1.26088	-128.809	-1.61488	-134.508
17.8056	-1.27128	-130.263	-1.63146	-135.935
18.0055	-1.30829	-131.509	-1.64755	-137.356
18.2054	-1.31951	-132.879	-1.66313	-138.77
18.4054	-1.35249	-134.172	-1.6782	-140.178
18.6054	-1.36503	-135.519	-1.69276	-141.579
18.8053	-1.39024	-136.899	-1.70681	-142.973
19.0053	-1.41455	-138.141	-1.72034	-144.36
19.2052	-1.42979	-139.518	-1.73334	-145.739
19.4051	-1.46935	-140.839	-1.74583	-147.112
19.6051	-1.46912	-142.098	-1.75779	-148.476
19.8051	-1.50529	-143.471	-1.76922	-149.834
20.005	-1.51492	-144.696	-1.78013	-151.183
20.205	-1.55654	-146.076	-1.79052	-152.525
20.4049	-1.57553	-147.329	-1.80039	-153.859
20.6048	-1.59034	-148.646	-1.80975	-155.184
20.8048	-1.61089	-149.916	-1.81858	-156.502
21.0048	-1.64614	-151.185	-1.82691	-157.811
21.2047	-1.6687	-152.601	-1.83472	-159.112
21.4047	-1.69105	-153.817	-1.84204	-160.404
21.6046	-1.69612	-155.12	-1.84885	-161.688
21.8045	-1.75459	-156.315	-1.85517	-162.964
22.0045	-1.75171	-157.733	-1.861	-164.23
22.2045	-1.79488	-158.936	-1.86635	-165.488
22.4044	-1.79098	-160.185	-1.87122	-166.737
22.6044	-1.83823	-161.474	-1.87563	-167.977
22.8043	-1.84423	-162.642	-1.87957	-169.208
23.0042	-1.86822	-163.965	-1.88306	-170.43
23.2042	-1.89592	-165.18	-1.8861	-171.643
23.4042	-1.9047	-166.365	-1.8887	-172.847
23.6041	-1.94649	-167.646	-1.89088	-174.042
