Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-15.5393	-179.043	-17.306	-179.966
0.20995	-15.47	-179.428	-17.303	-179.282
0.4099	-15.4286	-178.7	-17.2943	-178.6
0.60985	-15.4301	-178.255	-17.2802	-177.922
0.8098	-15.4203	-177.517	-17.2605	-177.249
1.00975	-15.4028	-177.132	-17.2355	-176.582
1.2097	-15.3925	-176.347	-17.2051	-175.923
1.40965	-15.3595	-175.99	-17.1694	-175.275
1.6096	-15.341	-175.378	-17.1287	-174.637
1.80955	-15.2906	-174.733	-17.0829	-174.012
2.0095	-15.2521	-174.21	-17.0323	-173.4
2.20945	-15.2374	-173.683	-16.9769	-172.804
2.4094	-15.173	-173.2	-16.917	-172.224
2.60935	-15.1471	-172.492	-16.8527	-171.66
2.8093	-15.064	-172.158	-16.7842	-171.115
3.00925	-15.0597	-171.675	-16.7117	-170.589
3.2092	-14.952	-171.27	-16.6353	-170.082
3.40915	-14.9141	-170.701	-16.5552	-169.595
3.6091	-14.8591	-170.212	-16.4716	-169.129
3.80905	-14.7855	-169.869	-16.3848	-168.684
4.009	-14.7235	-169.312	-16.2949	-168.261
4.20895	-14.6429	-169.082	-16.202	-167.86
4.4089	-14.5886	-168.479	-16.1064	-167.481
4.60885	-14.4891	-168.29	-16.0082	-167.124
4.8088	-14.4389	-167.662	-15.9076	-166.79
5.00875	-14.3463	-167.449	-15.8048	-166.478
5.2087	-14.2819	-167.152	-15.6999	-166.188
5.40865	-14.1995	-166.697	-15.5931	-165.92
5.6086	-14.1065	-166.559	-15.4846	-165.674
5.80855	-14.0489	-166.107	-15.3745	-165.451
6.0085	-13.9191	-166.01	-15.2629	-165.248
6.20845	-13.8625	-165.648	-15.1499	-165.068
6.4084	-13.7498	-165.411	-15.0358	-164.908
6.60835	-13.7139	-165.248	-14.9206	-164.769
6.8083	-13.5641	-165.124	-14.8043	-164.651
7.00825	-13.491	-164.873	-14.6873	-164.552
7.2082	-13.4016	-164.568	-14.5694	-164.474
7.40815	-13.2949	-164.603	-14.4509	-164.414
7.6081	-13.214	-164.416	-14.3319	-164.374
7.80805	-13.0807	-164.332	-14.2123	-164.352
8.008	-13.0278	-164.147	-14.0924	-164.349
8.20795	-12.8946	-164.053	-13.9721	-164.363
8.4079	-12.8255	-164.024	-13.8515	-164.394
8.60785	-12.6978	-163.876	-13.7308	-164.442
8.8078	-12.6091	-163.975	-13.6099	-164.507
9.00775	-12.5005	-163.65	-13.489	-164.588
9.2077	-12.4132	-163.859	-13.368	-164.684
9.40765	-12.2989	-163.893	-13.2471	-164.796
9.6076	-12.1975	-163.808	-13.1262	-164.923
9.80755	-12.0942	-164.051	-13.0055	-165.064
10.0075	-12.005	-163.776	-12.885	-165.22
10.2074	-11.8976	-164.287	-12.7646	-165.389
10.4074	-11.7984	-164.025	-12.6445	-165.572
10.6074	-11.6792	-164.377	-12.5247	-165.767
10.8073	-11.6008	-164.115	-12.4052	-165.975
11.0073	-11.4855	-164.434	-12.286	-166.196
11.2072	-11.3963	-164.647	-12.1672	-166.429
11.4071	-11.2728	-164.761	-12.0487	-166.673
11.6071	-11.1378	-164.957	-11.9307	-166.929
11.8071	-11.0902	-164.829	-11.8131	-167.196
12.007	-10.9137	-165.293	-11.696	-167.473
12.207	-10.893	-165.191	-11.5793	-167.761
12.4069	-10.7002	-165.589	-11.4632	-168.059
12.6068	-10.7168	-165.561	-11.3475	-168.367
12.8068	-10.5218	-166.255	-11.2324	-168.685
13.0068	-10.4585	-166.288	-11.1178	-169.012
13.2067	-10.3321	-166.692	-11.0037	-169.349
13.4067	-10.2404	-166.905	-10.8902	-169.694
13.6066	-10.1751	-167.243	-10.7773	-170.047
13.8065	-10.0359	-167.534	-10.665	-170.41
14.0065	-9.98473	-168.001	-10.5533	-170.78
14.2065	-9.81837	-168.113	-10.4421	-171.158
14.4064	-9.78722	-168.542	-10.3316	-171.544
14.6064	-9.65748	-168.795	-10.2217	-171.938
14.8063	-9.58481	-169.411	-10.1125	-172.338
15.0062	-9.45495	-169.56	-10.0039	-172.746
15.2062	-9.35096	-170.058	-9.89589	-173.161
15.4062	-9.27167	-170.34	-9.78857	-173.583
15.6061	-9.17494	-170.843	-9.68191	-174.011
15.8061	-9.09315	-171.285	-9.57592	-174.446
16.006	-8.97823	-171.595	-9.4706	-174.887
16.206	-8.91191	-172.165	-9.36596	-175.333
16.4059	-8.77486	-172.47	-9.262	-175.786
16.6059	-8.71818	-172.919	-9.15872	-176.245
16.8058	-8.61822	-173.394	-9.05615	-176.709
17.0057	-8.51007	-173.98	-8.95426	-177.178
17.2057	-8.42453	-174.305	-8.85309	-177.653
17.4057	-8.33376	-174.627	-8.75261	-178.133
17.6056	-8.26845	-175.37	-8.65285	-178.618
17.8056	-8.15861	-175.695	-8.55381	-179.107
18.0055	-8.07159	-176.256	-8.45548	-179.602
18.2054	-7.99344	-176.586	-8.35788	179.899
18.4054	-7.89791	-177.292	-8.26101	179.396
18.6054	-7.80195	-177.654	-8.16486	178.888
18.8053	-7.69921	-178.168	-8.06945	178.376
19.0053	-7.6439	-178.738	-7.97478	177.86
19.2052	-7.53763	-179.198	-7.88085	177.34
19.4051	-7.44505	-179.892	-7.78767	176.816
19.6051	-7.3731	179.832	-7.69523	176.288
19.8051	-7.25789	178.933	-7.60354	175.757
20.005	-7.20356	178.876	-7.51261	175.222
20.205	-7.10561	177.872	-7.42243	174.684
20.4049	-7.02853	177.506	-7.33302	174.143
20.6048	-6.94298	176.803	-7.24436	173.598
20.8048	-6.85881	176.361	-7.15647	173.051
21.0048	-6.8271	175.643	-7.06935	172.5
21.2047	-6.68853	174.854	-6.983	171.947
21.4047	-6.63972	174.342	-6.89742	171.391
21.6046	-6.50417	173.997	-6.81261	170.832
21.8045	-6.53332	172.93	-6.72858	170.271
22.0045	-6.36724	172.574	-6.64533	169.707
22.2045	-6.35503	171.611	-6.56286	169.141
22.4044	-6.21955	171.489	-6.48118	168.572
22.6044	-6.19498	170.312	-6.40027	168.002
22.8043	-6.09441	170.148	-6.32016	167.429
23.0042	-5.99734	169.138	-6.24083	166.855
23.2042	-5.95076	168.553	-6.16229	166.278
23.4042	-5.86179	168.15	-6.08453	165.7
23.6041	-5.83833	167.209	-6.00757	165.12
23.8041	-5.74082	166.696	-5.9314	164.539
24.004	-5.67533	165.82	-5.85603	163.956
24.2039	-5.61498	165.342	-5.78144	163.371
24.4039	-5.5275	164.548	-5.70766	162.785
24.6039	-5.48934	163.801	-5.63466	162.198
24.8038	-5.36814	163.171	-5.56246	161.61
25.0038	-5.34262	162.428	-5.49105	161.021
25.2037	-5.28745	161.787	-5.42044	160.43
25.4036	-5.20508	160.738	-5.35062	159.839
25.6036	-5.15526	160.312	-5.2816	159.247
25.8036	-5.04267	159.247	-5.21337	158.654
26.0035	-5.03705	158.98	-5.14593	158.061
26.2035	-4.93616	157.847	-5.07929	157.467
26.4034	-4.91288	157.228	-5.01343	156.873
26.6033	-4.81212	156.332	-4.94837	156.278
26.8033	-4.77778	155.637	-4.88409	155.683
27.0033	-4.72042	155.244	-4.8206	155.087
27.2032	-4.68051	153.942	-4.75789	154.491
27.4032	-4.60266	153.507	-4.69597	153.896
27.6031	-4.54373	152.829	-4.63483	153.3
27.803	-4.53504	152.038	-4.57446	152.704
28.003	-4.45038	151.485	-4.51488	152.109
28.203	-4.41341	150.32	-4.45606	151.513
28.4029	-4.3695	150.011	-4.39802	150.918
28.6029	-4.28738	148.662	-4.34075	150.323
28.8028	-4.29163	148.102	-4.28424	149.729
29.0027	-4.14709	147.33	-4.22849	149.135
29.2027	-4.22675	146.404	-4.17351	148.542
29.4027	-4.06346	145.89	-4.11927	147.949
29.6026	-4.14747	144.594	-4.06579	147.357
29.8026	-4.03421	144.163	-4.01306	146.766
30.0025	-4.00184	143.101	-3.96107	146.176
30.2024	-3.90532	142.87	-3.90981	145.586
30.4024	-3.89498	142.235	-3.8593	144.998
30.6024	-3.91083	140.745	-3.80951	144.41
30.8023	-3.74348	140.724	-3.76045	143.824
31.0023	-3.73527	139.843	-3.71211	143.238
31.2022	-3.74868	139.998	-3.66449	142.654
31.4021	-3.75479	137.849	-3.61757	142.071
31.6021	-3.72888	137.787	-3.57137	141.49
31.8021	-3.55032	136.298	-3.52586	140.909
32.002	-3.68021	136.891	-3.48105	140.331
32.2019	-3.58635	134.642	-3.43693	139.753
32.4019	-3.5105	134.316	-3.39349	139.178
32.6018	-3.49662	133.673	-3.35073	138.603
