Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
0.01	-0.167099	-0.00279053	-0.136364	-8.14028e-05
0.20995	-0.168453	-0.00168166	-0.136401	-0.00170884
0.4099	-0.169223	-0.00384047	-0.136507	-0.00333515
0.60985	-0.169159	-0.0051529	-0.13668	-0.00495923
0.8098	-0.169268	-0.00734032	-0.136922	-0.00658
1.00975	-0.169558	-0.00849358	-0.137231	-0.00819638
1.2097	-0.169626	-0.0108304	-0.137609	-0.00980729
1.40965	-0.1702	-0.0119301	-0.138054	-0.0114116
1.6096	-0.170426	-0.0137772	-0.138567	-0.0130083
1.80955	-0.171251	-0.0157877	-0.139149	-0.0145962
2.0095	-0.17186	-0.0174264	-0.139797	-0.0161742
2.20945	-0.171983	-0.0190383	-0.140514	-0.0177413
2.4094	-0.173094	-0.0206413	-0.141298	-0.0192964
2.60935	-0.173343	-0.0228445	-0.14215	-0.0208382
2.8093	-0.174872	-0.0240858	-0.143069	-0.0223658
3.00925	-0.174749	-0.0255714	-0.144056	-0.0238779
3.2092	-0.176743	-0.0271401	-0.14511	-0.0253736
3.40915	-0.177235	-0.0290197	-0.146231	-0.0268515
3.6091	-0.178105	-0.0307259	-0.147419	-0.0283107
3.80905	-0.179432	-0.0320626	-0.148674	-0.0297499
4.009	-0.180396	-0.034046	-0.149995	-0.031168
4.20895	-0.181937	-0.0350944	-0.151384	-0.0325638
4.4089	-0.182697	-0.0372404	-0.152838	-0.0339362
4.60885	-0.184676	-0.038278	-0.154359	-0.0352841
4.8088	-0.185313	-0.0405328	-0.155946	-0.0366061
5.00875	-0.187147	-0.0416628	-0.157598	-0.0379012
5.2087	-0.188317	-0.0429522	-0.159317	-0.0391682
5.40865	-0.189763	-0.0448698	-0.1611	-0.0404058
5.6086	-0.191697	-0.0458132	-0.162949	-0.0416128
5.80855	-0.192602	-0.0476409	-0.164862	-0.042788
6.0085	-0.195418	-0.0486881	-0.16684	-0.0439302
6.20845	-0.196385	-0.0502483	-0.168882	-0.0450382
6.4084	-0.198735	-0.051726	-0.170989	-0.0461106
6.60835	-0.199411	-0.0525075	-0.173158	-0.0471463
6.8083	-0.202763	-0.0538597	-0.175391	-0.048144
7.00825	-0.204238	-0.0552093	-0.177687	-0.0491024
7.2082	-0.206049	-0.0568791	-0.180046	-0.0500202
7.40815	-0.208632	-0.0574569	-0.182466	-0.0508962
7.6081	-0.210395	-0.0586818	-0.184948	-0.051729
