Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.5	0	0	-2.26	-2.04425
1	-0.17	-0.00913781	-2.43	-2.05338
1.5	-0.04	-0.0243691	-2.3	-2.06861
2	-0.16	-0.0456961	-2.42	-2.08994
2.5	-0.76	-0.0731214	-3.02	-2.11737
3.08	-0.64	-0.112579	-2.9	-2.15682
3.58	-0.24	-0.153185	-2.5	-2.19743
4.08	-0.5	-0.199898	-2.76	-2.24414
4.75	-0.31	-0.272062	-2.57	-2.31631
5.25	-0.99	-0.333055	-3.25	-2.3773
5.75	-1.06	-0.40014	-3.32	-2.44439
6.25	-0.86	-0.473307	-3.12	-2.51755
6.83	-0.93	-0.565777	-3.19	-2.61002
7.33	-1.18	-0.652017	-3.44	-2.69626
7.83	-0.77	-0.744266	-3.03	-2.78851
8.33	-0.86	-0.842487	-3.12	-2.88673
8.83	-1.28	-0.946636	-3.54	-2.99088
9.33	-2.19	-1.05666	-4.45	-3.10091
9.83	-1.53	-1.1725	-3.79	-3.21674
10.33	-2.3	-1.29408	-4.56	-3.33832
10.83	-2	-1.42132	-4.26	-3.46556
11.17	-1.84	-1.51103	-4.1	-3.55527
11.83	-1.39	-1.69242	-3.65	-3.73666
12.33	-2.58	-1.83607	-4.84	-3.88032
12.83	-2.74	-1.98497	-5	-4.02922
13.25	-2.71	-2.11402	-4.97	-4.15826
13.83	-2.81	-2.29802	-5.07	-4.34226
14.33	-2.98	-2.46189	-5.24	-4.50613
14.83	-2.14	-2.63046	-4.4	-4.6747
15.5	-1.91	-2.86345	-4.17	-4.90769
16	-2.07	-3.04241	-4.33	-5.08666
16.5	-4.35	-3.22555	-6.61	-5.2698
17.17	-3.84	-3.4772	-6.1	-5.52144
17.5	-4.14	-3.60366	-6.4	-5.6479
18	-3.7	-3.79828	-5.96	-5.84253
18.5	-3.36	-3.99639	-5.62	-6.04064
19	-2.87	-4.19781	-5.13	-6.24206
19.67	-2.84	-4.47259	-5.1	-6.51684
20.17	-3.97	-4.68108	-6.23	-6.72532
20.67	-3.68	-4.89229	-5.94	-6.93653
21.17	-3.3	-5.10607	-5.56	-7.15031
21.67	-3.6	-5.32225	-5.86	-7.36649
22.17	-3.72	-5.54066	-5.98	-7.58491
22.67	-3.79	-5.76116	-6.05	-7.8054
23.17	-3.89	-5.98358	-6.15	-8.02783
23.67	-5.11	-6.20778	-7.37	-8.25203
24.17	-5.53	-6.43361	-7.79	-8.47786
24.67	-5.62	-6.66094	-7.88	-8.70518
25.17	-5.78	-6.88962	-8.04	-8.93387
25.67	-5.18	-7.11953	-7.44	-9.16378
26	-6.25	-7.27189	-8.51	-9.31614
26.67	-6.4	-7.58256	-8.66	-9.6268
27.25	-6.59	-7.85277	-8.85	-9.89701
27.75	-7.09	-8.08652	-9.35	-10.1308
28.25	-7.44	-8.32092	-9.7	-10.3652
28.92	-6.85	-8.63585	-9.11	-10.6801
29.25	-6.8	-8.79126	-9.06	-10.8355
29.75	-6.78	-9.02702	-9.04	-11.0713
30.42	-8.83	-9.34336	-11.09	-11.3876
30.92	-8.8	-9.57966	-11.06	-11.6239
