Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-9.57	-9.33542
1	-0.22	-0.00192966	-9.79	-9.33735
1.5	-0.11	-0.004641	-9.68	-9.34006
1.83	-0.07	-0.00702893	-9.64	-9.34245
2.33	-0.2	-0.0115599	-9.77	-9.34698
2.92	-0.28	-0.0183345	-9.85	-9.35375
3.42	-0.25	-0.0253011	-9.82	-9.36072
4.08	-0.29	-0.0362475	-9.86	-9.37166
4.58	-0.39	-0.045891	-9.96	-9.38131
5.08	-0.33	-0.0567233	-9.9	-9.39214
5.42	-0.42	-0.0647809	-9.99	-9.4002
6.08	-0.28	-0.0820564	-9.85	-9.41747
6.83	-0.28	-0.104381	-9.85	-9.4398
7.33	-0.28	-0.12091	-9.85	-9.45633
7.67	-0.33	-0.132923	-9.9	-9.46834
8.33	-0.46	-0.158085	-10.03	-9.4935
8.83	-0.6	-0.178813	-10.17	-9.51423
9.33	-0.86	-0.201029	-10.43	-9.53645
9.83	-0.57	-0.224779	-10.14	-9.5602
10.33	-0.61	-0.250116	-10.18	-9.58553
10.83	-0.8	-0.277093	-10.37	-9.61251
11.83	-1.06	-0.336192	-10.63	-9.67161
12.17	-1.11	-0.357915	-10.68	-9.69333
12.83	-1.08	-0.402556	-10.65	-9.73797
13.33	-1.06	-0.438622	-10.63	-9.77404
13.83	-0.5	-0.476701	-10.07	-9.81212
14.33	-0.75	-0.516861	-10.32	-9.85228
15	-0.48	-0.574065	-10.05	-9.90948
15.5	-0.55	-0.619379	-10.12	-9.9548
16	-0.51	-0.667017	-10.08	-10.0024
16.5	-1.4	-0.717054	-10.97	-10.0525
17	-1.25	-0.769567	-10.82	-10.105
17.5	-1.13	-0.824629	-10.7	-10.16
18	-0.86	-0.882317	-10.43	-10.2177
18.5	-0.62	-0.942704	-10.19	-10.2781
19.17	-0.26	-1.02798	-9.83	-10.3634
19.5	-0.37	-1.07187	-9.94	-10.4073
20.17	-0.24	-1.16489	-9.81	-10.5003
20.67	-0.26	-1.23781	-9.83	-10.5732
21.17	0.65	-1.3138	-8.92	-10.6492
21.67	0.23	-1.39291	-9.34	-10.7283
22.17	0.32	-1.4752	-9.25	-10.8106
22.83	-0.32	-1.58878	-9.89	-10.9242
23.33	-0.6	-1.67863	-10.17	-11.014
23.83	-0.96	-1.77181	-10.53	-11.1072
24.33	-1	-1.86834	-10.57	-11.2038
24.83	-1.06	-1.96825	-10.63	-11.3037
25.33	-0.93	-2.07157	-10.5	-11.407
25.83	-0.71	-2.1783	-10.28	-11.5137
26.33	-0.71	-2.28845	-10.28	-11.6239
27.08	-1.81	-2.46008	-11.38	-11.7955
27.58	-1.53	-2.57876	-11.1	-11.9142
27.92	-1.87	-2.66138	-11.44	-11.9968
28.42	-1.69	-2.78572	-11.26	-12.1211
29.08	-1.29	-2.95492	-10.86	-12.2903
29.42	-1.15	-3.04432	-10.72	-12.3797
30.25	-1.62	-3.26881	-11.19	-12.6042
30.75	-1.9	-3.40825	-11.47	-12.7437
31.33	-3.92	-3.57385	-13.49	-12.9093
31.83	-2.66	-3.71985	-12.23	-13.0553
32.33	-2.81	-3.86877	-12.38	-13.2042
33	-1.77	-4.07277	-11.34	-13.4082
33.5	-2.32	-4.2282	-11.89	-13.5636
34.17	-2.32	-4.44058	-11.89	-13.776
34.67	-3.59	-4.60201	-13.16	-13.9374
35.17	-3.53	-4.76585	-13.1	-14.1013
35.67	-4.33	-4.93199	-13.9	-14.2674
36.33	-3.13	-5.15465	-12.7	-14.4901
36.83	-3.02	-5.32573	-12.59	-14.6611
