Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
0.01	835.884	797.494	0.108962	-1494.62	41794.2	39874.7	5.44808	-74731.1
0.20995	-2.15915	-70.7419	0.108962	-71.1843	-107.958	-3537.09	5.44808	-3559.22
0.4099	-0.412962	-36.1129	0.108962	-36.453	-20.6481	-1805.64	5.44808	-1822.65
0.60985	-0.0503574	-24.3262	0.108961	-24.493	-2.51787	-1216.31	5.44807	-1224.65
0.8098	-0.0786482	-18.2627	0.108961	-18.4367	-3.93241	-913.137	5.44806	-921.837
1.00975	0.0675169	-14.6346	0.108961	-14.777	3.37584	-731.729	5.44806	-738.851
1.2097	0.123801	-12.2251	0.108961	-12.3255	6.19005	-611.253	5.44805	-616.275
1.40965	0.0803667	-10.51	0.108961	-10.5681	4.01834	-525.498	5.44803	-528.403
1.6096	0.0751034	-9.18452	0.10896	-9.24601	3.75517	-459.226	5.44802	-462.3
1.80955	0.0818595	-8.15627	0.10896	-8.21504	4.09298	-407.813	5.44801	-410.752
2.0095	0.0879208	-7.34228	0.10896	-7.38826	4.39604	-367.114	5.44799	-369.413
2.20945	0.0986733	-6.67265	0.108959	-6.71023	4.93366	-333.632	5.44797	-335.511
2.4094	0.112229	-6.12107	0.108959	-6.14392	5.61144	-306.053	5.44795	-307.196
2.60935	0.0915556	-5.6582	0.108959	-5.66364	4.57778	-282.91	5.44793	-283.182
2.8093	0.106792	-5.25284	0.108958	-5.25103	5.33959	-262.642	5.4479	-262.551
3.00925	0.0924696	-4.89908	0.108957	-4.89259	4.62348	-244.954	5.44787	-244.63
3.2092	0.0899547	-4.58806	0.108957	-4.57821	4.49773	-229.403	5.44785	-228.911
3.40915	0.0807575	-4.3121	0.108956	-4.30013	4.03787	-215.605	5.44782	-215.006
3.6091	0.079247	-4.06081	0.108956	-4.05231	3.96235	-203.04	5.44778	-202.615
3.80905	0.0856719	-3.8408	0.108955	-3.82999	4.2836	-192.04	5.44775	-191.5
4.009	0.0830213	-3.64306	0.108954	-3.62936	4.15107	-182.153	5.44772	-181.468
4.20895	0.0775652	-3.46284	0.108954	-3.44732	3.87826	-173.142	5.44768	-172.366
4.4089	0.0805148	-3.29886	0.108953	-3.28135	4.02574	-164.943	5.44764	-164.067
4.60885	0.0819696	-3.14577	0.108952	-3.12935	4.09848	-157.288	5.4476	-156.467
4.8088	0.0759133	-3.01387	0.108951	-2.98958	3.79566	-150.693	5.44756	-149.479
5.00875	0.0766789	-2.88338	0.10895	-2.86057	3.83394	-144.169	5.44751	-143.029
5.2087	0.0744614	-2.76492	0.108949	-2.7411	3.72307	-138.246	5.44747	-137.055
5.40865	0.0736031	-2.65297	0.108948	-2.63009	3.68016	-132.648	5.44742	-131.504
5.6086	0.0737348	-2.55203	0.108947	-2.52664	3.68674	-127.601	5.44737	-126.332
5.80855	0.0716581	-2.45668	0.108946	-2.42998	3.58291	-122.834	5.44732	-121.499
6.0085	0.0727655	-2.36675	0.108945	-2.33942	3.63828	-118.337	5.44726	-116.971
6.20845	0.0740447	-2.28465	0.108944	-2.25438	3.70223	-114.233	5.44721	-112.719
6.4084	0.0766279	-2.20237	0.108943	-2.17434	3.83139	-110.119	5.44715	-108.717
6.60835	0.0749275	-2.1319	0.108942	-2.09884	3.74637	-106.595	5.44709	-104.942
6.8083	0.0755637	-2.05838	0.108941	-2.02749	3.77818	-102.919	5.44703	-101.375
7.00825	0.0746002	-1.99325	0.108939	-1.95993	3.73001	-99.6625	5.44697	-97.9966
7.2082	0.0729255	-1.93051	0.108938	-1.89584	3.64627	-96.5257	5.4469	-94.7922
7.40815	0.0744894	-1.86882	0.108937	-1.83495	3.72447	-93.4408	5.44684	-91.7476
7.6081	0.0740346	-1.81205	0.108935	-1.777	3.70173	-90.6027	5.44677	-88.85
7.80805	0.0758997	-1.75828	0.108934	-1.72176	3.79499	-87.9139	5.4467	-86.0882
8.008	0.0751667	-1.70735	0.108933	-1.66904	3.75833	-85.3675	5.44663	-83.452
