Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
0.01	4.04528	0.0550636	3.99997	-0.0102631	202.264	2.75318	199.999	-0.513156
0.20995	4.07406	-0.247656	3.98752	-0.214768	203.703	-12.3828	199.376	-10.7384
0.4099	4.01777	-0.495743	3.95287	-0.415469	200.888	-24.7871	197.643	-20.7734
0.60985	3.9378	-0.725292	3.89718	-0.60896	196.89	-36.2646	194.859	-30.448
0.8098	3.83984	-0.943027	3.82229	-0.792232	191.992	-47.1513	191.115	-39.6116
1.00975	3.71285	-1.12669	3.73053	-0.96281	185.642	-56.3347	186.527	-48.1405
1.2097	3.57632	-1.297	3.62457	-1.11883	178.816	-64.8499	181.228	-55.9415
1.40965	3.43164	-1.44899	3.50722	-1.25907	171.582	-72.4494	175.361	-62.9534
1.6096	3.26594	-1.57504	3.38132	-1.38291	163.297	-78.7519	169.066	-69.1453
1.80955	3.10001	-1.6789	3.24956	-1.49028	155	-83.9451	162.478	-74.5138
2.0095	2.93796	-1.75857	3.1144	-1.58156	146.898	-87.9283	155.72	-79.0781
2.20945	2.77334	-1.82019	2.97801	-1.65751	138.667	-91.0097	148.9	-82.8753
2.4094	2.62643	-1.8573	2.84221	-1.71911	131.321	-92.8648	142.11	-85.9553
2.60935	2.48591	-1.90042	2.70852	-1.76752	124.295	-95.0208	135.426	-88.3758
2.8093	2.34191	-1.90975	2.57813	-1.80399	117.096	-95.4877	128.907	-90.1994
3.00925	2.21206	-1.92832	2.45195	-1.82979	110.603	-96.4158	122.597	-91.4895
3.2092	2.0842	-1.92611	2.33061	-1.84616	104.21	-96.3054	116.531	-92.3082
3.40915	1.96627	-1.92693	2.21457	-1.8543	98.3135	-96.3463	110.728	-92.715
3.6091	1.84468	-1.91105	2.10407	-1.8553	92.2342	-95.5526	105.203	-92.7651
3.80905	1.74329	-1.88459	1.99922	-1.85019	87.1647	-94.2293	99.9611	-92.5093
4.009	1.6416	-1.86692	1.90003	-1.83987	82.0798	-93.346	95.0016	-91.9934
4.20895	1.55548	-1.83796	1.80641	-1.82517	77.7739	-91.8979	90.3205	-91.2583
4.4089	1.46859	-1.81272	1.71821	-1.8068	73.4293	-90.6359	85.9103	-90.34
4.60885	1.39033	-1.77618	1.63522	-1.78541	69.5167	-88.8092	81.7612	-89.2704
4.8088	1.31807	-1.75154	1.55724	-1.76154	65.9037	-87.5768	77.8619	-88.0771
5.00875	1.24907	-1.71825	1.484	-1.73568	62.4535	-85.9126	74.2001	-86.7838
5.2087	1.18882	-1.68581	1.41526	-1.70822	59.4408	-84.2906	70.763	-85.4112
5.40865	1.12616	-1.64945	1.35076	-1.67954	56.3081	-82.4726	67.5378	-83.9768
5.6086	1.07186	-1.61453	1.29024	-1.64992	53.593	-80.7265	64.5118	-82.4958
5.80855	1.02059	-1.58485	1.23345	-1.61962	51.0295	-79.2426	61.6724	-80.9808
6.0085	0.974985	-1.54408	1.18016	-1.58885	48.7493	-77.2041	59.0078	-79.4426
6.20845	0.930088	-1.51426	1.13013	-1.55781	46.5044	-75.7128	56.5063	-77.8903
6.4084	0.887316	-1.47597	1.08314	-1.52663	44.3658	-73.7985	54.1572	-76.3315
6.60835	0.851352	-1.44852	1.039	-1.49545	42.5676	-72.4258	51.9502	-74.7726
6.8083	0.81328	-1.41004	0.997511	-1.46438	40.664	-70.5018	49.8756	-73.2188
7.00825	0.781319	-1.38095	0.958486	-1.43349	39.066	-69.0474	47.9243	-71.6744
7.2082	0.74813	-1.34953	0.921759	-1.40286	37.4065	-67.4763	46.088	-70.143
7.40815	0.718593	-1.31702	0.887174	-1.37255	35.9297	-65.8512	44.3587	-68.6275
7.6081	0.691045	-1.2868	0.854583	-1.3426	34.5522	-64.34	42.7291	-67.1302
7.80805	0.664864	-1.25582	0.823851	-1.31306	33.2432	-62.7909	41.1925	-65.6529
8.008	0.64206	-1.22972	0.794851	-1.28394	32.103	-61.486	39.7426	-64.197
8.20795	0.617027	-1.1988	0.767467	-1.25527	30.8513	-59.9398	38.3734	-62.7637
8.4079	0.597028	-1.17271	0.741591	-1.22707	29.8514	-58.6353	37.0795	-61.3536
8.60785	0.573467	-1.1455	0.717121	-1.19935	28.6733	-57.2751	35.8561	-59.9673
8.8078	0.556358	-1.1179	0.693965	-1.1721	27.8179	-55.8949	34.6983	-58.6052
9.00775	0.536618	-1.0936	0.672037	-1.14535	26.8309	-54.6798	33.6019	-57.2673
9.2077	0.521242	-1.0683	0.651257	-1.11908	26.0621	-53.4148	32.5628	-55.9538
9.40765	0.504138	-1.04383	0.631551	-1.09329	25.2069	-52.1917	31.5775	-54.6646
9.6076	0.488931	-1.01934	0.61285	-1.06799	24.4466	-50.9669	30.6425	-53.3993
9.80755	0.476277	-0.994909	0.59509	-1.04316	23.8139	-49.7454	29.7545	-52.1579
10.0075	0.459751	-0.974681	0.578214	-1.0188	22.9875	-48.7341	28.9107	-50.9399
10.2074	0.450487	-0.950077	0.562166	-0.994898	22.5244	-47.5039	28.1083	-49.7449
10.4074	0.435867	-0.929357	0.546896	-0.971451	21.7934	-46.4678	27.3448	-48.5725
10.6074	0.42606	-0.905476	0.532355	-0.948447	21.303	-45.2738	26.6178	-47.4224
10.8073	0.413541	-0.887946	0.518501	-0.925877	20.677	-44.3973	25.9251	-46.2939
11.0073	0.403144	-0.865527	0.505293	-0.903731	20.1572	-43.2764	25.2647	-45.1866
11.2072	0.394113	-0.846759	0.492693	-0.881999	19.7057	-42.338	24.6346	-44.0999
11.4071	0.383883	-0.825841	0.480665	-0.860669	19.1941	-41.292	24.0333	-43.0335
11.6071	0.373882	-0.8046	0.469177	-0.839733	18.6941	-40.23	23.4588	-41.9867
11.8071	0.364684	-0.790026	0.458198	-0.819179	18.2342	-39.5013	22.9099	-40.959
12.007	0.355813	-0.767728	0.447699	-0.798998	17.7907	-38.3864	22.3849	-39.9499
12.207	0.349513	-0.753916	0.437653	-0.779179	17.4757	-37.6958	21.8827	-38.9589
12.4069	0.338636	-0.731207	0.428037	-0.759712	16.9318	-36.5604	21.4018	-37.9856
12.6068	0.334299	-0.720375	0.418826	-0.740587	16.7149	-36.0188	20.9413	-37.0293
12.8068	0.325194	-0.696256	0.409998	-0.721794	16.2597	-34.8128	20.4999	-36.0897
13.0068	0.318732	-0.6821	0.401533	-0.703325	15.9366	-34.105	20.0767	-35.1662
13.2067	0.312159	-0.663596	0.393413	-0.685168	15.6079	-33.1798	19.6707	-34.2584
13.4067	0.305298	-0.647819	0.385619	-0.667317	15.2649	-32.391	19.281	-33.3658
13.6066	0.301202	-0.632417	0.378134	-0.649761	15.0601	-31.6209	18.9067	-32.488
13.8065	0.294273	-0.614859	0.370943	-0.632492	14.7136	-30.7429	18.5472	-31.6246
14.0065	0.291115	-0.601082	0.364031	-0.615502	14.5557	-30.0541	18.2015	-30.7751
