Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-2.04132
0.109977	-2.55238e-05	-2.04135
0.119955	-5.34733e-05	-2.04138
0.129932	-8.38484e-05	-2.04141
0.13991	-0.000116649	-2.04144
0.149887	-0.000151876	-2.04147
0.159865	-0.000189528	-2.04151
0.169842	-0.000229605	-2.04155
0.17982	-0.000272109	-2.04159
0.189797	-0.000317038	-2.04164
0.199775	-0.000364392	-2.04169
0.209752	-0.000414172	-2.04174
0.21973	-0.000466378	-2.04179
0.229707	-0.00052101	-2.04184
0.239685	-0.000578067	-2.0419
0.249662	-0.00063755	-2.04196
0.25964	-0.000699459	-2.04202
0.269617	-0.000763793	-2.04209
0.279595	-0.000830553	-2.04215
0.289572	-0.000899739	-2.04222
0.29955	-0.00097135	-2.04229
0.309527	-0.00104539	-2.04237
0.319505	-0.00112185	-2.04244
0.329482	-0.00120074	-2.04252
0.33946	-0.00128205	-2.0426
0.349437	-0.00136579	-2.04269
0.359415	-0.00145196	-2.04277
0.369392	-0.00154055	-2.04286
0.37937	-0.00163157	-2.04295
0.389347	-0.00172501	-2.04305
0.399325	-0.00182088	-2.04314
0.409302	-0.00191917	-2.04324
0.41928	-0.00201989	-2.04334
0.429257	-0.00212304	-2.04344
0.439235	-0.00222861	-2.04355
0.449212	-0.00233661	-2.04366
0.45919	-0.00244703	-2.04377
0.469167	-0.00255988	-2.04388
0.479145	-0.00267516	-2.044
0.489122	-0.00279286	-2.04411
0.4991	-0.00291298	-2.04423
0.509077	-0.00303554	-2.04436
0.519055	-0.00316051	-2.04448
0.529032	-0.00328792	-2.04461
0.53901	-0.00341775	-2.04474
0.548987	-0.00355	-2.04487
0.558965	-0.00368468	-2.04501
0.568942	-0.00382179	-2.04514
0.57892	-0.00396133	-2.04528
0.588897	-0.00410328	-2.04542
0.598875	-0.00424767	-2.04557
0.608852	-0.00439448	-2.04572
0.61883	-0.00454372	-2.04587
0.628807	-0.00469538	-2.04602
0.638785	-0.00484947	-2.04617
0.648762	-0.00500598	-2.04633
0.65874	-0.00516492	-2.04649
0.668717	-0.00532629	-2.04665
0.678695	-0.00549008	-2.04681
0.688672	-0.0056563	-2.04698
0.69865	-0.00582495	-2.04715
0.708627	-0.00599602	-2.04732
0.718605	-0.00616952	-2.04749
0.728582	-0.00634544	-2.04767
0.73856	-0.00652379	-2.04785
0.748537	-0.00670456	-2.04803
