Freq_GHz	Model_Norm_dB	Model_dBm_5mA
0.1	0	-9.3352
0.109977	-4.53296e-06	-9.33521
0.119955	-9.49671e-06	-9.33521
0.129932	-1.48913e-05	-9.33522
0.13991	-2.07167e-05	-9.33522
0.149887	-2.69728e-05	-9.33523
0.159865	-3.36599e-05	-9.33524
0.169842	-4.07777e-05	-9.33524
0.17982	-4.83264e-05	-9.33525
0.189797	-5.63059e-05	-9.33526
0.199775	-6.47163e-05	-9.33527
0.209752	-7.35575e-05	-9.33528
0.21973	-8.28296e-05	-9.33529
0.229707	-9.25326e-05	-9.3353
0.239685	-0.000102666	-9.33531
0.249662	-0.000113231	-9.33532
0.25964	-0.000124227	-9.33533
0.269617	-0.000135653	-9.33534
0.279595	-0.000147511	-9.33535
0.289572	-0.000159799	-9.33536
0.29955	-0.000172519	-9.33538
0.309527	-0.000185669	-9.33539
0.319505	-0.00019925	-9.3354
0.329482	-0.000213262	-9.33542
0.33946	-0.000227706	-9.33543
0.349437	-0.00024258	-9.33545
0.359415	-0.000257885	-9.33546
0.369392	-0.000273622	-9.33548
0.37937	-0.000289789	-9.33549
0.389347	-0.000306387	-9.33551
0.399325	-0.000323417	-9.33553
0.409302	-0.000340878	-9.33554
0.41928	-0.000358769	-9.33556
0.429257	-0.000377092	-9.33558
0.439235	-0.000395846	-9.3356
0.449212	-0.000415031	-9.33562
0.45919	-0.000434648	-9.33564
0.469167	-0.000454695	-9.33566
0.479145	-0.000475174	-9.33568
0.489122	-0.000496084	-9.3357
0.4991	-0.000517425	-9.33572
0.509077	-0.000539198	-9.33574
0.519055	-0.000561402	-9.33576
0.529032	-0.000584037	-9.33579
0.53901	-0.000607104	-9.33581
0.548987	-0.000630601	-9.33583
0.558965	-0.000654531	-9.33586
0.568942	-0.000678891	-9.33588
0.57892	-0.000703683	-9.33591
0.588897	-0.000728907	-9.33593
0.598875	-0.000754562	-9.33596
0.608852	-0.000780648	-9.33598
0.61883	-0.000807166	-9.33601
0.628807	-0.000834116	-9.33604
0.638785	-0.000861497	-9.33606
0.648762	-0.00088931	-9.33609
0.65874	-0.000917554	-9.33612
0.668717	-0.00094623	-9.33615
0.678695	-0.000975338	-9.33618
0.688672	-0.00100488	-9.33621
0.69865	-0.00103485	-9.33624
0.708627	-0.00106525	-9.33627
0.718605	-0.00109609	-9.3363
0.728582	-0.00112735	-9.33633
0.73856	-0.00115905	-9.33636
0.748537	-0.00119118	-9.33639
0.758515	-0.00122374	-9.33643
0.768492	-0.00125674	-9.33646
0.77847	-0.00129016	-9.33649
0.788447	-0.00132402	-9.33653
0.798425	-0.00135831	-9.33656
0.808402	-0.00139303	-9.3366
0.81838	-0.00142819	-9.33663
0.828357	-0.00146377	-9.33667
0.838335	-0.00149979	-9.3367
0.848312	-0.00153624	-9.33674
0.85829	-0.00157312	-9.33678
0.868267	-0.00161044	-9.33681
0.878245	-0.00164819	-9.33685
0.888222	-0.00168637	-9.33689
0.8982	-0.00172498	-9.33693
0.908177	-0.00176402	-9.33697
0.918155	-0.0018035	-9.33701
0.928132	-0.00184341	-9.33705
0.93811	-0.00188375	-9.33709
0.948087	-0.00192453	-9.33713
0.958065	-0.00196573	-9.33717
0.968042	-0.00200737	-9.33721
0.97802	-0.00204944	-9.33725
0.987997	-0.00209195	-9.33729
0.997974	-0.00213489	-9.33734
1.00795	-0.00217826	-9.33738
1.01793	-0.00222206	-9.33743
1.02791	-0.0022663	-9.33747
1.03788	-0.00231097	-9.33751
1.04786	-0.00235607	-9.33756
1.05784	-0.0024016	-9.3376
1.06782	-0.00244757	-9.33765
1.07779	-0.00249397	-9.3377
1.08777	-0.00254081	-9.33774
1.09775	-0.00258807	-9.33779
1.10773	-0.00263577	-9.33784
1.1177	-0.00268391	-9.33789
1.12768	-0.00273247	-9.33794
1.13766	-0.00278148	-9.33798
1.14764	-0.00283091	-9.33803
1.15761	-0.00288078	-9.33808
1.16759	-0.00293108	-9.33813
1.17757	-0.00298181	-9.33818
1.18755	-0.00303298	-9.33824
1.19752	-0.00308458	-9.33829
1.2075	-0.00313661	-9.33834
1.21748	-0.00318908	-9.33839
1.22746	-0.00324199	-9.33844
