Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-23.109	-1.48696	-20.8278	-0.178361
0.20995	-23.4811	-4.89655	-20.8178	-3.7426
0.4099	-23.4682	-10.1555	-20.7895	-7.29552
0.60985	-23.331	-15.0167	-20.7434	-10.8266
0.8098	-23.1437	-19.7548	-20.6801	-14.3259
1.00975	-23.0027	-24.021	-20.6001	-17.7842
1.2097	-22.768	-28.6867	-20.5045	-21.1932
1.40965	-22.5349	-32.525	-20.3942	-24.5454
1.6096	-22.2623	-36.7755	-20.2704	-27.8349
1.80955	-21.966	-40.7147	-20.1341	-31.0566
2.0095	-21.6708	-44.3261	-19.9866	-34.2065
2.20945	-21.3576	-47.5303	-19.829	-37.2819
2.4094	-21.0725	-50.7347	-19.6626	-40.2809
2.60935	-20.7019	-53.869	-19.4885	-43.2025
2.8093	-20.4141	-56.7457	-19.3077	-46.0468
3.00925	-20.107	-59.2873	-19.1213	-48.8141
3.2092	-19.8256	-62.1543	-18.9301	-51.5056
3.40915	-19.4828	-64.3728	-18.7352	-54.1229
3.6091	-19.1465	-66.8459	-18.5371	-56.668
3.80905	-18.8874	-69.2408	-18.3367	-59.1429
4.009	-18.5355	-71.3476	-18.1346	-61.5502
4.20895	-18.2864	-73.481	-17.9313	-63.8924
4.4089	-17.967	-75.383	-17.7274	-66.1721
4.60885	-17.706	-77.4376	-17.5232	-68.392
4.8088	-17.3805	-79.0299	-17.3192	-70.5548
5.00875	-17.1361	-80.8066	-17.1157	-72.663
5.2087	-16.873	-82.4771	-16.913	-74.7194
5.40865	-16.5928	-84.162	-16.7114	-76.7264
5.6086	-16.3405	-85.7325	-16.511	-78.6864
5.80855	-16.0827	-87.1498	-16.312	-80.6018
6.0085	-15.8582	-89.015	-16.1146	-82.4747
6.20845	-15.6079	-90.1674	-15.9189	-84.3074
6.4084	-15.3791	-91.7536	-15.725	-86.1019
6.60835	-15.1654	-92.8572	-15.533	-87.86
6.8083	-14.9317	-94.6198	-15.3429	-89.5837
7.00825	-14.7147	-95.7517	-15.1548	-91.2746
7.2082	-14.4813	-97.0483	-14.9688	-92.9343
7.40815	-14.2762	-98.4491	-14.7849	-94.5645
7.6081	-14.0878	-99.7204	-14.6031	-96.1666
7.80805	-13.8704	-101.104	-14.4234	-97.7419
8.008	-13.6703	-102.116	-14.2458	-99.2917
8.20795	-13.4746	-103.473	-14.0703	-100.817
8.4079	-13.3007	-104.602	-13.8969	-102.32
8.60785	-13.0796	-105.852	-13.7256	-103.8
8.8078	-12.9205	-107.046	-13.5564	-105.259
9.00775	-12.717	-108.12	-13.3893	-106.699
9.2077	-12.5662	-109.274	-13.2242	-108.119
9.40765	-12.3845	-110.471	-13.0611	-109.52
9.6076	-12.2103	-111.535	-12.9	-110.904
9.80755	-12.0585	-112.753	-12.7409	-112.272
10.0075	-11.8711	-113.656	-12.5838	-113.623
10.2074	-11.7552	-115.031	-12.4286	-114.958
10.4074	-11.5591	-115.921	-12.2753	-116.279
10.6074	-11.424	-117.196	-12.1238	-117.586
10.8073	-11.2444	-118.077	-11.9742	-118.879
11.0073	-11.1077	-119.103	-11.8265	-120.158
11.2072	-10.9696	-120.228	-11.6805	-121.425
11.4071	-10.8192	-121.356	-11.5363	-122.68
11.6071	-10.6514	-122.518	-11.3939	-123.923
11.8071	-10.5196	-123.225	-11.2531	-125.155
12.007	-10.3546	-124.686	-11.1141	-126.375
12.207	-10.2424	-125.281	-10.9767	-127.585
12.4069	-10.0709	-126.691	-10.841	-128.785
12.6068	-9.99231	-127.279	-10.7069	-129.975
12.8068	-9.83182	-128.715	-10.5744	-131.155
13.0068	-9.69674	-129.493	-10.4434	-132.326
13.2067	-9.58283	-130.699	-10.3141	-133.487
13.4067	-9.44997	-131.585	-10.1862	-134.64
13.6066	-9.35436	-132.552	-10.0599	-135.784
13.8065	-9.20671	-133.653	-9.93507	-136.92
14.0065	-9.1246	-134.606	-9.81171	-138.048
14.2065	-8.95665	-135.663	-9.68981	-139.168
14.4064	-8.87653	-136.521	-9.56935	-140.28
14.6064	-8.73725	-137.563	-9.4503	-141.385
14.8063	-8.65995	-138.639	-9.33266	-142.482
15.0062	-8.51702	-139.699	-9.2164	-143.573
15.2062	-8.41222	-140.716	-9.1015	-144.656
15.4062	-8.30325	-141.621	-8.98796	-145.732
15.6061	-8.20995	-142.68	-8.87576	-146.802
15.8061	-8.10429	-143.675	-8.76487	-147.865
16.006	-7.98931	-144.658	-8.6553	-148.921
16.206	-7.90415	-145.631	-8.54701	-149.971
16.4059	-7.77296	-146.635	-8.44001	-151.015
16.6059	-7.71449	-147.556	-8.33426	-152.053
16.8058	-7.6017	-148.601	-8.22978	-153.085
17.0057	-7.50457	-149.67	-8.12652	-154.111
17.2057	-7.40372	-150.558	-8.0245	-155.131
17.4057	-7.30747	-151.448	-7.92369	-156.145
17.6056	-7.24718	-152.52	-7.82408	-157.153
17.8056	-7.13444	-153.538	-7.72567	-158.157
18.0055	-7.06067	-154.503	-7.62843	-159.154
18.2054	-6.96655	-155.391	-7.53236	-160.146
18.4054	-6.8816	-156.497	-7.43745	-161.133
18.6054	-6.79131	-157.331	-7.34369	-162.114
