Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
0.01	0.998748	0.00119352	0.999999	-0.00133813
0.20995	1.00046	-0.0282642	0.999562	-0.0280893
0.4099	0.9991	-0.0553672	0.998332	-0.0548144
0.60985	0.996795	-0.0820907	0.99631	-0.0814889
0.8098	0.994489	-0.109235	0.993499	-0.108088
1.00975	0.990084	-0.135939	0.9899	-0.134587
1.2097	0.985087	-0.162227	0.985518	-0.160962
1.40965	0.980643	-0.188306	0.980357	-0.187188
1.6096	0.974855	-0.214814	0.974424	-0.213242
1.80955	0.968037	-0.240971	0.967724	-0.239099
2.0095	0.960506	-0.266543	0.960264	-0.264735
2.20945	0.951951	-0.29182	0.952052	-0.290128
2.4094	0.942527	-0.316297	0.943097	-0.315255
2.60935	0.934257	-0.340786	0.933409	-0.340091
2.8093	0.923186	-0.364561	0.922997	-0.364616
3.00925	0.913277	-0.388901	0.911873	-0.388806
3.2092	0.901975	-0.412627	0.900048	-0.412641
3.40915	0.890624	-0.436398	0.887535	-0.436099
3.6091	0.87774	-0.46002	0.874346	-0.459159
3.80905	0.863698	-0.482197	0.860497	-0.481802
4.009	0.850047	-0.504411	0.846	-0.504007
4.20895	0.836142	-0.526571	0.830872	-0.525755
4.4089	0.820661	-0.547529	0.815129	-0.547027
4.60885	0.80446	-0.568521	0.798786	-0.567806
4.8088	0.789881	-0.588589	0.78186	-0.588074
5.00875	0.772688	-0.60875	0.76437	-0.607814
5.2087	0.755784	-0.628444	0.746334	-0.627011
5.40865	0.737853	-0.647788	0.72777	-0.645648
5.6086	0.719862	-0.665826	0.708697	-0.663711
5.80855	0.701643	-0.683957	0.689134	-0.681185
6.0085	0.682252	-0.701018	0.669103	-0.698058
6.20845	0.66295	-0.716955	0.648623	-0.714317
6.4084	0.641696	-0.732955	0.627716	-0.729949
6.60835	0.622862	-0.747974	0.606402	-0.744945
6.8083	0.601182	-0.763244	0.584703	-0.759293
7.00825	0.580873	-0.777427	0.562642	-0.772984
7.2082	0.560101	-0.79151	0.540238	-0.78601
7.40815	0.537556	-0.804311	0.517517	-0.798363
7.6081	0.515883	-0.816776	0.494499	-0.810035
7.80805	0.493587	-0.8276	0.471207	-0.82102
8.008	0.471796	-0.838781	0.447664	-0.831314
8.20795	0.449243	-0.849638	0.423893	-0.840911
8.4079	0.42708	-0.859776	0.399917	-0.849809
8.60785	0.396799	-0.871356	0.375759	-0.858003
8.8078	0.379402	-0.877691	0.351441	-0.865492
