Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
0.01	0.603637	0.00432586	0.599999	-0.000821056
0.20995	0.606775	-0.0191926	0.599742	-0.0172356
0.4099	0.605269	-0.0389984	0.599015	-0.0336364
0.60985	0.603516	-0.0582379	0.597821	-0.0500106
0.8098	0.601878	-0.0775727	0.596159	-0.0663452
1.00975	0.598571	-0.095969	0.594032	-0.0826271
1.2097	0.595462	-0.114652	0.59144	-0.0988436
1.40965	0.592286	-0.133308	0.588387	-0.114982
1.6096	0.587413	-0.152332	0.584874	-0.131029
1.80955	0.582245	-0.171065	0.580905	-0.146972
2.0095	0.576565	-0.189092	0.576482	-0.162799
2.20945	0.570019	-0.207415	0.571609	-0.178497
2.4094	0.563095	-0.223763	0.566291	-0.194053
2.60935	0.557714	-0.241122	0.56053	-0.209456
2.8093	0.548864	-0.257804	0.554332	-0.224692
3.00925	0.542302	-0.274773	0.547703	-0.239751
3.2092	0.533481	-0.291345	0.540647	-0.25462
3.40915	0.525845	-0.308017	0.533169	-0.269288
3.6091	0.515565	-0.325442	0.525277	-0.283742
3.80905	0.504701	-0.34026	0.516976	-0.297972
4.009	0.49508	-0.356847	0.508273	-0.311966
4.20895	0.484188	-0.370984	0.499176	-0.325714
4.4089	0.473642	-0.386513	0.489691	-0.339204
4.60885	0.46094	-0.400559	0.479826	-0.352426
4.8088	0.450781	-0.41499	0.46959	-0.36537
5.00875	0.438484	-0.428989	0.45899	-0.378026
5.2087	0.426477	-0.441724	0.448036	-0.390384
5.40865	0.412765	-0.455571	0.436735	-0.402434
5.6086	0.399401	-0.468026	0.425098	-0.414167
5.80855	0.387193	-0.480656	0.413134	-0.425574
6.0085	0.3715	-0.491374	0.400853	-0.436646
6.20845	0.358584	-0.503225	0.388264	-0.447376
6.4084	0.34245	-0.514235	0.375378	-0.457754
6.60835	0.329912	-0.524283	0.362205	-0.467774
6.8083	0.312655	-0.534491	0.348756	-0.477427
7.00825	0.298709	-0.543668	0.335042	-0.486707
7.2082	0.283139	-0.553405	0.321074	-0.495607
7.40815	0.26683	-0.561857	0.306864	-0.504121
7.6081	0.251002	-0.56995	0.292423	-0.512243
7.80805	0.234343	-0.57754	0.277762	-0.519966
8.008	0.219659	-0.584388	0.262894	-0.527286
8.20795	0.20184	-0.591722	0.247831	-0.534198
8.4079	0.186381	-0.597445	0.232584	-0.540698
8.60785	0.16923	-0.60481	0.217166	-0.546781
8.8078	0.152298	-0.608886	0.201589	-0.552443
9.00775	0.136039	-0.614872	0.185867	-0.557682
9.2077	0.119508	-0.618328	0.17001	-0.562494
9.40765	0.102548	-0.622809	0.154033	-0.566877
9.6076	0.0854133	-0.626135	0.137947	-0.570829
9.80755	0.0683709	-0.627854	0.121765	-0.574348
10.0075	0.0523793	-0.63273	0.1055	-0.577434
10.2074	0.0351183	-0.632003	0.089165	-0.580084
10.4074	0.018351	-0.635367	0.0727721	-0.582299
10.6074	0.000495295	-0.634635	0.0563341	-0.58408
10.8073	-0.014547	-0.637309	0.0398636	-0.585425
11.0073	-0.0325015	-0.636897	0.0233732	-0.586336
11.2072	-0.0479877	-0.636529	0.00687535	-0.586815
11.4071	-0.0656959	-0.635961	-0.00961756	-0.586863
11.6071	-0.0839593	-0.634809	-0.0260933	-0.586481
11.8071	-0.0976732	-0.635451	-0.0425396	-0.585673
12.007	-0.116982	-0.63249	-0.0589446	-0.584441
12.207	-0.129501	-0.631004	-0.0752963	-0.582789
12.4069	-0.150718	-0.62856	-0.091583	-0.580719
12.6068	-0.160616	-0.626606	-0.107793	-0.578237
12.8068	-0.182728	-0.621404	-0.123916	-0.575346
13.0068	-0.196501	-0.618877	-0.139939	-0.57205
13.2067	-0.213771	-0.613838	-0.155853	-0.568355
13.4067	-0.229399	-0.610151	-0.171646	-0.564267
13.6066	-0.243338	-0.604294	-0.187308	-0.55979
13.8065	-0.260741	-0.598929	-0.202829	-0.554932
14.0065	-0.273115	-0.592702	-0.218199	-0.549697
14.2065	-0.291138	-0.58801	-0.233408	-0.544092
14.4064	-0.303193	-0.580883	-0.248446	-0.538125
14.6064	-0.31979	-0.575361	-0.263306	-0.531803
14.8063	-0.333229	-0.56591	-0.277977	-0.525132
15.0062	-0.348664	-0.559889	-0.292452	-0.51812
15.2062	-0.363245	-0.551658	-0.306722	-0.510776
15.4062	-0.376038	-0.54493	-0.32078	-0.503106
15.6061	-0.390332	-0.534858	-0.334617	-0.495119
15.8061	-0.40272	-0.525722	-0.348227	-0.486824
