Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.5	0	0	-2.26	-2.04453
1	-0.17	-0.00998322	-2.43	-2.05451
1.5	-0.04	-0.0266237	-2.3	-2.07115
2	-0.16	-0.0499239	-2.42	-2.09445
2.5	-0.76	-0.0798869	-3.02	-2.12441
3.08	-0.64	-0.122995	-2.9	-2.16752
3.58	-0.24	-0.167361	-2.5	-2.21189
4.08	-0.5	-0.218397	-2.76	-2.26292
4.75	-0.31	-0.297246	-2.57	-2.34177
5.25	-0.99	-0.363892	-3.25	-2.40842
5.75	-1.06	-0.437199	-3.32	-2.48173
6.25	-0.86	-0.517158	-3.12	-2.56169
6.83	-0.93	-0.618225	-3.19	-2.66275
7.33	-1.18	-0.712494	-3.44	-2.75702
7.83	-0.77	-0.813347	-3.03	-2.85787
8.33	-0.86	-0.920748	-3.12	-2.96528
8.83	-1.28	-1.03466	-3.54	-3.07918
9.33	-2.19	-1.15502	-4.45	-3.19955
9.83	-1.53	-1.28177	-3.79	-3.3263
10.33	-2.3	-1.41486	-4.56	-3.45938
10.83	-2	-1.55419	-4.26	-3.59872
11.17	-1.84	-1.65246	-4.1	-3.69699
11.83	-1.39	-1.85124	-3.65	-3.89576
12.33	-2.58	-2.00875	-4.84	-4.05328
12.83	-2.74	-2.17211	-5	-4.21664
13.25	-2.71	-2.31376	-4.97	-4.35829
13.83	-2.81	-2.51587	-5.07	-4.5604
14.33	-2.98	-2.696	-5.24	-4.74053
14.83	-2.14	-2.88144	-4.4	-4.92597
15.5	-1.91	-3.13799	-4.17	-5.18252
16	-2.07	-3.33526	-4.33	-5.37979
16.5	-4.35	-3.53732	-6.61	-5.58185
17.17	-3.84	-3.8153	-6.1	-5.85983
17.5	-4.14	-3.95514	-6.4	-5.99967
18	-3.7	-4.17057	-5.96	-6.2151
18.5	-3.36	-4.39011	-5.62	-6.43464
19	-2.87	-4.6136	-5.13	-6.65813
19.67	-2.84	-4.91897	-5.1	-6.9635
20.17	-3.97	-5.15104	-6.23	-7.19556
20.67	-3.68	-5.38649	-5.94	-7.43102
21.17	-3.3	-5.62516	-5.56	-7.66969
21.67	-3.6	-5.8669	-5.86	-7.91143
22.17	-3.72	-6.11154	-5.98	-8.15607
22.67	-3.79	-6.35894	-6.05	-8.40346
23.17	-3.89	-6.60894	-6.15	-8.65346
23.67	-5.11	-6.8614	-7.37	-8.90593
24.17	-5.53	-7.11619	-7.79	-9.16071
24.67	-5.62	-7.37316	-7.88	-9.41769
25.17	-5.78	-7.6322	-8.04	-9.67673
25.67	-5.18	-7.89317	-7.44	-9.9377
26	-6.25	-8.06642	-8.51	-10.1109
26.67	-6.4	-8.42047	-8.66	-10.465
27.25	-6.59	-8.72929	-8.85	-10.7738
27.75	-7.09	-8.99712	-9.35	-11.0417
28.25	-7.44	-9.26635	-9.7	-11.3109
28.92	-6.85	-9.62912	-9.11	-11.6736
29.25	-6.8	-9.8086	-9.06	-11.8531
29.75	-6.78	-10.0815	-9.04	-12.126
30.42	-8.83	-10.4487	-11.09	-12.4933
30.92	-8.8	-10.724	-11.06	-12.7685
