Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-3.75	-3.98054
0.83	-0.13	-0.0060652	-3.88	-3.9866
1.33	-0.2	-0.0173626	-3.95	-3.9979
2	-0.26	-0.0407156	-4.01	-4.02125
2.5	-0.66	-0.0642859	-4.41	-4.04482
3.08	-0.65	-0.0982228	-4.4	-4.07876
3.58	-0.42	-0.133181	-4.17	-4.11372
4.08	-0.59	-0.173437	-4.34	-4.15398
4.58	-0.49	-0.219008	-4.24	-4.19955
5.08	-1.08	-0.269912	-4.83	-4.25045
5.58	-0.86	-0.326169	-4.61	-4.30671
6.25	-0.96	-0.409978	-4.71	-4.39052
6.83	-1.01	-0.490349	-4.76	-4.47089
7.5	-1.17	-0.592258	-4.92	-4.5728
7.83	-0.97	-0.646033	-4.72	-4.62657
8.33	-1.19	-0.732022	-4.94	-4.71256
8.83	-1.26	-0.823451	-5.01	-4.80399
9.33	-1.78	-0.920321	-5.53	-4.90086
10	-1.78	-1.05865	-5.53	-5.03919
10.5	-1.4	-1.16824	-5.15	-5.14877
11	-1.34	-1.28323	-5.09	-5.26377
11.5	-1.47	-1.40361	-5.22	-5.38415
12	-2.1	-1.52934	-5.85	-5.50988
12.67	-1.99	-1.70616	-5.74	-5.6867
13.33	-2.3	-1.88958	-6.05	-5.87012
13.83	-2.56	-2.03456	-6.31	-6.0151
14.33	-2.55	-2.18466	-6.3	-6.1652
14.83	-2.04	-2.33982	-5.79	-6.32036
15.33	-2.03	-2.49996	-5.78	-6.4805
15.83	-2.75	-2.66499	-6.5	-6.64553
16.33	-3.12	-2.83483	-6.87	-6.81537
16.83	-2.89	-3.00938	-6.64	-6.98992
17.5	-3.39	-3.25048	-7.14	-7.23102
18	-3.18	-3.43565	-6.93	-7.41618
18.33	-2.97	-3.56024	-6.72	-7.54078
19	-2.87	-3.8189	-6.62	-7.79944
19.5	-3.08	-4.01676	-6.83	-7.9973
19.83	-4.3	-4.14954	-8.05	-8.13008
20.5	-3.98	-4.42433	-7.73	-8.40487
16.33	-2.54	-2.83483	-6.29	-6.81537
16.67	-3.48	-2.95302	-7.23	-6.93356
17.17	-3.41	-3.13071	-7.16	-7.11125
17.67	-3.32	-3.31294	-7.07	-7.29348
18.17	-2.88	-3.4996	-6.63	-7.48014
18.67	-2.95	-3.69056	-6.7	-7.6711
19	-3	-3.8189	-6.75	-7.79944
19.67	-3.34	-4.08495	-7.09	-8.06549
20.17	-4.14	-4.28813	-7.89	-8.26867
20.67	-4.63	-4.49513	-8.38	-8.47567
21.33	-3.82	-4.774	-7.57	-8.75454
21.83	-4.13	-4.98937	-7.88	-8.96991
22.33	-3.49	-5.20814	-7.24	-9.18868
22.67	-4.3	-5.35878	-8.05	-9.33932
23.33	-4.42	-5.65535	-8.17	-9.63589
23.83	-5.09	-5.88354	-8.84	-9.86408
24.33	-5.33	-6.11462	-9.08	-10.0952
24.83	-5.45	-6.34846	-9.2	-10.329
25.33	-5.4	-6.58495	-9.15	-10.5655
26.33	-5.42	-7.06539	-9.17	-11.0459
