Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
0.01	1.15027	-0.00419409	1.2	-0.000684857	57.5135	-0.209704	60	-0.0342428
0.20995	1.14294	-0.0131277	1.19969	-0.0143736	57.1468	-0.656387	59.9846	-0.71868
0.4099	1.14105	-0.0271134	1.19883	-0.0280353	57.0525	-1.35567	59.9413	-1.40177
0.60985	1.14015	-0.0404511	1.19741	-0.0416445	57.0075	-2.02256	59.8703	-2.08222
0.8098	1.1389	-0.0538708	1.19543	-0.0551756	56.9452	-2.69354	59.7717	-2.75878
1.00975	1.1362	-0.0657958	1.19292	-0.0686038	56.8098	-3.28979	59.6458	-3.43019
1.2097	1.1333	-0.079531	1.18986	-0.0819045	56.665	-3.97655	59.493	-4.09523
1.40965	1.1305	-0.0913055	1.18627	-0.0950539	56.525	-4.56527	59.3136	-4.75269
1.6096	1.12644	-0.10457	1.18216	-0.108029	56.3222	-5.22851	59.1082	-5.40143
1.80955	1.12216	-0.117489	1.17755	-0.120806	56.108	-5.87447	58.8774	-6.0403
2.0095	1.11749	-0.129723	1.17243	-0.133365	55.8747	-6.48615	58.6216	-6.66824
2.20945	1.11311	-0.141487	1.16683	-0.145684	55.6553	-7.07434	58.3417	-7.28422
2.4094	1.10744	-0.152756	1.16077	-0.157745	55.3718	-7.63778	58.0384	-7.88724
2.60935	1.10198	-0.165598	1.15425	-0.169528	55.0991	-8.27991	57.7123	-8.47639
2.8093	1.0955	-0.176293	1.14729	-0.181016	54.7751	-8.81466	57.3645	-9.0508
3.00925	1.08954	-0.186873	1.13991	-0.192193	54.4772	-9.34366	56.9956	-9.60965
3.2092	1.08141	-0.197169	1.13213	-0.203044	54.0703	-9.85847	56.6066	-10.1522
3.40915	1.07535	-0.208155	1.12397	-0.213555	53.7675	-10.4078	56.1985	-10.6778
3.6091	1.06745	-0.219231	1.11544	-0.223715	53.3724	-10.9615	55.7722	-11.1857
3.80905	1.05871	-0.227999	1.10657	-0.23351	52.9354	-11.3999	55.3287	-11.6755
4.009	1.05083	-0.239048	1.09738	-0.242933	52.5414	-11.9524	54.8689	-12.1467
4.20895	1.04187	-0.247007	1.08788	-0.251974	52.0937	-12.3504	54.3938	-12.5987
4.4089	1.03344	-0.256845	1.07809	-0.260625	51.672	-12.8422	53.9045	-13.0313
4.60885	1.02367	-0.264725	1.06804	-0.268882	51.1836	-13.2362	53.4019	-13.4441
4.8088	1.01541	-0.274567	1.05774	-0.276738	50.7705	-13.7283	52.8871	-13.8369
5.00875	1.00591	-0.281609	1.04722	-0.28419	50.2954	-14.0805	52.361	-14.2095
5.2087	0.996381	-0.289113	1.03649	-0.291235	49.819	-14.4556	51.8246	-14.5618
5.40865	0.986174	-0.296966	1.02558	-0.297873	49.3087	-14.8483	51.2789	-14.8936
5.6086	0.976244	-0.303782	1.0145	-0.304101	48.8122	-15.1891	50.7248	-15.2051
5.80855	0.966624	-0.310778	1.00327	-0.309921	48.3312	-15.5389	50.1633	-15.4961
6.0085	0.954561	-0.315704	0.991905	-0.315335	47.728	-15.7852	49.5953	-15.7667
6.20845	0.945595	-0.322438	0.980431	-0.320344	47.2798	-16.1219	49.0216	-16.0172
6.4084	0.934214	-0.32741	0.968861	-0.324951	46.7107	-16.3705	48.443	-16.2476
6.60835	0.925297	-0.332603	0.957211	-0.329161	46.2649	-16.6302	47.8606	-16.458
6.8083	0.912233	-0.336759	0.945498	-0.332977	45.6116	-16.838	47.2749	-16.6489
7.00825	0.902511	-0.341565	0.933736	-0.336405	45.1255	-17.0782	46.6868	-16.8203
7.2082	0.891314	-0.346304	0.92194	-0.339452	44.5657	-17.3152	46.097	-16.9726
7.40815	0.879804	-0.349463	0.910124	-0.342122	43.9902	-17.4731	45.5062	-17.1061
7.6081	0.869109	-0.352143	0.898302	-0.344423	43.4555	-17.6072	44.9151	-17.2211
7.80805	0.856979	-0.355188	0.886487	-0.346362	42.849	-17.7594	44.3243	-17.3181
8.008	0.846986	-0.358653	0.874689	-0.347946	42.3493	-17.9326	43.7345	-17.3973
8.20795	0.835069	-0.36047	0.862921	-0.349184	41.7534	-18.0235	43.1461	-17.4592
8.4079	0.824735	-0.36212	0.851193	-0.350083	41.2368	-18.106	42.5597	-17.5041
8.60785	0.812366	-0.364652	0.839516	-0.350652	40.6183	-18.2326	41.9758	-17.5326
8.8078	0.801822	-0.365027	0.827898	-0.350899	40.0911	-18.2513	41.3949	-17.5449
9.00775	0.790496	-0.367167	0.816349	-0.350833	39.5248	-18.3584	40.8174	-17.5417
9.2077	0.780195	-0.366959	0.804876	-0.350463	39.0097	-18.348	40.2438	-17.5232
9.40765	0.768655	-0.367316	0.793488	-0.349798	38.4327	-18.3658	39.6744	-17.4899
9.6076	0.757906	-0.367817	0.782191	-0.348847	37.8953	-18.3908	39.1095	-17.4423
9.80755	0.747063	-0.366596	0.770991	-0.347618	37.3532	-18.3298	38.5496	-17.3809
