Freq_GHz	Norm_dB_model	Model_dBm_5mA
0.1	0	-2.04133
0.109977	-2.78852e-05	-2.04136
0.119955	-5.84205e-05	-2.04139
0.129932	-9.16058e-05	-2.04142
0.13991	-0.000127441	-2.04146
0.149887	-0.000165927	-2.0415
0.159865	-0.000207062	-2.04154
0.169842	-0.000250848	-2.04158
0.17982	-0.000297283	-2.04163
0.189797	-0.000346369	-2.04168
0.199775	-0.000398105	-2.04173
0.209752	-0.000452491	-2.04179
0.21973	-0.000509526	-2.04184
0.229707	-0.000569212	-2.0419
0.239685	-0.000631548	-2.04196
0.249662	-0.000696535	-2.04203
0.25964	-0.000764171	-2.0421
0.269617	-0.000834457	-2.04217
0.279595	-0.000907394	-2.04224
0.289572	-0.00098298	-2.04232
0.29955	-0.00106122	-2.04239
0.309527	-0.0011421	-2.04248
0.319505	-0.00122564	-2.04256
0.329482	-0.00131183	-2.04264
0.33946	-0.00140066	-2.04273
0.349437	-0.00149215	-2.04283
0.359415	-0.00158629	-2.04292
0.369392	-0.00168308	-2.04302
0.37937	-0.00178252	-2.04312
0.389347	-0.0018846	-2.04322
0.399325	-0.00198934	-2.04332
0.409302	-0.00209673	-2.04343
0.41928	-0.00220677	-2.04354
0.429257	-0.00231946	-2.04365
0.439235	-0.0024348	-2.04377
0.449212	-0.00255278	-2.04389
0.45919	-0.00267342	-2.04401
0.469167	-0.00279671	-2.04413
0.479145	-0.00292265	-2.04426
0.489122	-0.00305124	-2.04438
0.4991	-0.00318248	-2.04452
0.509077	-0.00331637	-2.04465
0.519055	-0.00345292	-2.04479
0.529032	-0.00359211	-2.04493
0.53901	-0.00373395	-2.04507
0.548987	-0.00387844	-2.04521
0.558965	-0.00402558	-2.04536
0.568942	-0.00417537	-2.04551
0.57892	-0.00432782	-2.04566
0.588897	-0.00448291	-2.04582
0.598875	-0.00464065	-2.04597
0.608852	-0.00480105	-2.04613
0.61883	-0.00496409	-2.0463
0.628807	-0.00512978	-2.04646
0.638785	-0.00529813	-2.04663
0.648762	-0.00546912	-2.0468
0.65874	-0.00564277	-2.04698
0.668717	-0.00581907	-2.04715
0.678695	-0.00599801	-2.04733
0.688672	-0.00617961	-2.04751
0.69865	-0.00636386	-2.0477
0.708627	-0.00655075	-2.04788
0.718605	-0.0067403	-2.04807
0.728582	-0.0069325	-2.04827
0.73856	-0.00712735	-2.04846
0.748537	-0.00732485	-2.04866
0.758515	-0.007525	-2.04886
0.768492	-0.0077278	-2.04906
0.77847	-0.00793325	-2.04927
0.788447	-0.00814135	-2.04947
0.798425	-0.00835211	-2.04969
0.808402	-0.00856551	-2.0499
0.81838	-0.00878156	-2.05011
0.828357	-0.00900027	-2.05033
0.838335	-0.00922162	-2.05055
0.848312	-0.00944563	-2.05078
0.85829	-0.00967229	-2.05101
0.868267	-0.00990159	-2.05123
0.878245	-0.0101336	-2.05147
0.888222	-0.0103682	-2.0517
0.8982	-0.0106054	-2.05194
0.908177	-0.0108453	-2.05218
0.918155	-0.0110879	-2.05242
