Freq_GHz	Norm_dB_model	Model_dBm_5mA
0.1	0	-7.30608
0.109977	-1.16292e-05	-7.3061
0.119955	-2.43636e-05	-7.30611
0.129932	-3.82032e-05	-7.30612
0.13991	-5.3148e-05	-7.30614
0.149887	-6.9198e-05	-7.30615
0.159865	-8.63533e-05	-7.30617
0.169842	-0.000104614	-7.30619
0.17982	-0.000123979	-7.30621
0.189797	-0.00014445	-7.30623
0.199775	-0.000166027	-7.30625
0.209752	-0.000188708	-7.30627
0.21973	-0.000212495	-7.3063
0.229707	-0.000237387	-7.30632
0.239685	-0.000263384	-7.30635
0.249662	-0.000290487	-7.30637
0.25964	-0.000318695	-7.3064
0.269617	-0.000348008	-7.30643
0.279595	-0.000378427	-7.30646
0.289572	-0.000409951	-7.30649
0.29955	-0.00044258	-7.30653
0.309527	-0.000476315	-7.30656
0.319505	-0.000511155	-7.3066
0.329482	-0.0005471	-7.30663
0.33946	-0.000584151	-7.30667
0.349437	-0.000622308	-7.30671
0.359415	-0.00066157	-7.30675
0.369392	-0.000701937	-7.30679
0.37937	-0.00074341	-7.30683
0.389347	-0.000785989	-7.30687
0.399325	-0.000829673	-7.30691
0.409302	-0.000874462	-7.30696
0.41928	-0.000920358	-7.307
0.429257	-0.000967358	-7.30705
0.439235	-0.00101546	-7.3071
0.449212	-0.00106468	-7.30715
0.45919	-0.00111499	-7.3072
0.469167	-0.00116642	-7.30725
0.479145	-0.00121895	-7.3073
0.489122	-0.00127258	-7.30736
0.4991	-0.00132732	-7.30741
0.509077	-0.00138317	-7.30747
0.519055	-0.00144012	-7.30752
0.529032	-0.00149818	-7.30758
0.53901	-0.00155734	-7.30764
0.548987	-0.00161761	-7.3077
0.558965	-0.00167899	-7.30776
0.568942	-0.00174147	-7.30783
0.57892	-0.00180506	-7.30789
0.588897	-0.00186975	-7.30795
0.598875	-0.00193555	-7.30802
0.608852	-0.00200246	-7.30809
0.61883	-0.00207047	-7.30815
0.628807	-0.00213959	-7.30822
0.638785	-0.00220982	-7.30829
0.648762	-0.00228115	-7.30837
0.65874	-0.00235358	-7.30844
0.668717	-0.00242713	-7.30851
0.678695	-0.00250178	-7.30859
0.688672	-0.00257753	-7.30866
0.69865	-0.00265439	-7.30874
0.708627	-0.00273236	-7.30882
0.718605	-0.00281144	-7.3089
0.728582	-0.00289162	-7.30898
0.73856	-0.00297291	-7.30906
0.748537	-0.0030553	-7.30914
0.758515	-0.0031388	-7.30922
0.768492	-0.00322341	-7.30931
0.77847	-0.00330913	-7.30939
0.788447	-0.00339595	-7.30948
0.798425	-0.00348388	-7.30957
0.808402	-0.00357291	-7.30966
0.81838	-0.00366305	-7.30975
0.828357	-0.0037543	-7.30984
