Freq_GHz	Rm60_Rs5_dBm	Open_Rs5_dBm	Rm60_Rs15_dBm	Open_Rs15_dBm	Rm60_Rs25_dBm	Open_Rs25_dBm	Rm60_Rs35_dBm	Open_Rs35_dBm	Rm60_Rs45_dBm	Open_Rs45_dBm
0.1	-21.2855	-16.0207	-21.2855	-16.0207	-21.2855	-16.0207	-21.2856	-16.0208	-21.2856	-16.0208
0.11996	-21.2855	-16.0207	-21.2855	-16.0207	-21.2856	-16.0208	-21.2856	-16.0209	-21.2857	-16.0209
0.13992	-21.2855	-16.0207	-21.2856	-16.0208	-21.2856	-16.0209	-21.2857	-16.0209	-21.2858	-16.021
0.15988	-21.2855	-16.0207	-21.2856	-16.0208	-21.2857	-16.0209	-21.2857	-16.0211	-21.2858	-16.0212
0.17984	-21.2856	-16.0208	-21.2856	-16.0209	-21.2857	-16.021	-21.2858	-16.0212	-21.286	-16.0213
0.1998	-21.2856	-16.0208	-21.2857	-16.021	-21.2858	-16.0211	-21.2859	-16.0213	-21.2861	-16.0215
0.21976	-21.2856	-16.0209	-21.2857	-16.021	-21.2859	-16.0212	-21.286	-16.0215	-21.2862	-16.0217
0.23972	-21.2857	-16.0209	-21.2858	-16.0211	-21.286	-16.0213	-21.2861	-16.0216	-21.2864	-16.0219
0.25968	-21.2857	-16.021	-21.2859	-16.0212	-21.286	-16.0215	-21.2863	-16.0218	-21.2865	-16.0221
0.27964	-21.2858	-16.021	-21.2859	-16.0213	-21.2861	-16.0216	-21.2864	-16.022	-21.2867	-16.0224
0.2996	-21.2858	-16.0211	-21.286	-16.0214	-21.2862	-16.0218	-21.2866	-16.0222	-21.2869	-16.0227
0.31956	-21.2859	-16.0211	-21.2861	-16.0215	-21.2864	-16.0219	-21.2867	-16.0224	-21.2871	-16.0229
0.33952	-21.2859	-16.0212	-21.2862	-16.0216	-21.2865	-16.0221	-21.2869	-16.0226	-21.2873	-16.0232
0.35948	-21.286	-16.0213	-21.2862	-16.0217	-21.2866	-16.0223	-21.287	-16.0229	-21.2876	-16.0236
0.37944	-21.286	-16.0214	-21.2863	-16.0219	-21.2867	-16.0225	-21.2872	-16.0231	-21.2878	-16.0239
0.3994	-21.2861	-16.0214	-21.2864	-16.022	-21.2869	-16.0227	-21.2874	-16.0234	-21.2881	-16.0243
0.41936	-21.2862	-16.0215	-21.2865	-16.0222	-21.287	-16.0229	-21.2876	-16.0237	-21.2883	-16.0246
0.43932	-21.2862	-16.0216	-21.2867	-16.0223	-21.2872	-16.0231	-21.2878	-16.024	-21.2886	-16.025
0.45928	-21.2863	-16.0217	-21.2868	-16.0225	-21.2874	-16.0233	-21.2881	-16.0243	-21.2889	-16.0254
0.47924	-21.2864	-16.0218	-21.2869	-16.0226	-21.2875	-16.0236	-21.2883	-16.0247	-21.2892	-16.0259
0.4992	-21.2865	-16.0219	-21.287	-16.0228	-21.2877	-16.0238	-21.2885	-16.025	-21.2895	-16.0263
0.51916	-21.2865	-16.022	-21.2871	-16.023	-21.2879	-16.0241	-21.2888	-16.0254	-21.2899	-16.0268
0.53912	-21.2866	-16.0221	-21.2873	-16.0232	-21.2881	-16.0244	-21.2891	-16.0257	-21.2902	-16.0273
0.55908	-21.2867	-16.0223	-21.2874	-16.0234	-21.2883	-16.0246	-21.2893	-16.0261	-21.2906	-16.0278
0.57904	-21.2868	-16.0224	-21.2876	-16.0236	-21.2885	-16.0249	-21.2896	-16.0265	-21.2909	-16.0283
0.598999	-21.2869	-16.0225	-21.2877	-16.0238	-21.2887	-16.0252	-21.2899	-16.0269	-21.2913	-16.0288
0.618959	-21.287	-16.0226	-21.2879	-16.024	-21.2889	-16.0256	-21.2902	-16.0274	-21.2917	-16.0294
0.638919	-21.2871	-16.0228	-21.288	-16.0242	-21.2892	-16.0259	-21.2905	-16.0278	-21.2921	-16.03
0.658879	-21.2872	-16.0229	-21.2882	-16.0244	-21.2894	-16.0262	-21.2909	-16.0283	-21.2926	-16.0306
0.678839	-21.2873	-16.023	-21.2884	-16.0247	-21.2896	-16.0266	-21.2912	-16.0287	-21.293	-16.0312
0.698799	-21.2875	-16.0232	-21.2885	-16.0249	-21.2899	-16.0269	-21.2915	-16.0292	-21.2935	-16.0318
0.718759	-21.2876	-16.0233	-21.2887	-16.0252	-21.2901	-16.0273	-21.2919	-16.0297	-21.2939	-16.0324
0.738719	-21.2877	-16.0235	-21.2889	-16.0254	-21.2904	-16.0277	-21.2922	-16.0302	-21.2944	-16.0331
0.758679	-21.2878	-16.0237	-21.2891	-16.0257	-21.2907	-16.0281	-21.2926	-16.0308	-21.2949	-16.0338
0.778639	-21.2879	-16.0238	-21.2893	-16.026	-21.291	-16.0284	-21.293	-16.0313	-21.2954	-16.0345
0.798599	-21.2881	-16.024	-21.2895	-16.0262	-21.2913	-16.0289	-21.2934	-16.0319	-21.2959	-16.0352
0.818559	-21.2882	-16.0242	-21.2897	-16.0265	-21.2915	-16.0293	-21.2938	-16.0324	-21.2964	-16.036
0.838519	-21.2884	-16.0243	-21.2899	-16.0268	-21.2918	-16.0297	-21.2942	-16.033	-21.297	-16.0367
0.858479	-21.2885	-16.0245	-21.2901	-16.0271	-21.2922	-16.0301	-21.2946	-16.0336	-21.2975	-16.0375
0.878439	-21.2886	-16.0247	-21.2903	-16.0274	-21.2925	-16.0306	-21.2951	-16.0342	-21.2981	-16.0383
0.898399	-21.2888	-16.0249	-21.2906	-16.0277	-21.2928	-16.031	-21.2955	-16.0348	-21.2987	-16.0391
0.918359	-21.2889	-16.0251	-21.2908	-16.028	-21.2931	-16.0315	-21.296	-16.0355	-21.2993	-16.0399
0.938319	-21.2891	-16.0253	-21.291	-16.0284	-21.2935	-16.032	-21.2964	-16.0361	-21.2999	-16.0408
0.958279	-21.2892	-16.0255	-21.2913	-16.0287	-21.2938	-16.0325	-21.2969	-16.0368	-21.3005	-16.0416
0.978239	-21.2894	-16.0257	-21.2915	-16.0291	-21.2942	-16.033	-21.2974	-16.0375	-21.3012	-16.0425
0.998199	-21.2896	-16.0259	-21.2918	-16.0294	-21.2945	-16.0335	-21.2979	-16.0382	-21.3018	-16.0434
1.01816	-21.2897	-16.0261	-21.292	-16.0298	-21.2949	-16.034	-21.2984	-16.0389	-21.3025	-16.0443
1.03812	-21.2899	-16.0263	-21.2923	-16.0301	-21.2953	-16.0345	-21.2989	-16.0396	-21.3031	-16.0453
1.05808	-21.2901	-16.0265	-21.2925	-16.0305	-21.2956	-16.0351	-21.2994	-16.0403	-21.3038	-16.0462
1.07804	-21.2903	-16.0268	-21.2928	-16.0309	-21.296	-16.0356	-21.2999	-16.0411	-21.3045	-16.0472
1.098	-21.2904	-16.027	-21.2931	-16.0312	-21.2964	-16.0362	-21.3005	-16.0419	-21.3052	-16.0482
1.11796	-21.2906	-16.0272	-21.2934	-16.0316	-21.2968	-16.0368	-21.301	-16.0426	-21.306	-16.0492
1.13792	-21.2908	-16.0275	-21.2937	-16.032	-21.2972	-16.0374	-21.3016	-16.0434	-21.3067	-16.0502
1.15788	-21.291	-16.0277	-21.2939	-16.0324	-21.2977	-16.0379	-21.3022	-16.0442	-21.3075	-16.0513
1.17784	-21.2912	-16.028	-21.2942	-16.0329	-21.2981	-16.0385	-21.3028	-16.0451	-21.3082	-16.0524
1.1978	-21.2914	-16.0282	-21.2945	-16.0333	-21.2985	-16.0392	-21.3033	-16.0459	-21.309	-16.0534
1.21776	-21.2916	-16.0285	-21.2948	-16.0337	-21.299	-16.0398	-21.3039	-16.0467	-21.3098	-16.0545
1.23772	-21.2918	-16.0287	-21.2952	-16.0341	-21.2994	-16.0404	-21.3046	-16.0476	-21.3106	-16.0557
1.25768	-21.292	-16.029	-21.2955	-16.0346	-21.2999	-16.0411	-21.3052	-16.0485	-21.3114	-16.0568
1.27764	-21.2922	-16.0293	-21.2958	-16.035	-21.3003	-16.0417	-21.3058	-16.0494	-21.3122	-16.0579
