Freq_GHz	Norm_dB_meas	Norm_dB_sim
0.33	0	0
0.83	-0.0759701	-0.00450669
1.5	-0.1	-0.0166458
2	-0.35	-0.0302695
2.5	-0.879403	-0.0478097
2.92	-0.69	-0.065583
3.58	-0.377463	-0.099151
4.08	-0.6066	-0.129199
4.42	-0.3568	-0.15192
4.92	-0.79	-0.188722
5.42	-0.529851	-0.229583
6.08	-1.3312	-0.289792
6.42	-1.15213	-0.323616
7	-0.94	-0.385758
7.5	-1.1	-0.443858
8	-0.787463	-0.506184
8.33	-0.922537	-0.549649
8.83	-1.0834	-0.619056
9.33	-1.7468	-0.692762
9.83	-1.28522	-0.77079
10.33	-1.95788	-0.853157
10.83	-1.37	-0.939878
11.17	-1.0096	-1.00134
11.67	-1.0996	-1.09539
12	-1.6398	-1.15985
12.67	-1.78	-1.29656
13.33	-1.77639	-1.43886
13.67	-2.76455	-1.51509
14.17	-2.12955	-1.6308
14.67	-1.8996	-1.75077
15.33	-1.7668	-1.91556
15.67	-2.343	-2.00327
16.5	-3.44	-2.22532
17	-2.5	-2.36441
17.5	-3.13254	-2.5074
18	-2.795	-2.65422
18.5	-2.61	-2.80476
19	-2.355	-2.95895
19.67	-2.29	-3.17109
20.17	-3.65727	-3.33338
20.67	-4.3932	-3.49895
21.17	-3.5372	-3.66769
21.67	-3.85	-3.83947
22.17	-3.4432	-4.01417
22.67	-3.49746	-4.19168
23.17	-3.26	-4.37186
23.67	-4.45	-4.5546
24.33	-4.8904	-4.79951
24.67	-4.98	-4.92722
25.17	-5.17	-5.11686
25.67	-4.494	-5.30855
26	-5.404	-5.43613
26.5	-4.537	-5.63095
27.08	-5.92	-5.8591
27.75	-6.16	-6.12531
28.25	-6.81	-6.32568
28.58	-6.45	-6.45866
29.08	-6.21	-6.66117
29.58	-6.02	-6.86483
30.08	-5.62	-7.06955
