Freq_GHz	Norm_dB
0.1	-1.9627498e-05
0.109982	-2.4499533e-05
0.11996399	-2.9834791e-05
0.12994599	-3.5633277e-05
0.13992799	-4.1894994e-05
0.14990998	-4.8619948e-05
0.15989198	-5.5808143e-05
0.16987397	-6.3459586e-05
0.17985597	-7.1574282e-05
0.18983797	-8.0152238e-05
0.19981996	-8.919346e-05
0.20980196	-9.8697956e-05
0.21978396	-0.00010866573
0.22976595	-0.0001190968
0.23974795	-0.00012999116
0.24972995	-0.00014134883
0.25971194	-0.00015316981
0.26969394	-0.00016545411
0.27967594	-0.00017820175
0.28965793	-0.00019141273
0.29963993	-0.00020508706
0.30962192	-0.00021922476
0.31960392	-0.00023382583
0.32958592	-0.00024889029
0.33956791	-0.00026441814
0.34954991	-0.00028040941
0.35953191	-0.0002968641
0.3695139	-0.00031378222
0.3794959	-0.00033116379
0.3894779	-0.00034900882
0.39945989	-0.00036731733
0.40944189	-0.00038608933
0.41942388	-0.00040532484
0.42940588	-0.00042502386
0.43938788	-0.00044518642
0.44936987	-0.00046581253
0.45935187	-0.00048690221
0.46933387	-0.00050845547
0.47931586	-0.00053047233
0.48929786	-0.00055295281
0.49927986	-0.00057589692
0.50926185	-0.00059930469
0.51924385	-0.00062317613
0.52922585	-0.00064751125
0.53920784	-0.00067231009
0.54918984	-0.00069757265
0.55917183	-0.00072329896
0.56915383	-0.00074948904
0.57913583	-0.0007761429
0.58911782	-0.00080326058
0.59909982	-0.00083084208
0.60908182	-0.00085888744
0.61906381	-0.00088739667
0.62904581	-0.00091636979
0.63902781	-0.00094580684
0.6490098	-0.00097570782
0.6589918	-0.0010060728
0.66897379	-0.0010369017
0.67895579	-0.0010681947
0.68893779	-0.0010999516
0.69891978	-0.0011321727
0.70890178	-0.0011648578
0.71888378	-0.0011980071
0.72886577	-0.0012316204
0.73884777	-0.001265698
0.74882977	-0.0013002397
0.75881176	-0.0013352457
0.76879376	-0.0013707159
0.77877576	-0.0014066503
0.78875775	-0.0014430491
0.79873975	-0.0014799122
0.80872174	-0.0015172396
0.81870374	-0.0015550315
0.82868574	-0.0015932877
0.83866773	-0.0016320084
0.84864973	-0.0016711936
0.85863173	-0.0017108433
0.86861372	-0.0017509575
0.87859572	-0.0017915363
0.88857772	-0.0018325797
0.89855971	-0.0018740877
0.90854171	-0.0019160604
0.9185237	-0.0019584977
0.9285057	-0.0020013998
0.9384877	-0.0020447667
0.94846969	-0.0020885984
0.95845169	-0.0021328949
0.96843369	-0.0021776562
0.97841568	-0.0022228825
0.98839768	-0.0022685737
0.99837968	-0.0023147299
1.0083617	-0.002361351
1.0183437	-0.0024084373
1.0283257	-0.0024559885
1.0383077	-0.002504005
1.0482897	-0.0025524865
1.0582717	-0.0026014333
1.0682537	-0.0026508453
1.0782356	-0.0027007225
1.0882176	-0.0027510651
1.0981996	-0.002801873
1.1081816	-0.0028531463
1.1181636	-0.002904885
1.1281456	-0.0029570892
1.1381276	-0.0030097589
1.1481096	-0.0030628942
1.1580916	-0.003116495
1.1680736	-0.0031705615
1.1780556	-0.0032250936
1.1880376	-0.0032800915
1.1980196	-0.0033355551
1.2080016	-0.0033914845
1.2179836	-0.0034478797
1.2279656	-0.0035047409
1.2379476	-0.003562068
1.2479296	-0.003619861
1.2579116	-0.0036781201
1.2678936	-0.0037368452
1.2778756	-0.0037960365
1.2878576	-0.0038556939
1.2978396	-0.0039158175
1.3078216	-0.0039764074
1.3178036	-0.0040374636
1.3277856	-0.0040989861
1.3377676	-0.004160975
1.3477495	-0.0042234304
1.3577315	-0.0042863522
1.3677135	-0.0043497406
1.3776955	-0.0044135956
1.3876775	-0.0044779172
1.3976595	-0.0045427055
1.4076415	-0.0046079606
1.4176235	-0.0046736824
1.4276055	-0.0047398711
1.4375875	-0.0048065266
1.4475695	-0.0048736491
1.4575515	-0.0049412387
1.4675335	-0.0050092952
1.4775155	-0.0050778189
1.4874975	-0.0051468097
1.4974795	-0.0052162677
1.5074615	-0.005286193
1.5174435	-0.0053565856
1.5274255	-0.0054274456
1.5374075	-0.005498773
1.5473895	-0.0055705679
1.5573715	-0.0056428303
1.5673535	-0.0057155603
1.5773355	-0.005788758
1.5873175	-0.0058624234
1.5972995	-0.0059365565
1.6072815	-0.0060111575
1.6172635	-0.0060862263
1.6272454	-0.0061617631
1.6372274	-0.0062377679
1.6472094	-0.0063142407
1.6571914	-0.0063911817
1.6671734	-0.0064685908
1.6771554	-0.0065464681
1.6871374	-0.0066248138
1.6971194	-0.0067036278
1.7071014	-0.0067829102
1.7170834	-0.0068626611
1.7270654	-0.0069428806
1.7370474	-0.0070235686
1.7470294	-0.0071047254
1.7570114	-0.0071863508
1.7669934	-0.007268445
1.7769754	-0.0073510081
1.7869574	-0.0074340401
1.7969394	-0.0075175411
1.8069214	-0.0076015112
1.8169034	-0.0076859503
1.8268854	-0.0077708587
1.8368674	-0.0078562362
1.8468494	-0.0079420831
1.8568314	-0.0080283994
1.8668134	-0.0081151851
1.8767954	-0.0082024403
1.8867774	-0.0082901652
1.8967594	-0.0083783596
1.9067413	-0.0084670238
1.9167233	-0.0085561577
1.9267053	-0.0086457615
1.9366873	-0.0087358353
1.9466693	-0.008826379
1.9566513	-0.0089173928
1.9666333	-0.0090088767
1.9766153	-0.0091008308
1.9865973	-0.0091932552
1.9965793	-0.00928615
2.0065613	-0.0093795151
2.0165433	-0.0094733508
2.0265253	-0.009567657
2.0365073	-0.0096624339
2.0464893	-0.0097576814
2.0564713	-0.0098533998
2.0664533	-0.009949589
2.0764353	-0.010046249
2.0864173	-0.01014338
2.0963993	-0.010240983
2.1063813	-0.010339056
2.1163633	-0.010437601
2.1263453	-0.010536617
2.1363273	-0.010636104
2.1463093	-0.010736063
2.1562913	-0.010836493
2.1662733	-0.010937395
2.1762553	-0.011038769
2.1862372	-0.011140614
2.1962192	-0.011242931
2.2062012	-0.01134572
2.2161832	-0.011448982
2.2261652	-0.011552715
2.2361472	-0.01165692
2.2461292	-0.011761598
2.2561112	-0.011866748
2.2660932	-0.011972371
2.2760752	-0.012078466
2.2860572	-0.012185033
2.2960392	-0.012292074
2.3060212	-0.012399587
2.3160032	-0.012507572
2.3259852	-0.012616031
2.3359672	-0.012724963
2.3459492	-0.012834368
2.3559312	-0.012944246
2.3659132	-0.013054597
2.3758952	-0.013165421
2.3858772	-0.013276719
2.3958592	-0.013388491
2.4058412	-0.013500736
2.4158232	-0.013613454
2.4258052	-0.013726647
2.4357872	-0.013840313
2.4457692	-0.013954454
2.4557512	-0.014069068
2.4657331	-0.014184156
2.4757151	-0.014299719
2.4856971	-0.014415756
2.4956791	-0.014532267
2.5056611	-0.014649253
2.5156431	-0.014766713
2.5256251	-0.014884648
2.5356071	-0.015003058
2.5455891	-0.015121943
2.5555711	-0.015241302
2.5655531	-0.015361137
2.5755351	-0.015481447
2.5855171	-0.015602231
2.5954991	-0.015723492
2.6054811	-0.015845227
2.6154631	-0.015967438
2.6254451	-0.016090125
2.6354271	-0.016213287
2.6454091	-0.016336925
2.6553911	-0.016461039
2.6653731	-0.016585629
2.6753551	-0.016710695
2.6853371	-0.016836237
2.6953191	-0.016962255
2.7053011	-0.01708875
2.7152831	-0.017215721
2.7252651	-0.017343169
2.735247	-0.017471093
2.745229	-0.017599494
2.755211	-0.017728372
2.765193	-0.017857727
2.775175	-0.017987559
2.785157	-0.018117868
2.795139	-0.018248654
2.805121	-0.018379918
2.815103	-0.018511659
2.825085	-0.018643878
2.835067	-0.018776574
2.845049	-0.018909748
2.855031	-0.0190434
2.865013	-0.019177529
2.874995	-0.019312137
2.884977	-0.019447223
2.894959	-0.019582787
2.904941	-0.01971883
2.914923	-0.019855351
2.924905	-0.019992351
2.934887	-0.020129829
2.944869	-0.020267786
2.954851	-0.020406222
2.964833	-0.020545137
2.974815	-0.020684531
2.984797	-0.020824404
2.994779	-0.020964757
3.004761	-0.021105589
3.0147429	-0.021246901
3.0247249	-0.021388692
3.0347069	-0.021530963
3.0446889	-0.021673714
3.0546709	-0.021816944
3.0646529	-0.021960655
3.0746349	-0.022104846
3.0846169	-0.022249518
3.0945989	-0.022394669
3.1045809	-0.022540302
3.1145629	-0.022686415
3.1245449	-0.022833008
3.1345269	-0.022980083
3.1445089	-0.023127638
3.1544909	-0.023275675
3.1644729	-0.023424193
3.1744549	-0.023573192
3.1844369	-0.023722672
3.1944189	-0.023872635
3.2044009	-0.024023078
3.2143829	-0.024174004
3.2243649	-0.024325411
3.2343469	-0.024477301
3.2443289	-0.024629672
3.2543109	-0.024782526
3.2642929	-0.024935862
3.2742749	-0.025089681
3.2842569	-0.025243982
3.2942388	-0.025398766
3.3042208	-0.025554032
3.3142028	-0.025709782
3.3241848	-0.025866015
3.3341668	-0.026022731
3.3441488	-0.02617993
3.3541308	-0.026337612
3.3641128	-0.026495779
3.3740948	-0.026654428
3.3840768	-0.026813562
3.3940588	-0.026973179
3.4040408	-0.027133281
3.4140228	-0.027293867
3.4240048	-0.027454937
3.4339868	-0.027616491
3.4439688	-0.02777853
3.4539508	-0.027941054
3.4639328	-0.028104062
3.4739148	-0.028267555
3.4838968	-0.028431533
3.4938788	-0.028595997
3.5038608	-0.028760945
3.5138428	-0.028926379
3.5238248	-0.029092299
3.5338068	-0.029258704
3.5437888	-0.029425595
3.5537708	-0.029592972
3.5637528	-0.029760835
3.5737347	-0.029929184
3.5837167	-0.030098019
3.5936987	-0.030267341
3.6036807	-0.030437149
3.6136627	-0.030607444
3.6236447	-0.030778226
3.6336267	-0.030949495
3.6436087	-0.031121251
3.6535907	-0.031293494
3.6635727	-0.031466224
3.6735547	-0.031639442
3.6835367	-0.031813147
3.6935187	-0.03198734
3.7035007	-0.032162021
3.7134827	-0.03233719
3.7234647	-0.032512847
3.7334467	-0.032688993
3.7434287	-0.032865626
3.7534107	-0.033042749
3.7633927	-0.03322036
3.7733747	-0.033398459
3.7833567	-0.033577048
3.7933387	-0.033756126
3.8033207	-0.033935692
3.8133027	-0.034115749
3.8232847	-0.034296294
3.8332667	-0.03447733
3.8432486	-0.034658855
3.8532306	-0.03484087
3.8632126	-0.035023375
3.8731946	-0.03520637
3.8831766	-0.035389856
3.8931586	-0.035573831
3.9031406	-0.035758298
3.9131226	-0.035943255
3.9231046	-0.036128703
3.9330866	-0.036314642
3.9430686	-0.036501073
3.9530506	-0.036687994
3.9630326	-0.036875407
3.9730146	-0.037063312
3.9829966	-0.037251708
3.9929786	-0.037440596
4.0029606	-0.037629976
4.0129426	-0.037819848
4.0229246	-0.038010213
4.0329066	-0.03820107
4.0428886	-0.03839242
4.0528706	-0.038584262
4.0628526	-0.038776597
4.0728346	-0.038969425
4.0828166	-0.039162747
4.0927986	-0.039356561
4.1027806	-0.039550869
4.1127626	-0.039745671
4.1227445	-0.039940967
4.1327265	-0.040136756
4.1427085	-0.040333039
4.1526905	-0.040529817
4.1626725	-0.040727089
4.1726545	-0.040924855
4.1826365	-0.041123116
4.1926185	-0.041321872
4.2026005	-0.041521123
4.2125825	-0.041720869
4.2225645	-0.04192111
4.2325465	-0.042121847
4.2425285	-0.042323079
4.2525105	-0.042524807
4.2624925	-0.04272703
4.2724745	-0.04292975
4.2824565	-0.043132966
4.2924385	-0.043336678
4.3024205	-0.043540887
4.3124025	-0.043745592
4.3223845	-0.043950794
4.3323665	-0.044156493
4.3423485	-0.044362689
4.3523305	-0.044569382
4.3623125	-0.044776573
4.3722945	-0.044984261
4.3822765	-0.045192447
4.3922585	-0.045401131
4.4022404	-0.045610312
4.4122224	-0.045819992
4.4222044	-0.046030171
4.4321864	-0.046240848
4.4421684	-0.046452023
4.4521504	-0.046663697
4.4621324	-0.046875871
4.4721144	-0.047088543
4.4820964	-0.047301715
4.4920784	-0.047515386
4.5020604	-0.047729557
4.5120424	-0.047944227
4.5220244	-0.048159398
4.5320064	-0.048375068
4.5419884	-0.048591239
4.5519704	-0.048807911
4.5619524	-0.049025083
4.5719344	-0.049242755
4.5819164	-0.049460929
4.5918984	-0.049679603
4.6018804	-0.049898779
4.6118624	-0.050118457
4.6218444	-0.050338636
4.6318264	-0.050559316
4.6418084	-0.050780499
4.6517904	-0.051002183
4.6617724	-0.05122437
4.6717544	-0.051447059
4.6817363	-0.051670251
4.6917183	-0.051893946
4.7017003	-0.052118143
4.7116823	-0.052342844
4.7216643	-0.052568048
4.7316463	-0.052793755
4.7416283	-0.053019966
4.7516103	-0.05324668
4.7615923	-0.053473899
4.7715743	-0.053701622
4.7815563	-0.053929848
4.7915383	-0.05415858
4.8015203	-0.054387816
4.8115023	-0.054617556
4.8214843	-0.054847802
4.8314663	-0.055078553
4.8414483	-0.055309809
4.8514303	-0.05554157
4.8614123	-0.055773838
4.8713943	-0.056006611
4.8813763	-0.05623989
4.8913583	-0.056473675
4.9013403	-0.056707966
4.9113223	-0.056942764
4.9213043	-0.057178069
4.9312863	-0.057413881
4.9412683	-0.057650199
4.9512503	-0.057887025
4.9612322	-0.058124358
4.9712142	-0.058362199
4.9811962	-0.058600548
4.9911782	-0.058839404
5.0011602	-0.059078769
5.0111422	-0.059318642
5.0211242	-0.059559023
5.0311062	-0.059799913
5.0410882	-0.060041312
5.0510702	-0.06028322
5.0610522	-0.060525637
5.0710342	-0.060768563
5.0810162	-0.061011999
5.0909982	-0.061255945
5.1009802	-0.061500401
5.1109622	-0.061745366
5.1209442	-0.061990842
5.1309262	-0.062236829
5.1409082	-0.062483326
5.1508902	-0.062730334
5.1608722	-0.062977853
5.1708542	-0.063225883
5.1808362	-0.063474424
5.1908182	-0.063723477
5.2008002	-0.063973042
5.2107822	-0.064223119
5.2207642	-0.064473708
5.2307461	-0.064724809
5.2407281	-0.064976423
5.2507101	-0.065228549
5.2606921	-0.065481188
5.2706741	-0.065734341
5.2806561	-0.065988006
5.2906381	-0.066242185
5.3006201	-0.066496878
5.3106021	-0.066752084
5.3205841	-0.067007804
5.3305661	-0.067264039
5.3405481	-0.067520788
5.3505301	-0.067778052
5.3605121	-0.06803583
5.3704941	-0.068294123
5.3804761	-0.068552932
5.3904581	-0.068812255
5.4004401	-0.069072095
5.4104221	-0.06933245
5.4204041	-0.06959332
5.4303861	-0.069854707
5.4403681	-0.070116611
5.4503501	-0.070379031
5.4603321	-0.070641967
5.4703141	-0.07090542
5.4802961	-0.071169391
5.4902781	-0.071433879
5.5002601	-0.071698884
5.510242	-0.071964407
5.520224	-0.072230447
5.530206	-0.072497006
5.540188	-0.072764083
5.55017	-0.073031679
5.560152	-0.073299793
5.570134	-0.073568426
5.580116	-0.073837578
5.590098	-0.074107249
5.60008	-0.07437744
5.610062	-0.07464815
5.620044	-0.074919381
5.630026	-0.075191131
5.640008	-0.075463401
5.64999	-0.075736192
5.659972	-0.076009504
5.669954	-0.076283336
5.679936	-0.07655769
5.689918	-0.076832565
5.6999	-0.077107961
5.709882	-0.077383879
5.719864	-0.077660318
5.729846	-0.07793728
5.739828	-0.078214764
5.74981	-0.078492771
5.759792	-0.0787713
5.769774	-0.079050352
5.779756	-0.079329927
5.7897379	-0.079610026
5.7997199	-0.079890648
5.8097019	-0.080171793
5.8196839	-0.080453463
5.8296659	-0.080735657
5.8396479	-0.081018375
5.8496299	-0.081301617
5.8596119	-0.081585384
5.8695939	-0.081869677
5.8795759	-0.082154494
5.8895579	-0.082439837
5.8995399	-0.082725705
5.9095219	-0.083012099
5.9195039	-0.083299019
5.9294859	-0.083586466
5.9394679	-0.083874438
5.9494499	-0.084162938
5.9594319	-0.084451964
5.9694139	-0.084741517
5.9793959	-0.085031598
5.9893779	-0.085322206
5.9993599	-0.085613341
6.0093419	-0.085905005
6.0193239	-0.086197197
6.0293059	-0.086489917
6.0392879	-0.086783165
6.0492699	-0.087076942
6.0592519	-0.087371249
6.0692338	-0.087666084
6.0792158	-0.087961449
6.0891978	-0.088257343
6.0991798	-0.088553768
6.1091618	-0.088850722
6.1191438	-0.089148207
6.1291258	-0.089446222
6.1391078	-0.089744767
6.1490898	-0.090043844
6.1590718	-0.090343452
6.1690538	-0.090643591
6.1790358	-0.090944262
6.1890178	-0.091245464
6.1989998	-0.091547199
6.2089818	-0.091849466
6.2189638	-0.092152265
6.2289458	-0.092455597
6.2389278	-0.092759462
6.2489098	-0.09306386
6.2588918	-0.093368791
6.2688738	-0.093674256
6.2788558	-0.093980254
6.2888378	-0.094286787
6.2988198	-0.094593854
6.3088018	-0.094901455
6.3187838	-0.095209591
6.3287658	-0.095518262
6.3387477	-0.095827468
6.3487297	-0.096137209
6.3587117	-0.096447486
6.3686937	-0.096758298
6.3786757	-0.097069647
6.3886577	-0.097381532
6.3986397	-0.097693953
6.4086217	-0.098006911
6.4186037	-0.098320406
6.4285857	-0.098634438
6.4385677	-0.098949008
6.4485497	-0.099264115
6.4585317	-0.09957976
6.4685137	-0.099895943
6.4784957	-0.10021266
6.4884777	-0.10052992
