Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-0.018988416	0.10482372	-6.6095748e-07	-0.069670801
0.20995	0.0050115995	-1.3700469	-0.00029133026	-1.4627438
0.4099	0.0050031962	-2.7276926	-0.0011103354	-2.8558459
0.60985	-0.0023203497	-4.1082416	-0.0024572711	-4.2490049
0.8098	-0.0021234755	-5.475275	-0.0043314704	-5.6422481
1.00975	-0.0020370565	-6.7642856	-0.0067320041	-7.0356029
1.2097	-0.011534126	-8.1065969	-0.0096576802	-8.4290961
1.40965	-0.0097271279	-9.4154682	-0.013107043	-9.8227542
1.6096	-0.013672099	-10.79312	-0.017078373	-11.216603
1.80955	-0.015774311	-12.117577	-0.021569683	-12.610669
2.0095	-0.022404071	-13.441583	-0.026578722	-14.004975
2.20945	-0.031441059	-14.809508	-0.032102969	-15.399547
2.4094	-0.042231839	-16.10083	-0.038139632	-16.794407
2.60935	-0.037797716	-17.398556	-0.04468565	-18.189578
2.8093	-0.049320225	-18.716969	-0.051737689	-19.585081
3.00925	-0.048157617	-20.035763	-0.059292138	-20.980937
3.2092	-0.050770827	-21.337568	-0.067345111	-22.377164
3.40915	-0.049861033	-22.66633	-0.075892444	-23.77378
3.6091	-0.05792895	-24.033876	-0.084929693	-25.170803
3.80905	-0.072204821	-25.337599	-0.094452128	-26.568248
4.009	-0.072207719	-26.666882	-0.10445474	-27.966127
4.20895	-0.072780445	-27.979881	-0.11493223	-29.364455
4.4089	-0.082473628	-29.326231	-0.12587902	-30.763242
4.60885	-0.091209866	-30.656286	-0.13728923	-32.162496
4.8088	-0.094130784	-31.930164	-0.14915669	-33.562226
5.00875	-0.10054819	-33.278378	-0.16147496	-34.962437
5.2087	-0.098862059	-34.588608	-0.17423727	-36.363133
5.40865	-0.1088887	-35.942471	-0.18743659	-37.764315
5.6086	-0.12110238	-37.240135	-0.20106556	-39.165985
5.80855	-0.12124896	-38.591549	-0.21511657	-40.56814
6.0085	-0.13126999	-39.892437	-0.22958167	-41.970775
6.20845	-0.14260064	-41.178196	-0.24445263	-43.373885
6.4084	-0.15585424	-42.578068	-0.25972094	-44.77746
6.60835	-0.15727156	-43.830723	-0.27537776	-46.181491
6.8083	-0.17384268	-45.188251	-0.29141398	-47.585963
7.00825	-0.18209077	-46.48732	-0.30782021	-48.990862
7.2082	-0.18706079	-47.795113	-0.32458673	-50.39617
7.40815	-0.19921213	-49.139942	-0.34170356	-51.801866
7.6081	-0.20836541	-50.472794	-0.35916042	-53.207927
7.80805	-0.22688667	-51.763798	-0.37694677	-54.614328
8.008	-0.2326529	-53.067139	-0.39505177	-56.021041
8.20795	-0.24548885	-54.39827	-0.41346431	-57.428035
8.4079	-0.25072378	-55.67783	-0.43217301	-58.835277
8.60785	-0.25980023	-57.059502	-0.45116623	-60.242731
8.8078	-0.27634311	-58.351646	-0.47043208	-61.650358
9.00775	-0.28276131	-59.656853	-0.4899584	-63.058117
9.2077	-0.29907313	-60.922878	-0.5097328	-64.465963
9.40765	-0.29956681	-62.287781	-0.52974266	-65.87385
9.6076	-0.31691012	-63.579369	-0.54997513	-67.281728
9.80755	-0.34396127	-64.877922	-0.57041713	-68.689543
10.0075	-0.33953422	-66.211899	-0.59105539	-70.097242
10.2075	-0.37051842	-67.431625	-0.61188167	-71.505117
10.4074	-0.3770164	-68.823845	-0.63286662	-72.912051
10.6074	-0.399185	-70.108589	-0.6540174	-74.319388
10.8073	-0.39944538	-71.404633	-0.67529889	-75.725654
11.0073	-0.41311365	-72.696617	-0.69671822	-77.132187
11.2072	-0.43089047	-73.961479	-0.71823973	-78.537508
11.4072	-0.44868219	-75.274948	-0.73987054	-79.942948
11.6071	-0.46461147	-76.679916	-0.76157454	-81.347023
11.8071	-0.4707959	-77.885986	-0.78335887	-82.751058
12.007	-0.49382478	-79.294357	-0.80518709	-84.153566
12.207	-0.49723181	-80.480232	-0.82706635	-85.555863
12.4069	-0.51386529	-81.913467	-0.84896001	-86.956461
12.6069	-0.51887995	-83.023689	-0.87087523	-88.356668
12.8068	-0.54786325	-84.530251	-0.89277532	-89.754992
13.0068	-0.54684627	-85.776245	-0.91466745	-91.152736
13.2067	-0.57149649	-87.115898	-0.93651501	-92.548403
13.4067	-0.57404238	-88.443581	-0.95832521	-93.94329
13.6066	-0.5988704	-89.471825	-0.98006165	-95.335899
13.8066	-0.60931718	-90.8965	-1.0017316	-96.72752
14.0065	-0.63522816	-92.269661	-1.0232989	-98.116652
14.2065	-0.6445142	-93.764336	-1.044771	-99.504579
14.4064	-0.65886599	-94.843117	-1.0661124	-100.8898
14.6064	-0.67567974	-96.268463	-1.0873302	-102.27359
14.8063	-0.70224142	-97.474472	-1.1083898	-103.65445
15.0063	-0.71849293	-98.90168	-1.1292985	-105.03365
15.2062	-0.73840415	-100.18143	-1.1500221	-106.40968
15.4062	-0.74419123	-101.48087	-1.1705683	-107.78382
15.6061	-0.77331448	-102.7944	-1.1909037	-109.15456
15.8061	-0.78959632	-104.07929	-1.2110362	-110.52316
16.006	-0.80682153	-105.42519	-1.2309333	-111.88812
16.206	-0.83020163	-106.66254	-1.250603	-113.2507
16.4059	-0.83618808	-108.0027	-1.2700141	-114.60939
16.6059	-0.86879247	-109.21833	-1.2891747	-115.96544
16.8058	-0.88388765	-110.5259	-1.3080548	-117.31738
17.0058	-0.902502	-111.9091	-1.3266627	-118.66642
17.2057	-0.91829914	-113.11282	-1.3449695	-120.01109
17.4057	-0.93230683	-114.44503	-1.362984	-121.35261
17.6056	-0.96893394	-115.65791	-1.3806787	-122.68953
17.8056	-0.98504525	-117.05387	-1.3980624	-124.02304
18.0055	-1.0147066	-118.25706	-1.4151091	-125.3517
18.2055	-1.0233022	-119.54317	-1.4318279	-126.67671
18.4054	-1.0572702	-120.79497	-1.4481944	-127.99662
18.6054	-1.0705467	-122.08029	-1.4642177	-129.31263
18.8053	-1.0907645	-123.44467	-1.4798751	-130.62331
19.0053	-1.1164056	-124.57787	-1.495176	-131.92984
19.2052	-1.1345857	-125.96062	-1.5100992	-133.23081
19.4052	-1.1667556	-127.20724	-1.5246543	-134.52739
19.6051	-1.1733708	-128.44199	-1.5388217	-135.81817
19.8051	-1.2039938	-129.79222	-1.5526113	-137.10434
20.005	-1.2065276	-130.99069	-1.5660053	-138.38449
20.205	-1.2546269	-132.2998	-1.5790135	-139.65979
20.4049	-1.2658521	-133.54836	-1.5916198	-140.92887
20.6049	-1.28203	-134.81398	-1.6038342	-142.19288
20.8048	-1.3034981	-136.09261	-1.6156423	-143.45046
21.0048	-1.3296927	-137.25861	-1.6270542	-144.70276
21.2047	-1.3651661	-138.67944	-1.6380572	-145.94844
21.4047	-1.3846167	-139.83615	-1.6486614	-147.18863
21.6046	-1.3910024	-141.15031	-1.6588557	-148.42202
21.8046	-1.4437933	-142.32739	-1.6686503	-149.64974
22.0045	-1.4488305	-143.74615	-1.6780357	-150.87047
22.2045	-1.4853512	-144.87964	-1.6870222	-152.08535
22.4044	-1.4820613	-146.19211	-1.6956017	-153.29309
22.6044	-1.5365545	-147.42802	-1.7037844	-154.49481
22.8043	-1.540565	-148.60161	-1.7115639	-155.68924
23.0043	-1.5664526	-149.90881	-1.7189503	-156.87749
23.2042	-1.5937176	-151.1516	-1.7259386	-158.0583
23.4042	-1.6013852	-152.33614	-1.7325387	-159.2328
23.6041	-1.6471792	-153.59027	-1.7387471	-160.39974
23.8041	-1.6574312	-154.76961	-1.7445735	-161.56023
24.004	-1.6846396	-156.02454	-1.7500157	-162.71305
24.204	-1.6962751	-157.20822	-1.7550833	-163.8593
24.4039	-1.7335354	-158.48384	-1.7597754	-164.99777
24.6039	-1.7509836	-159.71841	-1.764101	-166.12958
24.8038	-1.7638682	-160.92578	-1.7680607	-167.25352
25.0038	-1.7895609	-162.03662	-1.7716633	-168.3707
25.2037	-1.8172041	-163.3074	-1.7749103	-169.47995
25.4037	-1.8443323	-164.61943	-1.7778101	-170.58235
25.6036	-1.8597814	-165.68259	-1.7803654	-171.67675
25.8036	-1.8837651	-167.05237	-1.7825844	-172.76424
26.0035	-1.8931085	-168.03615	-1.7844705	-173.84369
26.2035	-1.9257936	-169.44215	-1.7860316	-174.91616
26.4034	-1.9530374	-170.59758	-1.787272	-175.98056
26.6034	-1.9623553	-171.82857	-1.7881991	-177.03794
26.8033	-1.9919976	-172.96465	-1.7888182	-178.08722
27.0033	-2.0038717	-174.00748	-1.7891362	-179.12945
27.2032	-2.0521059	-175.39827	-1.7891591	179.83644
27.4032	-2.0530498	-176.43593	-1.7888933	178.8094
27.6031	-2.076792	-177.61868	-1.7883455	177.79047
27.8031	-2.1196351	-178.73067	-1.7875217	176.77863
