Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-4.3106275	0.54996759	-4.4369752	-0.071129281
0.20995	-4.2498937	-1.5649314	-4.4370842	-1.4933709
0.4099	-4.2617178	-3.2265463	-4.4373909	-2.9156763
0.60985	-4.256319	-4.8497338	-4.4378947	-4.3381059
0.8098	-4.2550278	-6.502212	-4.4385945	-5.7607198
1.00975	-4.2644458	-8.0130043	-4.4394887	-7.183578
1.2097	-4.2609439	-9.625988	-4.4405753	-8.6067396
1.40965	-4.2544031	-11.154474	-4.4418518	-10.030263
1.6096	-4.2592101	-12.847212	-4.4433153	-11.454206
1.80955	-4.2575645	-14.460075	-4.4449626	-12.878625
2.0095	-4.2604728	-16.043968	-4.4467897	-14.303576
2.20945	-4.2660232	-17.665081	-4.4487926	-15.729112
2.4094	-4.2802577	-19.118826	-4.4509666	-17.155286
2.60935	-4.2582979	-20.658148	-4.4533066	-18.58215
2.8093	-4.2756848	-22.222492	-4.4558071	-20.009754
3.00925	-4.2577004	-23.746962	-4.4584623	-21.438143
3.2092	-4.2721748	-25.329008	-4.4612657	-22.867365
3.40915	-4.2518444	-26.810804	-4.4642108	-24.297462
3.6091	-4.2436261	-28.523233	-4.4672903	-25.728475
3.80905	-4.2619562	-30.069036	-4.4704967	-27.160444
4.009	-4.2444201	-31.665543	-4.4738222	-28.593405
4.20895	-4.2503409	-33.1745	-4.4772582	-30.02739
4.4089	-4.2373366	-34.750389	-4.4807963	-31.46243
4.60885	-4.2523713	-36.31728	-4.4844272	-32.898554
4.8088	-4.2260327	-37.790764	-4.4881416	-34.335785
5.00875	-4.2239623	-39.317875	-4.4919297	-35.774145
5.2087	-4.2155776	-40.808636	-4.4957814	-37.213652
5.40865	-4.2107196	-42.44215	-4.4996861	-38.65432
5.6086	-4.2043543	-43.969551	-4.5036331	-40.09616
5.80855	-4.1853485	-45.449642	-4.5076114	-41.539179
6.0085	-4.2070608	-47.014927	-4.5116094	-42.983381
6.20845	-4.1888332	-48.479496	-4.5156156	-44.428765
6.4084	-4.1925292	-50.131996	-4.519618	-45.875326
6.60835	-4.1687603	-51.448284	-4.5236044	-47.323056
6.8083	-4.1824851	-53.133217	-4.5275623	-48.77194
7.00825	-4.1720414	-54.521561	-4.5314791	-50.221962
7.2082	-4.1546741	-56.037518	-4.5353419	-51.673099
7.40815	-4.1599278	-57.622734	-4.5391377	-53.125325
7.6081	-4.1519041	-59.078152	-4.5428532	-54.578609
7.80805	-4.1577811	-60.608784	-4.5464751	-56.032915
8.008	-4.1474099	-61.980373	-4.5499899	-57.488202
8.20795	-4.1377044	-63.56414	-4.553384	-58.944426
8.4079	-4.1358261	-64.925194	-4.5566437	-60.401535
8.60785	-4.1167789	-66.510956	-4.5597552	-61.859475
8.8078	-4.1262965	-67.955635	-4.5627049	-63.318186
9.00775	-4.1071796	-69.410568	-4.5654788	-64.777602
9.2077	-4.1082578	-70.801323	-4.5680633	-66.237654
9.40765	-4.0933809	-72.265564	-4.5704446	-67.698268
9.6076	-4.0898819	-73.684608	-4.572609	-69.159362
9.80755	-4.1027575	-75.146423	-4.574543	-70.620853
10.0075	-4.0617266	-76.513573	-4.5762331	-72.082651
10.2075	-4.0944858	-77.914085	-4.5776663	-73.545027
10.4074	-4.0610819	-79.379356	-4.5788285	-75.006785
10.6074	-4.081532	-80.872429	-4.5797078	-76.469283
10.8073	-4.0454359	-82.122101	-4.5802907	-77.930951
11.0073	-4.0462275	-83.608788	-4.5805654	-79.393137
11.2072	-4.0466695	-84.920341	-4.5805192	-80.854263
11.4072	-4.0404949	-86.399063	-4.5801404	-82.315667
11.6071	-4.0364456	-87.923698	-4.5794177	-83.775762
11.8071	-4.0029893	-89.0485	-4.5783392	-85.235879
12.007	-4.0091467	-90.732536	-4.5768951	-86.694423
12.207	-3.99106	-91.70285	-4.5750736	-88.152715
12.4069	-3.9725971	-93.552025	-4.5728666	-89.609157
12.6069	-3.972821	-94.328018	-4.5702623	-91.065059
12.8068	-3.9649751	-96.250771	-4.5672542	-92.518817
13.0068	-3.9465168	-97.31675	-4.5638308	-93.971735
13.2067	-3.9427373	-98.89959	-4.5599875	-95.422206
13.4067	-3.9212403	-100.21586	-4.5557129	-96.871523
13.6066	-3.9318974	-101.41338	-4.5510043	-98.318079
13.8066	-3.9068749	-102.99113	-4.5458505	-99.763159
14.0065	-3.9274771	-104.11765	-4.540251	-101.20515
14.2065	-3.8765786	-105.68882	-4.5341949	-102.64534
14.4064	-3.8907509	-106.79916	-4.5276837	-104.08212
14.6064	-3.8626921	-108.27311	-4.5207067	-105.51675
14.8063	-3.884089	-109.58724	-4.5132675	-106.94764
15.0063	-3.8511865	-111.00903	-4.505356	-108.37604
15.2062	-3.8481789	-112.38738	-4.4969779	-109.80036
15.4062	-3.8294833	-113.53998	-4.4881233	-111.22185
15.6061	-3.8312263	-115.01263	-4.4788001	-112.63893
15.8061	-3.8351393	-116.28878	-4.4689987	-114.05283
16.006	-3.7983797	-117.64959	-4.4587294	-115.46199
16.206	-3.8101962	-118.85812	-4.4479827	-116.86763
16.4059	-3.7674689	-120.23672	-4.4367711	-118.26819
16.6059	-3.7839661	-121.40918	-4.4250855	-119.6649
16.8058	-3.773484	-122.73951	-4.4129403	-121.05621
17.0058	-3.7656014	-124.11129	-4.4003269	-122.44334
17.2057	-3.7389629	-125.31288	-4.3872616	-123.82475
17.4057	-3.7166064	-126.47836	-4.373736	-125.20166
17.6056	-3.7588263	-127.74537	-4.3597686	-126.57253
17.8056	-3.7172713	-129.09212	-4.345351	-127.9386
18.0055	-3.7317991	-130.347	-4.3305036	-129.29834
18.2055	-3.7081535	-131.43205	-4.3152181	-130.65297
18.4054	-3.7127559	-132.845	-4.2995168	-132.00099
18.6054	-3.687428	-133.97856	-4.2833915	-133.34361
18.8053	-3.6614373	-135.27495	-4.266866	-134.67935
19.0053	-3.6875484	-136.37587	-4.2499322	-136.00942
19.2052	-3.6519384	-137.6535	-4.2326157	-137.33235
