Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-0.018988416	0.10482372	-6.0896578e-07	-0.067546801	0.9978146	0.0018255228	0.99999923	-0.0011789137
0.20995	0.0050115995	-1.3700469	-0.00026841557	-1.4181526	1.0002911	-0.02392335	0.99966281	-0.02474814
0.4099	0.0050031962	-2.7276926	-0.0010230198	-2.7687991	0.99944252	-0.047616656	0.99871496	-0.048300165
0.60985	-0.0023203497	-4.1082416	-0.0022641004	-4.1195252	0.99716407	-0.071621783	0.9971564	-0.071818624
0.8098	-0.0021234755	-5.475275	-0.0039911283	-5.4703694	0.99519414	-0.095392874	0.99498833	-0.095287174
1.00975	-0.0020370565	-6.7642856	-0.0062033666	-6.82137	0.99280626	-0.11775738	0.9922124	-0.11868952
1.2097	-0.011534126	-8.1065969	-0.008899869	-8.1725651	0.98869365	-0.14082809	0.9888307	-0.1420094
1.40965	-0.0097271279	-9.4154682	-0.012079479	-9.5239922	0.98542386	-0.1634092	0.98484582	-0.16523065
1.6096	-0.013672099	-10.79312	-0.015740831	-10.875688	0.98076475	-0.18696883	0.98026079	-0.18833715
1.80955	-0.015774311	-12.117577	-0.019882343	-12.22769	0.97594488	-0.20953763	0.9750791	-0.21131289
2.0095	-0.022404071	-13.441583	-0.024502224	-13.580034	0.97010195	-0.23185503	0.96930469	-0.23414197
2.20945	-0.031441059	-14.809508	-0.029598462	-14.932754	0.96328777	-0.25468263	0.96294196	-0.25680859
2.4094	-0.042231839	-16.10083	-0.035168831	-16.285885	0.95611507	-0.27598344	0.95599577	-0.27929709
2.60935	-0.037797716	-17.398556	-0.041210884	-17.639461	0.95010436	-0.29771836	0.94847141	-0.30159197
2.8093	-0.049320225	-18.716969	-0.047721952	-18.993513	0.94175261	-0.31907657	0.94037461	-0.32367786
3.00925	-0.048157617	-20.035763	-0.054699142	-20.348073	0.93428457	-0.34071234	0.93171157	-0.34553956
3.2092	-0.050770827	-21.337568	-0.062139334	-21.703172	0.92602419	-0.3617414	0.9224889	-0.36716209
3.40915	-0.049861033	-22.66633	-0.070039179	-23.058839	0.91748279	-0.38315801	0.91271364	-0.38853061
3.6091	-0.05792895	-24.033876	-0.078395096	-24.415101	0.90723396	-0.40456948	0.90239327	-0.40963055
