Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-17.4279	-177.789	-17.306	-179.981	-0.134363	-0.00518794	-0.136364	-4.45059e-05
0.20995	-17.3508	-179.367	-17.3043	-179.608	-0.135654	-0.00149878	-0.136387	-0.000934295
0.4099	-17.3041	-178.604	-17.2996	-179.234	-0.136353	-0.00332232	-0.136452	-0.00182351
0.60985	-17.2996	-178.016	-17.2919	-178.862	-0.136383	-0.00472355	-0.136559	-0.00271159
0.8098	-17.2914	-177.089	-17.2811	-178.492	-0.136418	-0.00693613	-0.136708	-0.003598
1.00975	-17.285	-176.636	-17.2673	-178.125	-0.136458	-0.00802095	-0.1369	-0.00448217
1.2097	-17.2775	-175.732	-17.2505	-177.76	-0.136432	-0.0101824	-0.137133	-0.00536357
1.40965	-17.2155	-175.341	-17.2308	-177.399	-0.137338	-0.0111912	-0.137408	-0.00624163
1.6096	-17.2121	-174.599	-17.2082	-177.042	-0.137235	-0.0129758	-0.137725	-0.0071158
1.80955	-17.1377	-173.816	-17.1826	-176.69	-0.138223	-0.0149767	-0.138084	-0.00798553
2.0095	-17.0999	-173.235	-17.1542	-176.343	-0.138667	-0.0164481	-0.138486	-0.00885026
2.20945	-17.0871	-172.691	-17.123	-176.002	-0.138709	-0.0177922	-0.138929	-0.00970943
2.4094	-17.0108	-171.932	-17.089	-175.667	-0.139681	-0.0197994	-0.139414	-0.0105625
2.60935	-16.975	-171.248	-17.0524	-175.339	-0.140012	-0.0215539	-0.139941	-0.0114088
2.8093	-16.8938	-170.708	-17.013	-175.018	-0.141115	-0.0230881	-0.140509	-0.012248
3.00925	-16.8844	-170.197	-16.9711	-174.705	-0.141057	-0.0243717	-0.14112	-0.0130793
3.2092	-16.7567	-169.753	-16.9266	-174.399	-0.14295	-0.025842	-0.141773	-0.0139022
3.40915	-16.7302	-169.097	-16.8796	-174.103	-0.143081	-0.0275605	-0.142467	-0.0147162
3.6091	-16.6634	-168.479	-16.8302	-173.814	-0.143877	-0.0293279	-0.143203	-0.0155206
3.80905	-16.585	-168.136	-16.7785	-173.535	-0.145001	-0.0304616	-0.143981	-0.0163149
4.009	-16.5102	-167.368	-16.7245	-173.265	-0.14583	-0.0326814	-0.1448	-0.0170985
4.20895	-16.4107	-167.12	-16.6682	-173.005	-0.147366	-0.0336976	-0.145661	-0.0178709
4.4089	-16.3604	-166.408	-16.6099	-172.755	-0.14779	-0.0357315	-0.146564	-0.0186314
4.60885	-16.2616	-166.203	-16.5494	-172.515	-0.149349	-0.0366754	-0.147508	-0.0193794
4.8088	-16.2041	-165.471	-16.4869	-172.286	-0.149858	-0.0388364	-0.148493	-0.0201143
5.00875	-16.1064	-165.188	-16.4225	-172.067	-0.151357	-0.0400245	-0.14952	-0.0208357
5.2087	-16.0325	-164.844	-16.3562	-171.859	-0.152405	-0.0412817	-0.150589	-0.0215427
5.40865	-15.9219	-164.307	-16.2881	-171.661	-0.15396	-0.0432546	-0.151699	-0.0222349
5.6086	-15.845	-164.062	-16.2182	-171.475	-0.15514	-0.044305	-0.152849	-0.0229115
5.80855	-15.7724	-163.6	-16.1467	-171.3	-0.156078	-0.0459369	-0.154041	-0.0235721
6.0085	-15.6347	-163.364	-16.0736	-171.136	-0.158378	-0.0473221	-0.155275	-0.024216
6.20845	-15.5843	-162.989	-15.999	-170.983	-0.158985	-0.0486411	-0.156549	-0.0248425
6.4084	-15.4508	-162.677	-15.9229	-170.841	-0.161177	-0.0502707	-0.157864	-0.025451
6.60835	-15.4205	-162.426	-15.8454	-170.711	-0.161517	-0.0511547	-0.159219	-0.0260409
6.8083	-15.2561	-162.208	-15.7666	-170.592	-0.164404	-0.0527579	-0.160616	-0.0266115
7.00825	-15.1812	-161.944	-15.6865	-170.485	-0.165581	-0.053978	-0.162053	-0.0271622
7.2082	-15.0771	-161.499	-15.6053	-170.389	-0.167147	-0.0559307	-0.16353	-0.0276924
7.40815	-14.9754	-161.595	-15.5228	-170.304	-0.16921	-0.0563048	-0.165048	-0.0282013
7.6081	-14.8783	-161.389	-15.4393	-170.23	-0.170907	-0.0575523	-0.166606	-0.0286884
7.80805	-14.7309	-161.117	-15.3547	-170.167	-0.173552	-0.0593636	-0.168204	-0.0291529
8.008	-14.6747	-160.921	-15.2692	-170.116	-0.174474	-0.0603468	-0.169842	-0.0295941
8.20795	-14.5292	-160.765	-15.1828	-170.075	-0.177253	-0.0618463	-0.171519	-0.0300115
8.4079	-14.4729	-160.779	-15.0954	-170.046	-0.178421	-0.0622064	-0.173237	-0.0304043
8.60785	-14.313	-160.523	-15.0073	-170.027	-0.18145	-0.0641741	-0.174993	-0.0307718
8.8078	-14.2391	-160.597	-14.9184	-170.019	-0.183085	-0.0644842	-0.176789	-0.0311133
