Freq_GHz	Norm_dB
0.1	0
0.109982	-1.8001404e-05
0.11996399	-3.7714296e-05
0.12994599	-5.9138679e-05
0.13992799	-8.2274555e-05
0.14990998	-0.00010712193
0.15989198	-0.0001336808
0.16987397	-0.00016195117
0.17985597	-0.00019193305
0.18983797	-0.00022362644
0.19981996	-0.00025703134
0.20980196	-0.00029214775
0.21978396	-0.00032897569
0.22976595	-0.00036751516
0.23974795	-0.00040776615
0.24972995	-0.00044972868
0.25971194	-0.00049340275
0.26969394	-0.00053878836
0.27967594	-0.00058588553
0.28965793	-0.00063469425
0.29963993	-0.00068521453
0.30962192	-0.00073744638
0.31960392	-0.0007913898
0.32958592	-0.00084704481
0.33956791	-0.0009044114
0.34954991	-0.00096348959
0.35953191	-0.0010242794
0.3695139	-0.0010867808
0.3794959	-0.0011509938
0.3894779	-0.0012169184
0.39945989	-0.0012845547
0.40944189	-0.0013539026
0.41942388	-0.0014249622
0.42940588	-0.0014977334
0.43938788	-0.0015722163
0.44936987	-0.0016484108
0.45935187	-0.001726317
0.46933387	-0.001805935
0.47931586	-0.0018872646
0.48929786	-0.0019703059
0.49927986	-0.002055059
0.50926185	-0.0021415238
0.51924385	-0.0022297003
0.52922585	-0.0023195886
0.53920784	-0.0024111887
0.54918984	-0.0025045005
0.55917183	-0.0025995241
0.56915383	-0.0026962595
0.57913583	-0.0027947067
0.58911782	-0.0028948657
0.59909982	-0.0029967366
0.60908182	-0.0031003193
0.61906381	-0.0032056138
0.62904581	-0.0033126203
0.63902781	-0.0034213386
0.6490098	-0.0035317688
0.6589918	-0.0036439109
0.66897379	-0.0037577649
0.67895579	-0.0038733309
0.68893779	-0.0039906088
0.69891978	-0.0041095986
0.70890178	-0.0042303005
0.71888378	-0.0043527143
0.72886577	-0.0044768401
0.73884777	-0.004602678
0.74882977	-0.0047302279
0.75881176	-0.0048594898
0.76879376	-0.0049904638
0.77877576	-0.0051231498
0.78875775	-0.005257548
0.79873975	-0.0053936583
0.80872174	-0.0055314807
0.81870374	-0.0056710152
0.82868574	-0.0058122619
0.83866773	-0.0059552208
0.84864973	-0.0060998919
0.85863173	-0.0062462751
0.86861372	-0.0063943706
0.87859572	-0.0065441784
0.88857772	-0.0066956984
0.89855971	-0.0068489306
0.90854171	-0.0070038752
0.9185237	-0.0071605321
0.9285057	-0.0073189013
0.9384877	-0.0074789829
0.94846969	-0.0076407768
0.95845169	-0.0078042831
0.96843369	-0.0079695019
0.97841568	-0.008136433
0.98839768	-0.0083050766
0.99837968	-0.0084754327
1.0083617	-0.0086475012
1.0183437	-0.0088212823
1.0283257	-0.0089967759
1.0383077	-0.009173982
1.0482897	-0.0093529007
1.0582717	-0.0095335319
1.0682537	-0.0097158758
1.0782356	-0.0098999323
1.0882176	-0.010085701
1.0981996	-0.010273183
1.1081816	-0.010462378
1.1181636	-0.010653285
1.1281456	-0.010845905
1.1381276	-0.011040238
1.1481096	-0.011236283
1.1580916	-0.011434042
1.1680736	-0.011633513
1.1780556	-0.011834697
1.1880376	-0.012037594
1.1980196	-0.012242203
1.2080016	-0.012448526
1.2179836	-0.012656562
1.2279656	-0.01286631
1.2379476	-0.013077772
1.2479296	-0.013290946
1.2579116	-0.013505834
1.2678936	-0.013722434
1.2778756	-0.013940748
1.2878576	-0.014160775
1.2978396	-0.014382515
1.3078216	-0.014605968
1.3178036	-0.014831135
1.3277856	-0.015058014
1.3377676	-0.015286607
1.3477495	-0.015516913
1.3577315	-0.015748932
1.3677135	-0.015982665
1.3776955	-0.016218111
1.3876775	-0.01645527
1.3976595	-0.016694143
1.4076415	-0.016934729
1.4176235	-0.017177029
1.4276055	-0.017421042
1.4375875	-0.017666768
1.4475695	-0.017914209
1.4575515	-0.018163362
1.4675335	-0.01841423
1.4775155	-0.01866681
1.4874975	-0.018921105
1.4974795	-0.019177113
1.5074615	-0.019434835
1.5174435	-0.019694271
1.5274255	-0.01995542
1.5374075	-0.020218283
1.5473895	-0.02048286
1.5573715	-0.020749151
1.5673535	-0.021017155
1.5773355	-0.021286874
1.5873175	-0.021558306
1.5972995	-0.021831453
1.6072815	-0.022106313
1.6172635	-0.022382888
1.6272454	-0.022661176
1.6372274	-0.022941179
1.6472094	-0.023222896
1.6571914	-0.023506326
1.6671734	-0.023791471
1.6771554	-0.024078331
1.6871374	-0.024366904
1.6971194	-0.024657192
1.7071014	-0.024949194
1.7170834	-0.02524291
1.7270654	-0.025538341
1.7370474	-0.025835486
1.7470294	-0.026134345
1.7570114	-0.026434919
1.7669934	-0.026737208
1.7769754	-0.027041211
1.7869574	-0.027346928
1.7969394	-0.02765436
1.8069214	-0.027963507
1.8169034	-0.028274368
1.8268854	-0.028586944
1.8368674	-0.028901235
1.8468494	-0.02921724
1.8568314	-0.029534961
1.8668134	-0.029854396
1.8767954	-0.030175546
1.8867774	-0.030498411
