Freq_GHz	Norm_dB
0.1	0
0.109982	-2.7079302e-05
0.11996399	-5.6733144e-05
0.12994599	-8.8961521e-05
0.13992799	-0.00012376443
0.14990998	-0.00016114186
0.15989198	-0.0002010938
0.16987397	-0.00024362026
0.17985597	-0.00028872122
0.18983797	-0.00033639667
0.19981996	-0.00038664662
0.20980196	-0.00043947103
0.21978396	-0.00049486992
0.22976595	-0.00055284327
0.23974795	-0.00061339107
0.24972995	-0.00067651331
0.25971194	-0.00074220997
0.26969394	-0.00081048105
0.27967594	-0.00088132654
0.28965793	-0.00095474642
0.29963993	-0.0010307407
0.30962192	-0.0011093093
0.31960392	-0.0011904523
0.32958592	-0.0012741696
0.33956791	-0.0013604613
0.34954991	-0.0014493272
0.35953191	-0.0015407675
0.3695139	-0.001634782
0.3794959	-0.0017313708
0.3894779	-0.0018305338
0.39945989	-0.0019322711
0.40944189	-0.0020365826
0.41942388	-0.0021434683
0.42940588	-0.0022529281
0.43938788	-0.0023649621
0.44936987	-0.0024795703
0.45935187	-0.0025967526
0.46933387	-0.0027165089
0.47931586	-0.0028388394
0.48929786	-0.0029637439
0.49927986	-0.0030912224
0.50926185	-0.003221275
0.51924385	-0.0033539015
0.52922585	-0.003489102
0.53920784	-0.0036268764
0.54918984	-0.0037672248
0.55917183	-0.0039101471
0.56915383	-0.0040556432
0.57913583	-0.0042037132
0.58911782	-0.004354357
0.59909982	-0.0045075746
0.60908182	-0.004663366
0.61906381	-0.0048217311
0.62904581	-0.0049826699
0.63902781	-0.0051461825
0.6490098	-0.0053122686
0.6589918	-0.0054809285
0.66897379	-0.0056521619
0.67895579	-0.0058259688
0.68893779	-0.0060023494
0.69891978	-0.0061813034
0.70890178	-0.0063628309
0.71888378	-0.0065469319
0.72886577	-0.0067336063
0.73884777	-0.0069228541
0.74882977	-0.0071146752
0.75881176	-0.0073090696
0.76879376	-0.0075060374
0.77877576	-0.0077055784
0.78875775	-0.0079076926
0.79873975	-0.00811238
0.80872174	-0.0083196405
0.81870374	-0.0085294742
0.82868574	-0.0087418809
0.83866773	-0.0089568607
0.84864973	-0.0091744135
0.85863173	-0.0093945393
0.86861372	-0.0096172379
0.87859572	-0.0098425095
0.88857772	-0.010070354
0.89855971	-0.010300771
0.90854171	-0.010533761
0.9185237	-0.010769324
0.9285057	-0.011007459
0.9384877	-0.011248167
0.94846969	-0.011491448
0.95845169	-0.011737301
0.96843369	-0.011985727
0.97841568	-0.012236726
0.98839768	-0.012490296
0.99837968	-0.012746439
1.0083617	-0.013005155
1.0183437	-0.013266443
1.0283257	-0.013530303
1.0383077	-0.013796735
1.0482897	-0.014065739
1.0582717	-0.014337316
1.0682537	-0.014611465
1.0782356	-0.014888185
1.0882176	-0.015167478
1.0981996	-0.015449343
1.1081816	-0.015733779
1.1181636	-0.016020787
1.1281456	-0.016310368
1.1381276	-0.016602519
1.1481096	-0.016897243
1.1580916	-0.017194538
1.1680736	-0.017494405
1.1780556	-0.017796843
1.1880376	-0.018101853
1.1980196	-0.018409434
1.2080016	-0.018719587
1.2179836	-0.019032311
1.2279656	-0.019347606
1.2379476	-0.019665473
1.2479296	-0.01998591
1.2579116	-0.020308919
1.2678936	-0.020634499
1.2778756	-0.02096265
1.2878576	-0.021293371
1.2978396	-0.021626664
1.3078216	-0.021962527
1.3178036	-0.022300962
1.3277856	-0.022641967
1.3377676	-0.022985542
1.3477495	-0.023331688
1.3577315	-0.023680405
1.3677135	-0.024031692
1.3776955	-0.02438555
1.3876775	-0.024741978
1.3976595	-0.025100976
1.4076415	-0.025462545
1.4176235	-0.025826683
1.4276055	-0.026193392
1.4375875	-0.026562671
1.4475695	-0.02693452
1.4575515	-0.027308938
1.4675335	-0.027685927
1.4775155	-0.028065485
1.4874975	-0.028447614
1.4974795	-0.028832311
1.5074615	-0.029219579
1.5174435	-0.029609416
1.5274255	-0.030001822
1.5374075	-0.030396798
1.5473895	-0.030794343
1.5573715	-0.031194457
1.5673535	-0.031597141
1.5773355	-0.032002393
1.5873175	-0.032410215
1.5972995	-0.032820606
1.6072815	-0.033233565
1.6172635	-0.033649094
1.6272454	-0.034067191
1.6372274	-0.034487857
1.6472094	-0.034911091
1.6571914	-0.035336894
1.6671734	-0.035765266
1.6771554	-0.036196206
1.6871374	-0.036629714
1.6971194	-0.037065791
1.7071014	-0.037504436
1.7170834	-0.037945648
1.7270654	-0.038389429
1.7370474	-0.038835778
1.7470294	-0.039284695
1.7570114	-0.039736179
1.7669934	-0.040190232
1.7769754	-0.040646852
1.7869574	-0.041106039
1.7969394	-0.041567794
1.8069214	-0.042032117
1.8169034	-0.042499006
1.8268854	-0.042968463
1.8368674	-0.043440487
1.8468494	-0.043915079
1.8568314	-0.044392237
1.8668134	-0.044871962
1.8767954	-0.045354254
1.8867774	-0.045839113
1.8967594	-0.046326539
1.9067413	-0.046816531
1.9167233	-0.047309089
1.9267053	-0.047804214
1.9366873	-0.048301906
1.9466693	-0.048802164
1.9566513	-0.049304987
1.9666333	-0.049810377
1.9766153	-0.050318333
1.9865973	-0.050828855
1.9965793	-0.051341943
2.0065613	-0.051857596
2.0165433	-0.052375815
2.0265253	-0.0528966
2.0365073	-0.05341995
2.0464893	-0.053945866
2.0564713	-0.054474347
2.0664533	-0.055005393
2.0764353	-0.055539004
2.0864173	-0.05607518
2.0963993	-0.056613921
2.1063813	-0.057155227
2.1163633	-0.057699098
2.1263453	-0.058245533
2.1363273	-0.058794533
2.1463093	-0.059346098
2.1562913	-0.059900227
2.1662733	-0.06045692
2.1762553	-0.061016177
2.1862372	-0.061577998
2.1962192	-0.062142384
2.2062012	-0.062709333
2.2161832	-0.063278846
2.2261652	-0.063850923
2.2361472	-0.064425563
2.2461292	-0.065002767
2.2561112	-0.065582534
2.2660932	-0.066164865
2.2760752	-0.066749759
2.2860572	-0.067337216
2.2960392	-0.067927236
2.3060212	-0.068519819
2.3160032	-0.069114965
2.3259852	-0.069712673
2.3359672	-0.070312944
2.3459492	-0.070915778
2.3559312	-0.071521173
2.3659132	-0.072129132
2.3758952	-0.072739652
2.3858772	-0.073352735
2.3958592	-0.073968379
2.4058412	-0.074586586
2.4158232	-0.075207354
2.4258052	-0.075830684
2.4357872	-0.076456575
2.4457692	-0.077085028
2.4557512	-0.077716042
2.4657331	-0.078349618
2.4757151	-0.078985755
2.4856971	-0.079624452
2.4956791	-0.080265711
2.5056611	-0.08090953
2.5156431	-0.08155591
2.5256251	-0.082204851
2.5356071	-0.082856352
2.5455891	-0.083510414
2.5555711	-0.084167036
2.5655531	-0.084826218
2.5755351	-0.08548796
2.5855171	-0.086152262
2.5954991	-0.086819124
2.6054811	-0.087488545
2.6154631	-0.088160526
2.6254451	-0.088835067
2.6354271	-0.089512166
2.6454091	-0.090191826
2.6553911	-0.090874044
2.6653731	-0.091558821
2.6753551	-0.092246157
2.6853371	-0.092936052
2.6953191	-0.093628506
2.7053011	-0.094323518
2.7152831	-0.095021088
2.7252651	-0.095721217
2.735247	-0.096423904
2.745229	-0.097129149
2.755211	-0.097836952
2.765193	-0.098547313
2.775175	-0.099260232
2.785157	-0.099975708
2.795139	-0.10069374
2.805121	-0.10141433
2.815103	-0.10213748
2.825085	-0.10286319
2.835067	-0.10359145
2.845049	-0.10432227
2.855031	-0.10505564
2.865013	-0.10579158
2.874995	-0.10653006
2.884977	-0.10727111
2.894959	-0.10801471
2.904941	-0.10876087
2.914923	-0.10950958
2.924905	-0.11026085
2.934887	-0.11101468
2.944869	-0.11177106
2.954851	-0.11252999
2.964833	-0.11329149
2.974815	-0.11405553
2.984797	-0.11482213
2.994779	-0.11559129
3.004761	-0.116363
3.0147429	-0.11713727
3.0247249	-0.11791409
3.0347069	-0.11869346
3.0446889	-0.11947539
3.0546709	-0.12025988
3.0646529	-0.12104691
3.0746349	-0.12183651
3.0846169	-0.12262865
3.0945989	-0.12342335
3.1045809	-0.1242206
3.1145629	-0.12502041
3.1245449	-0.12582277
3.1345269	-0.12662768
3.1445089	-0.12743514
3.1544909	-0.12824516
3.1644729	-0.12905773
3.1744549	-0.12987286
3.1844369	-0.13069053
3.1944189	-0.13151076
3.2044009	-0.13233354
3.2143829	-0.13315887
3.2243649	-0.13398675
3.2343469	-0.13481719
3.2443289	-0.13565018
3.2543109	-0.13648571
3.2642929	-0.1373238
3.2742749	-0.13816444
3.2842569	-0.13900763
3.2942388	-0.13985338
3.3042208	-0.14070167
3.3142028	-0.14155251
3.3241848	-0.14240591
3.3341668	-0.14326185
3.3441488	-0.14412035
3.3541308	-0.14498139
3.3641128	-0.14584499
3.3740948	-0.14671113
3.3840768	-0.14757982
3.3940588	-0.14845107
3.4040408	-0.14932486
3.4140228	-0.1502012
3.4240048	-0.15108009
3.4339868	-0.15196153
3.4439688	-0.15284552
3.4539508	-0.15373205
3.4639328	-0.15462114
3.4739148	-0.15551277
3.4838968	-0.15640695
3.4938788	-0.15730368
3.5038608	-0.15820296
3.5138428	-0.15910478
3.5238248	-0.16000915
3.5338068	-0.16091607
3.5437888	-0.16182554
3.5537708	-0.16273755
3.5637528	-0.16365211
3.5737347	-0.16456921
3.5837167	-0.16548887
3.5936987	-0.16641107
3.6036807	-0.16733581
3.6136627	-0.1682631
3.6236447	-0.16919294
3.6336267	-0.17012532
3.6436087	-0.17106025
3.6535907	-0.17199773
3.6635727	-0.17293775
3.6735547	-0.17388031
3.6835367	-0.17482542
3.6935187	-0.17577307
3.7035007	-0.17672327
3.7134827	-0.17767602
3.7234647	-0.1786313
3.7334467	-0.17958914
3.7434287	-0.18054951
3.7534107	-0.18151243
3.7633927	-0.18247789
3.7733747	-0.1834459
3.7833567	-0.18441645
3.7933387	-0.18538954
3.8033207	-0.18636518
3.8133027	-0.18734336
3.8232847	-0.18832408
3.8332667	-0.18930735
3.8432486	-0.19029315
3.8532306	-0.1912815
3.8632126	-0.19227239
3.8731946	-0.19326582
3.8831766	-0.1942618
3.8931586	-0.19526032
3.9031406	-0.19626137
3.9131226	-0.19726497
3.9231046	-0.19827111
3.9330866	-0.19927979
3.9430686	-0.20029101
3.9530506	-0.20130477
3.9630326	-0.20232107
3.9730146	-0.20333992
3.9829966	-0.2043613
3.9929786	-0.20538522
4.0029606	-0.20641168
4.0129426	-0.20744068
4.0229246	-0.20847222
4.0329066	-0.2095063
4.0428886	-0.21054292
4.0528706	-0.21158207
4.0628526	-0.21262377
4.0728346	-0.213668
4.0828166	-0.21471477
4.0927986	-0.21576408
4.1027806	-0.21681593
4.1127626	-0.21787032
4.1227445	-0.21892724
4.1327265	-0.2199867
4.1427085	-0.2210487
4.1526905	-0.22211323
4.1626725	-0.22318031
4.1726545	-0.22424991
4.1826365	-0.22532206
4.1926185	-0.22639674
4.2026005	-0.22747396
4.2125825	-0.22855371
4.2225645	-0.229636
4.2325465	-0.23072082
4.2425285	-0.23180818
4.2525105	-0.23289807
4.2624925	-0.2339905
4.2724745	-0.23508547
4.2824565	-0.23618297
4.2924385	-0.237283
4.3024205	-0.23838557
4.3124025	-0.23949067
4.3223845	-0.2405983
4.3323665	-0.24170847
4.3423485	-0.24282118
4.3523305	-0.24393641
4.3623125	-0.24505418
4.3722945	-0.24617448
4.3822765	-0.24729732
4.3922585	-0.24842269
4.4022404	-0.24955059
4.4122224	-0.25068102
4.4222044	-0.25181398
4.4321864	-0.25294948
4.4421684	-0.2540875
4.4521504	-0.25522806
4.4621324	-0.25637115
4.4721144	-0.25751677
4.4820964	-0.25866493
4.4920784	-0.25981561
4.5020604	-0.26096882
4.5120424	-0.26212456
4.5220244	-0.26328284
4.5320064	-0.26444364
4.5419884	-0.26560697
4.5519704	-0.26677284
4.5619524	-0.26794123
4.5719344	-0.26911215
4.5819164	-0.2702856
4.5918984	-0.27146158
4.6018804	-0.27264008
4.6118624	-0.27382112
4.6218444	-0.27500468
4.6318264	-0.27619077
4.6418084	-0.27737939
4.6517904	-0.27857054
4.6617724	-0.27976421
4.6717544	-0.28096041
4.6817363	-0.28215914
4.6917183	-0.28336039
4.7017003	-0.28456417
4.7116823	-0.28577048
4.7216643	-0.28697931
4.7316463	-0.28819067
4.7416283	-0.28940456
4.7516103	-0.29062097
4.7615923	-0.2918399
4.7715743	-0.29306136
4.7815563	-0.29428535
4.7915383	-0.29551186
4.8015203	-0.29674089
4.8115023	-0.29797245
4.8214843	-0.29920653
4.8314663	-0.30044314
4.8414483	-0.30168227
4.8514303	-0.30292392
4.8614123	-0.3041681
4.8713943	-0.3054148
4.8813763	-0.30666402
4.8913583	-0.30791576
4.9013403	-0.30917003
4.9113223	-0.31042682
4.9213043	-0.31168613
4.9312863	-0.31294796
4.9412683	-0.31421232
4.9512503	-0.31547919
4.9612322	-0.31674859
4.9712142	-0.31802051
4.9811962	-0.31929494
4.9911782	-0.3205719
5.0011602	-0.32185138
5.0111422	-0.32313338
5.0211242	-0.3244179
5.0311062	-0.32570494
5.0410882	-0.32699449
5.0510702	-0.32828657
5.0610522	-0.32958117
5.0710342	-0.33087828
5.0810162	-0.33217791
5.0909982	-0.33348006
5.1009802	-0.33478473
5.1109622	-0.33609192
5.1209442	-0.33740162
5.1309262	-0.33871385
5.1409082	-0.34002858
5.1508902	-0.34134584
5.1608722	-0.34266561
5.1708542	-0.3439879
5.1808362	-0.34531271
5.1908182	-0.34664003
5.2008002	-0.34796987
5.2107822	-0.34930222
5.2207642	-0.35063709
5.2307461	-0.35197447
5.2407281	-0.35331437
5.2507101	-0.35465678
5.2606921	-0.35600171
5.2706741	-0.35734915
5.2806561	-0.3586991
5.2906381	-0.36005157
5.3006201	-0.36140656
5.3106021	-0.36276405
5.3205841	-0.36412406
5.3305661	-0.36548658
5.3405481	-0.36685162
5.3505301	-0.36821917
5.3605121	-0.36958922
5.3704941	-0.3709618
5.3804761	-0.37233688
5.3904581	-0.37371447
5.4004401	-0.37509458
5.4104221	-0.37647719
5.4204041	-0.37786232
5.4303861	-0.37924996
5.4403681	-0.38064011
5.4503501	-0.38203277
5.4603321	-0.38342793
5.4703141	-0.38482561
5.4802961	-0.3862258
5.4902781	-0.3876285
5.5002601	-0.3890337
5.510242	-0.39044141
5.520224	-0.39185164
5.530206	-0.39326437
5.540188	-0.39467961
5.55017	-0.39609735
