Freq_GHz	Norm_dB
0.1	0
0.109982	-1.1042744e-05
0.11996399	-2.3135358e-05
0.12994599	-3.6277839e-05
0.13992799	-5.0470182e-05
0.14990998	-6.5712382e-05
0.15989198	-8.2004434e-05
0.16987397	-9.9346332e-05
0.17985597	-0.00011773807
0.18983797	-0.00013717964
0.19981996	-0.00015767104
0.20980196	-0.00017921226
0.21978396	-0.00020180329
0.22976595	-0.00022544412
0.23974795	-0.00025013475
0.24972995	-0.00027587516
0.25971194	-0.00030266536
0.26969394	-0.00033050532
0.27967594	-0.00035939504
0.28965793	-0.00038933451
0.29963993	-0.00042032372
0.30962192	-0.00045236266
0.31960392	-0.00048545131
0.32958592	-0.00051958967
0.33956791	-0.00055477772
0.34954991	-0.00059101545
0.35953191	-0.00062830285
0.3695139	-0.00066663991
0.3794959	-0.0007060266
0.3894779	-0.00074646293
0.39945989	-0.00078794886
0.40944189	-0.0008304844
0.41942388	-0.00087406952
0.42940588	-0.0009187042
0.43938788	-0.00096438845
0.44936987	-0.0010111222
0.45935187	-0.0010589055
0.46933387	-0.0011077383
0.47931586	-0.0011576206
0.48929786	-0.0012085524
0.49927986	-0.0012605336
0.50926185	-0.0013135642
0.51924385	-0.0013676443
0.52922585	-0.0014227738
0.53920784	-0.0014789526
0.54918984	-0.0015361808
0.55917183	-0.0015944583
0.56915383	-0.0016537852
0.57913583	-0.0017141613
0.58911782	-0.0017755868
0.59909982	-0.0018380614
0.60908182	-0.0019015853
0.61906381	-0.0019661585
0.62904581	-0.0020317808
0.63902781	-0.0020984523
0.6490098	-0.0021661729
0.6589918	-0.0022349426
0.66897379	-0.0023047614
0.67895579	-0.0023756293
0.68893779	-0.0024475463
0.69891978	-0.0025205123
0.70890178	-0.0025945272
0.71888378	-0.0026695912
0.72886577	-0.002745704
0.73884777	-0.0028228658
0.74882977	-0.0029010765
0.75881176	-0.0029803361
0.76879376	-0.0030606445
0.77877576	-0.0031420017
0.78875775	-0.0032244076
0.79873975	-0.0033078624
0.80872174	-0.0033923658
0.81870374	-0.003477918
0.82868574	-0.0035645188
0.83866773	-0.0036521682
0.84864973	-0.0037408663
0.85863173	-0.0038306129
0.86861372	-0.0039214081
0.87859572	-0.0040132517
0.88857772	-0.0041061439
0.89855971	-0.0042000845
0.90854171	-0.0042950735
0.9185237	-0.0043911109
0.9285057	-0.0044881967
0.9384877	-0.0045863307
0.94846969	-0.0046855131
0.95845169	-0.0047857437
0.96843369	-0.0048870225
0.97841568	-0.0049893495
0.98839768	-0.0050927246
0.99837968	-0.0051971478
1.0083617	-0.0053026192
1.0183437	-0.0054091385
1.0283257	-0.0055167058
1.0383077	-0.0056253212
1.0482897	-0.0057349844
