Freq_GHz	Norm_dB
0.1	0
0.109982	-2.3355171e-05
0.11996399	-4.8930794e-05
0.12994599	-7.672686e-05
0.13992799	-0.00010674336
0.14990998	-0.00013898027
0.15989198	-0.0001734376
0.16987397	-0.00021011532
0.17985597	-0.00024901342
0.18983797	-0.00029013189
0.19981996	-0.00033347071
0.20980196	-0.00037902986
0.21978396	-0.00042680933
0.22976595	-0.0004768091
0.23974795	-0.00052902914
0.24972995	-0.00058346945
0.25971194	-0.00064012999
0.26969394	-0.00069901076
0.27967594	-0.00076011171
0.28965793	-0.00082343284
0.29963993	-0.00088897412
0.30962192	-0.00095673552
0.31960392	-0.001026717
0.32958592	-0.0010989186
0.33956791	-0.0011733402
0.34954991	-0.0012499818
0.35953191	-0.0013288434
0.3695139	-0.001409925
0.3794959	-0.0014932265
0.3894779	-0.0015787478
0.39945989	-0.0016664891
0.40944189	-0.0017564501
0.41942388	-0.001848631
0.42940588	-0.0019430316
0.43938788	-0.002039652
0.44936987	-0.002138492
0.45935187	-0.0022395516
0.46933387	-0.0023428309
0.47931586	-0.0024483298
0.48929786	-0.0025560481
0.49927986	-0.002665986
0.50926185	-0.0027781433
0.51924385	-0.00289252
0.52922585	-0.0030091161
0.53920784	-0.0031279315
0.54918984	-0.0032489662
0.55917183	-0.00337222
0.56915383	-0.0034976931
0.57913583	-0.0036253853
0.58911782	-0.0037552966
0.59909982	-0.0038874269
0.60908182	-0.0040217762
0.61906381	-0.0041583444
0.62904581	-0.0042971315
0.63902781	-0.0044381374
0.6490098	-0.0045813621
0.6589918	-0.0047268055
0.66897379	-0.0048744676
0.67895579	-0.0050243483
0.68893779	-0.0051764475
0.69891978	-0.0053307653
0.70890178	-0.0054873014
0.71888378	-0.005646056
0.72886577	-0.0058070288
0.73884777	-0.0059702199
0.74882977	-0.0061356292
0.75881176	-0.0063032566
0.76879376	-0.0064731021
0.77877576	-0.0066451656
0.78875775	-0.006819447
0.79873975	-0.0069959463
0.80872174	-0.0071746634
0.81870374	-0.0073555982
0.82868574	-0.0075387507
0.83866773	-0.0077241208
0.84864973	-0.0079117084
0.85863173	-0.0081015134
0.86861372	-0.0082935359
0.87859572	-0.0084877756
0.88857772	-0.0086842326
0.89855971	-0.0088829067
0.90854171	-0.009083798
0.9185237	-0.0092869062
0.9285057	-0.0094922314
0.9384877	-0.0096997734
0.94846969	-0.0099095322
0.95845169	-0.010121508
0.96843369	-0.0103357
0.97841568	-0.010552108
0.98839768	-0.010770734
0.99837968	-0.010991575
1.0083617	-0.011214633
1.0183437	-0.011439907
1.0283257	-0.011667397
1.0383077	-0.011897103
1.0482897	-0.012129025
1.0582717	-0.012363163
1.0682537	-0.012599516
1.0782356	-0.012838086
1.0882176	-0.013078871
1.0981996	-0.013321871
1.1081816	-0.013567087
1.1181636	-0.013814518
1.1281456	-0.014064164
1.1381276	-0.014316026
1.1481096	-0.014570102
1.1580916	-0.014826394
1.1680736	-0.0150849
1.1780556	-0.015345621
1.1880376	-0.015608557
1.1980196	-0.015873707
1.2080016	-0.016141072
1.2179836	-0.016410651
1.2279656	-0.016682444
1.2379476	-0.016956451
1.2479296	-0.017232672
1.2579116	-0.017511108
1.2678936	-0.017791757
1.2778756	-0.01807462
1.2878576	-0.018359696
1.2978396	-0.018646986
1.3078216	-0.018936489
1.3178036	-0.019228206
1.3277856	-0.019522135
1.3377676	-0.019818278
1.3477495	-0.020116634
1.3577315	-0.020417203
1.3677135	-0.020719984
1.3776955	-0.021024978
1.3876775	-0.021332184
1.3976595	-0.021641603
1.4076415	-0.021953234
1.4176235	-0.022267077
1.4276055	-0.022583132
1.4375875	-0.0229014
1.4475695	-0.023221878
1.4575515	-0.023544569
1.4675335	-0.023869471
1.4775155	-0.024196585
1.4874975	-0.024525909
1.4974795	-0.024857445
1.5074615	-0.025191193
1.5174435	-0.025527151
1.5274255	-0.025865319
1.5374075	-0.026205699
1.5473895	-0.026548289
1.5573715	-0.026893089
1.5673535	-0.0272401
1.5773355	-0.027589321
1.5873175	-0.027940751
1.5972995	-0.028294392
1.6072815	-0.028650243
1.6172635	-0.029008303
1.6272454	-0.029368572
1.6372274	-0.029731051
1.6472094	-0.030095739
1.6571914	-0.030462636
1.6671734	-0.030831743
1.6771554	-0.031203058
1.6871374	-0.031576581
1.6971194	-0.031952313
1.7071014	-0.032330254
1.7170834	-0.032710403
1.7270654	-0.03309276
1.7370474	-0.033477324
1.7470294	-0.033864097
1.7570114	-0.034253077
1.7669934	-0.034644265
1.7769754	-0.03503766
1.7869574	-0.035433263
1.7969394	-0.035831072
