Freq_GHz	Norm_dB
0.1	0
0.109982	-9.7822774e-06
0.11996399	-2.0494575e-05
0.12994599	-3.2136884e-05
0.13992799	-4.4709197e-05
0.14990998	-5.8211505e-05
0.15989198	-7.2643798e-05
0.16987397	-8.8006066e-05
0.17985597	-0.0001042983
0.18983797	-0.00012152048
0.19981996	-0.0001396726
0.20980196	-0.00015875465
0.21978396	-0.00017876662
0.22976595	-0.00019970848
0.23974795	-0.00022158023
0.24972995	-0.00024438184
0.25971194	-0.00026811331
0.26969394	-0.00029277461
0.27967594	-0.00031836573
0.28965793	-0.00034488665
0.29963993	-0.00037233735
0.30962192	-0.00040071781
0.31960392	-0.00043002801
0.32958592	-0.00046026793
0.33956791	-0.00049143754
0.34954991	-0.00052353684
0.35953191	-0.00055656578
0.3695139	-0.00059052435
0.3794959	-0.00062541253
0.3894779	-0.00066123029
0.39945989	-0.0006979776
0.40944189	-0.00073565445
0.41942388	-0.00077426079
0.42940588	-0.0008137966
0.43938788	-0.00085426186
0.44936987	-0.00089565654
0.45935187	-0.00093798061
0.46933387	-0.00098123403
0.47931586	-0.0010254168
0.48929786	-0.0010705288
0.49927986	-0.0011165701
0.50926185	-0.0011635407
0.51924385	-0.0012114404
0.52922585	-0.0012602693
0.53920784	-0.0013100273
0.54918984	-0.0013607144
0.55917183	-0.0014123306
0.56915383	-0.0014648758
0.57913583	-0.0015183499
0.58911782	-0.001572753
0.59909982	-0.0016280851
0.60908182	-0.0016843459
0.61906381	-0.0017415356
0.62904581	-0.0017996541
0.63902781	-0.0018587014
0.6490098	-0.0019186773
0.6589918	-0.0019795819
0.66897379	-0.0020414151
0.67895579	-0.0021041769
0.68893779	-0.0021678672
0.69891978	-0.002232486
0.70890178	-0.0022980332
0.71888378	-0.0023645088
0.72886577	-0.0024319128
0.73884777	-0.002500245
0.74882977	-0.0025695055
0.75881176	-0.0026396942
0.76879376	-0.002710811
0.77877576	-0.002782856
0.78875775	-0.002855829
0.79873975	-0.0029297299
0.80872174	-0.0030045588
0.81870374	-0.0030803157
0.82868574	-0.0031570003
0.83866773	-0.0032346127
0.84864973	-0.0033131529
0.85863173	-0.0033926207
0.86861372	-0.0034730161
0.87859572	-0.0035543391
0.88857772	-0.0036365896
0.89855971	-0.0037197675
0.90854171	-0.0038038728
0.9185237	-0.0038889054
0.9285057	-0.0039748653
0.9384877	-0.0040617524
0.94846969	-0.0041495666
0.95845169	-0.004238308
0.96843369	-0.0043279763
0.97841568	-0.0044185716
0.98839768	-0.0045100937
0.99837968	-0.0046025427
1.0083617	-0.0046959185
1.0183437	-0.004790221
1.0283257	-0.00488545
1.0383077	-0.0049816057
1.0482897	-0.0050786878
1.0582717	-0.0051766964
1.0682537	-0.0052756313
1.0782356	-0.0053754925
1.0882176	-0.0054762799
1.0981996	-0.0055779934
1.1081816	-0.0056806331
1.1181636	-0.0057841987
1.1281456	-0.0058886903
1.1381276	-0.0059941077
1.1481096	-0.0061004509
1.1580916	-0.0062077198
1.1680736	-0.0063159143
1.1780556	-0.0064250344
1.1880376	-0.00653508
1.1980196	-0.006646051
1.2080016	-0.0067579473
1.2179836	-0.0068707688
1.2279656	-0.0069845155
1.2379476	-0.0070991873
1.2479296	-0.0072147841
1.2579116	-0.0073313059
1.2678936	-0.0074487525
1.2778756	-0.0075671238
1.2878576	-0.0076864199
1.2978396	-0.0078066405
1.3078216	-0.0079277856
1.3178036	-0.0080498552
1.3277856	-0.0081728491
1.3377676	-0.0082967673
1.3477495	-0.0084216096
1.3577315	-0.0085473761
1.3677135	-0.0086740665
1.3776955	-0.0088016809
1.3876775	-0.008930219
1.3976595	-0.0090596809
1.4076415	-0.0091900665
1.4176235	-0.0093213756
1.4276055	-0.0094536081
1.4375875	-0.0095867641
1.4475695	-0.0097208433
1.4575515	-0.0098558457
1.4675335	-0.0099917712
1.4775155	-0.01012862
1.4874975	-0.010266391
1.4974795	-0.010405085
1.5074615	-0.010544702
1.5174435	-0.010685242
1.5274255	-0.010826704
1.5374075	-0.010969088
1.5473895	-0.011112395
1.5573715	-0.011256624
1.5673535	-0.011401775
1.5773355	-0.011547848
1.5873175	-0.011694843
1.5972995	-0.01184276
1.6072815	-0.011991599
1.6172635	-0.012141359
1.6272454	-0.012292041
1.6372274	-0.012443644
1.6472094	-0.012596168
1.6571914	-0.012749614
1.6671734	-0.012903981
1.6771554	-0.013059269
1.6871374	-0.013215477
1.6971194	-0.013372607
1.7071014	-0.013530657
1.7170834	-0.013689627
1.7270654	-0.013849518
1.7370474	-0.01401033
1.7470294	-0.014172062
1.7570114	-0.014334713
1.7669934	-0.014498285
1.7769754	-0.014662777
1.7869574	-0.014828189
1.7969394	-0.01499452
1.8069214	-0.015161771
1.8169034	-0.015329941
1.8268854	-0.01549903
1.8368674	-0.015669039
1.8468494	-0.015839967
1.8568314	-0.016011814
1.8668134	-0.01618458
1.8767954	-0.016358264
1.8867774	-0.016532867
1.8967594	-0.016708389
1.9067413	-0.016884829
1.9167233	-0.017062187
1.9267053	-0.017240464
1.9366873	-0.017419658
1.9466693	-0.017599771
1.9566513	-0.017780801
1.9666333	-0.017962749
1.9766153	-0.018145615
1.9865973	-0.018329398
1.9965793	-0.018514098
2.0065613	-0.018699715
2.0165433	-0.01888625
2.0265253	-0.019073701
2.0365073	-0.01926207
2.0464893	-0.019451355
2.0564713	-0.019641556
2.0664533	-0.019832674
2.0764353	-0.020024708
2.0864173	-0.020217659
2.0963993	-0.020411525
2.1063813	-0.020606307
2.1163633	-0.020802005
2.1263453	-0.020998619
2.1363273	-0.021196149
2.1463093	-0.021394593
2.1562913	-0.021593953
2.1662733	-0.021794228
2.1762553	-0.021995418
2.1862372	-0.022197523
2.1962192	-0.022400543
2.2062012	-0.022604477
2.2161832	-0.022809326
2.2261652	-0.023015089
2.2361472	-0.023221766
2.2461292	-0.023429357
2.2561112	-0.023637862
2.2660932	-0.023847281
2.2760752	-0.024057614
2.2860572	-0.02426886
2.2960392	-0.024481019
2.3060212	-0.024694092
2.3160032	-0.024908078
2.3259852	-0.025122976
2.3359672	-0.025338788
2.3459492	-0.025555512
2.3559312	-0.025773148
2.3659132	-0.025991697
2.3758952	-0.026211158
2.3858772	-0.026431532
2.3958592	-0.026652817
2.4058412	-0.026875014
2.4158232	-0.027098122
2.4258052	-0.027322142
2.4357872	-0.027547074
2.4457692	-0.027772917
2.4557512	-0.02799967
2.4657331	-0.028227335
2.4757151	-0.02845591
2.4856971	-0.028685396
2.4956791	-0.028915793
2.5056611	-0.029147099
2.5156431	-0.029379316
2.5256251	-0.029612443
2.5356071	-0.02984648
2.5455891	-0.030081427
2.5555711	-0.030317283
2.5655531	-0.030554048
2.5755351	-0.030791723
2.5855171	-0.031030307
2.5954991	-0.0312698
2.6054811	-0.031510201
2.6154631	-0.031751512
2.6254451	-0.03199373
2.6354271	-0.032236857
2.6454091	-0.032480893
2.6553911	-0.032725836
2.6653731	-0.032971687
2.6753551	-0.033218446
2.6853371	-0.033466112
2.6953191	-0.033714686
2.7053011	-0.033964167
2.7152831	-0.034214555
2.7252651	-0.03446585
2.735247	-0.034718051
2.745229	-0.03497116
2.755211	-0.035225174
2.765193	-0.035480095
2.775175	-0.035735922
2.785157	-0.035992655
2.795139	-0.036250294
2.805121	-0.036508838
2.815103	-0.036768288
2.825085	-0.037028643
2.835067	-0.037289904
2.845049	-0.037552069
2.855031	-0.037815139
2.865013	-0.038079114
2.874995	-0.038343993
