Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	538.039	450.272	0.0971391	-1792.99	26901.9	22513.6	4.85695	-89649.6
0.20995	-2.01713	-83.588	0.0971391	-85.3962	-100.857	-4179.4	4.85695	-4269.81
0.4099	-0.508319	-41.9964	0.097139	-43.733	-25.4159	-2099.82	4.85695	-2186.65
0.60985	0.103964	-27.8808	0.0971389	-29.3869	5.19819	-1394.04	4.85695	-1469.35
0.8098	0.0535826	-20.9128	0.0971388	-22.1231	2.67913	-1045.64	4.85694	-1106.16
1.00975	0.0336917	-16.9209	0.0971387	-17.7343	1.68459	-846.046	4.85694	-886.714
1.2097	0.132879	-14.1108	0.0971385	-14.7948	6.64393	-705.538	4.85693	-739.741
1.40965	0.0831226	-12.1426	0.0971384	-12.688	4.15613	-607.13	4.85692	-634.399
1.6096	0.0889727	-10.5849	0.0971381	-11.1035	4.44863	-529.247	4.85691	-555.174
1.80955	0.0815018	-9.42067	0.0971379	-9.86815	4.07509	-471.033	4.85689	-493.408
2.0095	0.0941516	-8.48499	0.0971376	-8.87778	4.70758	-424.249	4.85688	-443.889
2.20945	0.108946	-7.69306	0.0971373	-8.06585	5.4473	-384.653	4.85687	-403.292
2.4094	0.123918	-7.06809	0.097137	-7.38794	6.19591	-353.405	4.85685	-369.397
2.60935	0.0950936	-6.53423	0.0971366	-6.81324	4.75468	-326.711	4.85683	-340.662
2.8093	0.107337	-6.06594	0.0971362	-6.31971	5.36686	-303.297	4.85681	-315.986
3.00925	0.0915875	-5.65951	0.0971358	-5.89118	4.57938	-282.976	4.85679	-294.559
3.2092	0.085252	-5.30688	0.0971354	-5.51549	4.2626	-265.344	4.85677	-275.775
3.40915	0.0743089	-4.98841	0.0971349	-5.18335	3.71545	-249.421	4.85674	-259.167
3.6091	0.0769092	-4.6966	0.0971344	-4.88751	3.84546	-234.83	4.85672	-244.376
3.80905	0.0863842	-4.44705	0.0971338	-4.62227	4.31921	-222.352	4.85669	-231.113
4.009	0.07813	-4.21793	0.0971333	-4.38304	3.9065	-210.896	4.85666	-219.152
4.20895	0.0716649	-4.01258	0.0971327	-4.16612	3.58325	-200.629	4.85663	-208.306
4.4089	0.0740661	-3.82045	0.0971321	-3.96846	3.7033	-191.023	4.8566	-198.423
4.60885	0.075108	-3.6469	0.0971314	-3.78757	3.7554	-182.345	4.85657	-189.379
4.8088	0.0715978	-3.4941	0.0971308	-3.62136	3.57989	-174.705	4.85654	-181.068
5.00875	0.0705646	-3.34471	0.09713	-3.46805	3.52823	-167.235	4.8565	-173.403
5.2087	0.0643731	-3.21058	0.0971293	-3.32618	3.21865	-160.529	4.85647	-166.309
5.40865	0.0658187	-3.08168	0.0971285	-3.19446	3.29093	-154.084	4.85643	-159.723
5.6086	0.0683505	-2.96659	0.0971278	-3.07182	3.41752	-148.329	4.85639	-153.591
5.80855	0.0638934	-2.85495	0.0971269	-2.95732	3.19467	-142.748	4.85635	-147.866
6.0085	0.064903	-2.75417	0.0971261	-2.85014	3.24515	-137.709	4.8563	-142.507
6.20845	0.0663446	-2.66055	0.0971252	-2.74957	3.31723	-133.027	4.85626	-137.479
6.4084	0.0680213	-2.56475	0.0971243	-2.65501	3.40106	-128.238	4.85621	-132.75
6.60835	0.064954	-2.48419	0.0971234	-2.56589	3.2477	-124.21	4.85617	-128.295
6.8083	0.0677533	-2.40141	0.0971224	-2.48175	3.38766	-120.071	4.85612	-124.088
7.00825	0.0672608	-2.32663	0.0971214	-2.40216	3.36304	-116.332	4.85607	-120.108
7.2082	0.0655745	-2.25529	0.0971204	-2.32673	3.27873	-112.765	4.85602	-116.337
7.40815	0.0662829	-2.18555	0.0971193	-2.25514	3.31415	-109.278	4.85597	-112.757
7.6081	0.0659384	-2.11993	0.0971183	-2.18707	3.29692	-105.997	4.85591	-109.354
7.80805	0.0684892	-2.05923	0.0971171	-2.12226	3.42446	-102.962	4.85586	-106.113
8.008	0.0670581	-2.00095	0.097116	-2.06047	3.3529	-100.048	4.8558	-103.023
8.20795	0.067583	-1.944	0.0971148	-2.00147	3.37915	-97.2002	4.85574	-100.073
8.4079	0.0661282	-1.89174	0.0971136	-1.94506	3.30641	-94.5872	4.85568	-97.253
8.60785	0.0655056	-1.83769	0.0971124	-1.89107	3.27528	-91.8845	4.85562	-94.5533
8.8078	0.0668778	-1.78916	0.0971112	-1.83932	3.34389	-89.4579	4.85556	-91.9661
9.00775	0.0657307	-1.74223	0.0971099	-1.78968	3.28653	-87.1113	4.85549	-89.4839
9.2077	0.0669227	-1.69832	0.0971086	-1.74199	3.34614	-84.916	4.85543	-87.0997
9.40765	0.0644101	-1.65301	0.0971072	-1.69615	3.22051	-82.6507	4.85536	-84.8075
9.6076	0.0656707	-1.61155	0.0971059	-1.65203	3.28353	-80.5775	4.85529	-82.6014
9.80755	0.0687398	-1.57124	0.0971045	-1.60952	3.43699	-78.562	4.85522	-80.4761
10.0075	0.0654498	-1.53169	0.0971031	-1.56854	3.27249	-76.5844	4.85515	-78.4269
10.2075	0.069144	-1.49633	0.0971016	-1.52897	3.4572	-74.8165	4.85508	-76.4487
10.4074	0.0678738	-1.45766	0.0971001	-1.49078	3.39369	-72.8831	4.85501	-74.5389
10.6074	0.0695715	-1.42299	0.0970986	-1.45384	3.47857	-71.1497	4.85493	-72.6918
10.8073	0.0674373	-1.38937	0.0970971	-1.41811	3.37187	-69.4686	4.85485	-70.9057
11.0073	0.0676132	-1.35675	0.0970955	-1.38351	3.38066	-67.8374	4.85478	-69.1755
11.2072	0.068458	-1.32572	0.0970939	-1.35	3.4229	-66.2859	4.8547	-67.5
11.4072	0.0691684	-1.29445	0.0970923	-1.31749	3.45842	-64.7227	4.85461	-65.8745
11.6071	0.0694074	-1.26206	0.0970906	-1.28596	3.47037	-63.103	4.85453	-64.2982
11.8071	0.0685045	-1.23512	0.0970889	-1.25534	3.42522	-61.7558	4.85445	-62.7669
12.007	0.0697237	-1.20438	0.0970872	-1.2256	3.48619	-60.2188	4.85436	-61.28
12.207	0.0684928	-1.17935	0.0970855	-1.19667	3.42464	-58.9673	4.85427	-59.8337
12.4069	0.0687454	-1.14978	0.0970837	-1.16855	3.43727	-57.4891	4.85419	-58.4276
12.6069	0.0678996	-1.12753	0.0970819	-1.14117	3.39498	-56.3766	4.8541	-57.0584
12.8068	0.069614	-1.09792	0.0970801	-1.11451	3.4807	-54.8958	4.85401	-55.7256
13.0068	0.0678633	-1.07428	0.0970783	-1.08852	3.39317	-53.7138	4.85391	-54.4262
13.2067	0.0691742	-1.04926	0.0970764	-1.0632	3.45871	-52.4628	4.85382	-53.1601
13.4067	0.0678314	-1.02524	0.0970745	-1.03849	3.39157	-51.2619	4.85372	-51.9245
13.6066	0.0694774	-1.00684	0.0970725	-1.01439	3.47387	-50.3422	4.85363	-50.7193
13.8066	0.0689591	-0.982094	0.0970705	-0.990838	3.44795	-49.1047	4.85353	-49.5419
14.0065	0.0702294	-0.958684	0.0970686	-0.967847	3.51147	-47.9342	4.85343	-48.3924
14.2065	0.0695152	-0.933954	0.0970665	-0.945367	3.47576	-46.6977	4.85333	-47.2683
14.4064	0.0698309	-0.916421	0.0970645	-0.923397	3.49154	-45.821	4.85322	-46.1699
14.6064	0.0700126	-0.893732	0.0970624	-0.901897	3.50063	-44.6866	4.85312	-45.0948
14.8063	0.0714133	-0.874839	0.0970603	-0.880867	3.57067	-43.742	4.85301	-44.0434
15.0063	0.0715046	-0.853037	0.0970581	-0.860269	3.57523	-42.6518	4.85291	-43.0134
15.2062	0.0721075	-0.833843	0.097056	-0.840105	3.60537	-41.6922	4.8528	-42.0052
15.4062	0.0713246	-0.814817	0.0970538	-0.820339	3.56623	-40.7408	4.85269	-41.0169
15.6061	0.0727496	-0.795786	0.0970515	-0.800975	3.63748	-39.7893	4.85258	-40.0487
15.8061	0.0729766	-0.777586	0.0970493	-0.781978	3.64883	-38.8793	4.85246	-39.0989
16.006	0.0732288	-0.758861	0.097047	-0.763354	3.66144	-37.943	4.85235	-38.1677
16.206	0.0741312	-0.741893	0.0970447	-0.745071	3.70656	-37.0946	4.85223	-37.2535
16.4059	0.0733946	-0.723942	0.0970423	-0.727133	3.66973	-36.1971	4.85212	-36.3567
16.6059	0.0750953	-0.707756	0.09704	-0.709512	3.75477	-35.3878	4.852	-35.4756
16.8058	0.0751852	-0.69074	0.0970376	-0.692212	3.75926	-34.537	4.85188	-34.6106
17.0058	0.0755086	-0.673015	0.0970352	-0.675206	3.77543	-33.6508	4.85176	-33.7603
17.2057	0.0757581	-0.657828	0.0970327	-0.658499	3.7879	-32.8914	4.85163	-32.925
17.4057	0.0757559	-0.641285	0.0970302	-0.642066	3.78779	-32.0642	4.85151	-32.1033
17.6056	0.0776697	-0.626306	0.0970277	-0.625913	3.88348	-31.3153	4.85139	-31.2956
