Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	1.20695	-0.00676872	1.2	-0.000634951	60.3476	-0.338436	60	-0.0317475
0.20995	1.20499	-0.0124546	1.19974	-0.013327	60.2494	-0.622728	59.9872	-0.666352
0.4099	1.20302	-0.0263543	1.19903	-0.0259987	60.1511	-1.31772	59.9513	-1.29994
0.60985	1.20196	-0.0387369	1.19785	-0.0386306	60.0979	-1.93685	59.8923	-1.93153
0.8098	1.20078	-0.0522293	1.19621	-0.0512034	60.0392	-2.61146	59.8104	-2.56017
1.00975	1.19906	-0.0631217	1.19412	-0.0636982	59.953	-3.15609	59.7058	-3.18491
1.2097	1.19641	-0.0763472	1.19157	-0.0760963	59.8206	-3.81736	59.5787	-3.80482
1.40965	1.1936	-0.0877621	1.18859	-0.0883794	59.6798	-4.3881	59.4293	-4.41897
1.6096	1.19077	-0.100735	1.18516	-0.10053	59.5383	-5.03677	59.2581	-5.02648
1.80955	1.18645	-0.113593	1.18131	-0.112529	59.3224	-5.67967	59.0654	-5.62647
2.0095	1.18262	-0.125395	1.17703	-0.124362	59.131	-6.26975	58.8517	-6.21811
2.20945	1.17805	-0.136995	1.17235	-0.136011	58.9024	-6.84973	58.6174	-6.80057
2.4094	1.17222	-0.147838	1.16726	-0.147462	58.6111	-7.3919	58.3631	-7.3731
2.60935	1.16857	-0.160193	1.16178	-0.158699	58.4286	-8.00965	58.0892	-7.93493
2.8093	1.16209	-0.170437	1.15593	-0.169708	58.1044	-8.52185	57.7964	-8.48538
3.00925	1.15729	-0.181275	1.14971	-0.180475	57.8647	-9.06377	57.4854	-9.02377
3.2092	1.14994	-0.191456	1.14313	-0.19099	57.4971	-9.57281	57.1566	-9.54948
3.40915	1.1446	-0.202897	1.13622	-0.201238	57.2299	-10.1449	56.8109	-10.0619
3.6091	1.1375	-0.213639	1.12898	-0.211211	56.875	-10.682	56.4489	-10.5606
3.80905	1.12991	-0.222982	1.12143	-0.220898	56.4954	-11.1491	56.0714	-11.0449
4.009	1.12252	-0.233758	1.11358	-0.23029	56.1258	-11.6879	55.6789	-11.5145
4.20895	1.11426	-0.242701	1.10545	-0.239378	55.713	-12.135	55.2724	-11.9689
4.4089	1.10692	-0.252455	1.09705	-0.248156	55.3461	-12.6227	54.8524	-12.4078
4.60885	1.09831	-0.26087	1.0884	-0.256617	54.9154	-13.0435	54.4199	-12.8309
4.8088	1.09084	-0.270669	1.07951	-0.264756	54.5422	-13.5335	53.9754	-13.2378
5.00875	1.08168	-0.278491	1.0704	-0.272568	54.0841	-13.9245	53.5199	-13.6284
5.2087	1.07356	-0.286795	1.06108	-0.280048	53.6778	-14.3397	53.054	-14.0024
5.40865	1.064	-0.295136	1.05157	-0.287195	53.2001	-14.7568	52.5785	-14.3597
5.6086	1.05544	-0.302423	1.04188	-0.294005	52.772	-15.1211	52.0942	-14.7002
5.80855	1.04656	-0.310036	1.03203	-0.300477	52.3279	-15.5018	51.6017	-15.0238
