Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	0.0971391	-1792.99	4.85695	-89649.6	0.999999	-0.00111545	-5.24906e-07	-0.0639108
0.02	0.0971391	-896.496	4.85695	-44824.8	0.999997	-0.00223091	-2.09962e-06	-0.127822
0.03	0.0971391	-597.663	4.85695	-29883.2	0.999994	-0.00334635	-4.72415e-06	-0.191732
0.04	0.0971391	-448.247	4.85695	-22412.4	0.999989	-0.0044618	-8.39849e-06	-0.255643
0.05	0.0971391	-358.597	4.85695	-17929.9	0.999983	-0.00557723	-1.31226e-05	-0.319554
0.06	0.0971391	-298.831	4.85695	-14941.5	0.999975	-0.00669266	-1.88966e-05	-0.383465
0.07	0.0971391	-256.14	4.85695	-12807	0.999967	-0.00780808	-2.57203e-05	-0.447376
0.08	0.0971391	-224.122	4.85695	-11206.1	0.999956	-0.00892349	-3.35938e-05	-0.511287
0.09	0.0971391	-199.219	4.85695	-9960.97	0.999945	-0.0100389	-4.25172e-05	-0.575198
0.1	0.0971391	-179.297	4.85695	-8964.85	0.999932	-0.0111543	-5.24902e-05	-0.639109
0.11	0.0971391	-162.997	4.85695	-8149.84	0.999917	-0.0122696	-6.35131e-05	-0.70302
0.12	0.0971391	-149.413	4.85695	-7470.67	0.999902	-0.013385	-7.55857e-05	-0.766932
0.13	0.0971391	-137.92	4.85695	-6895.98	0.999885	-0.0145003	-8.87081e-05	-0.830843
0.14	0.0971391	-128.068	4.85695	-6403.39	0.999866	-0.0156156	-0.00010288	-0.894754
0.15	0.0971391	-119.529	4.85695	-5976.47	0.999846	-0.0167309	-0.000118102	-0.958666
0.16	0.0971391	-112.058	4.85695	-5602.92	0.999825	-0.0178461	-0.000134374	-1.02258
0.17	0.0971391	-105.466	4.85695	-5273.32	0.999803	-0.0189613	-0.000151695	-1.08649
0.18	0.0971391	-99.6067	4.85695	-4980.33	0.999779	-0.0200765	-0.000170066	-1.1504
