Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	0.0971391	-1792.99	4.85695	-89649.6	0.999999	-0.00111545	-5.24906e-07	-0.0639108
0.0200267	0.0971391	-895.301	4.85695	-44765.1	0.999997	-0.00223388	-2.10523e-06	-0.127992
0.0300534	0.0971391	-596.602	4.85695	-29830.1	0.999994	-0.00335231	-4.74097e-06	-0.192073
0.04008	0.0971391	-447.352	4.85695	-22367.6	0.999989	-0.00447072	-8.43212e-06	-0.256155
0.0501067	0.0971391	-357.834	4.85695	-17891.7	0.999983	-0.00558914	-1.31787e-05	-0.320236
0.0601334	0.0971391	-298.168	4.85695	-14908.4	0.999975	-0.00670754	-1.89807e-05	-0.384317
0.0701601	0.0971391	-255.556	4.85695	-12777.8	0.999966	-0.00782593	-2.58381e-05	-0.448399
0.0801867	0.0971391	-223.6	4.85695	-11180	0.999956	-0.00894432	-3.37508e-05	-0.51248
0.0902134	0.0971391	-198.748	4.85695	-9937.4	0.999944	-0.0100627	-4.2719e-05	-0.576562
0.10024	0.0971391	-178.868	4.85695	-8943.38	0.999931	-0.011181	-5.27426e-05	-0.640644
0.110267	0.0971391	-162.602	4.85695	-8130.12	0.999917	-0.0122994	-6.38215e-05	-0.704725
0.120293	0.0971391	-149.049	4.85695	-7452.44	0.999901	-0.0134177	-7.59558e-05	-0.768807
0.13032	0.0971391	-137.581	4.85695	-6879.04	0.999884	-0.014536	-8.91455e-05	-0.832889
0.140347	0.0971391	-127.751	4.85695	-6387.56	0.999866	-0.0156543	-0.000103391	-0.896971
0.150373	0.0971391	-119.233	4.85695	-5961.63	0.999846	-0.0167725	-0.000118691	-0.961053
0.1604	0.0971391	-111.779	4.85695	-5588.94	0.999824	-0.0178907	-0.000135047	-1.02513
0.170427	0.0971391	-105.202	4.85695	-5260.11	0.999802	-0.0190089	-0.000152458	-1.08922
0.180453	0.0971391	-99.3563	4.85695	-4967.82	0.999778	-0.0201271	-0.000170924	-1.1533
0.19048	0.0971391	-94.1259	4.85695	-4706.29	0.999752	-0.0212453	-0.000190445	-1.21738
0.200507	0.0971391	-89.4185	4.85695	-4470.93	0.999726	-0.0223634	-0.000211022	-1.28146
0.210534	0.0971391	-85.1595	4.85695	-4257.98	0.999697	-0.0234814	-0.000232654	-1.34555
0.22056	0.0971391	-81.2877	4.85695	-4064.39	0.999668	-0.0245995	-0.000255342	-1.40963
0.230587	0.097139	-77.7526	4.85695	-3887.63	0.999637	-0.0257175	-0.000279084	-1.47371
0.240614	0.097139	-74.5121	4.85695	-3725.61	0.999605	-0.0268354	-0.000303882	-1.5378
0.25064	0.097139	-71.5309	4.85695	-3576.55	0.999571	-0.0279534	-0.000329735	-1.60188
0.260667	0.097139	-68.779	4.85695	-3438.95	0.999536	-0.0290712	-0.000356643	-1.66596
0.270694	0.097139	-66.2309	4.85695	-3311.55	0.9995	-0.0301891	-0.000384606	-1.73005
0.28072	0.097139	-63.8649	4.85695	-3193.24	0.999462	-0.0313069	-0.000413625	-1.79413
