Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	1.2	-0.00052453	60	-0.0262265	0.090909	-0.000216748	-20.8278	-0.136606
0.20995	1.1998	-0.0110099	59.9899	-0.550495	0.090848	-0.00455027	-20.8228	-2.86735
0.4099	1.19923	-0.021481	59.9614	-1.07405	0.0906764	-0.00888184	-20.8086	-5.59433
0.60985	1.19829	-0.0319243	59.9145	-1.59622	0.090394	-0.0132096	-20.7854	-8.31399
0.8098	1.19699	-0.0423264	59.8495	-2.11632	0.090001	-0.0175317	-20.7533	-11.0229
1.00975	1.19533	-0.052674	59.7663	-2.6337	0.0894974	-0.0218463	-20.7124	-13.7176
1.2097	1.1933	-0.0629538	59.6651	-3.14769	0.0888834	-0.0261516	-20.663	-16.3951
1.40965	1.19092	-0.0731529	59.5461	-3.65765	0.088159	-0.0304456	-20.6053	-19.0523
1.6096	1.18819	-0.0832587	59.4095	-4.16293	0.0873243	-0.0347265	-20.5397	-21.6864
1.80955	1.18511	-0.0932585	59.2556	-4.66293	0.0863796	-0.0389925	-20.4663	-24.2948
2.0095	1.18169	-0.10314	59.0846	-5.15702	0.085325	-0.0432416	-20.3857	-26.8753
2.20945	1.17794	-0.112892	58.8969	-5.64462	0.0841607	-0.0474721	-20.2981	-29.4258
2.4094	1.17385	-0.122503	58.6926	-6.12516	0.082887	-0.0516821	-20.2039	-31.9445
2.60935	1.16945	-0.131962	58.4723	-6.59808	0.0815041	-0.0558696	-20.1036	-34.43
2.8093	1.16472	-0.141257	58.2362	-7.06285	0.0800123	-0.0600329	-19.9974	-36.8808
3.00925	1.1597	-0.150379	57.9848	-7.51897	0.0784118	-0.0641701	-19.8859	-39.296
3.2092	1.15437	-0.159319	57.7184	-7.96594	0.076703	-0.0682792	-19.7694	-41.6747
3.40915	1.14875	-0.168066	57.4375	-8.4033	0.0748863	-0.0723584	-19.6482	-44.0165
3.6091	1.14285	-0.176613	57.1426	-8.83063	0.0729619	-0.0764059	-19.5229	-46.3208
3.80905	1.13668	-0.18495	56.8341	-9.2475	0.0709304	-0.0804197	-19.3936	-48.5876
4.009	1.13025	-0.193071	56.5125	-9.65353	0.068792	-0.084398	-19.2608	-50.8168
4.20895	1.12356	-0.200967	56.1782	-10.0484	0.0665473	-0.0883389	-19.1249	-53.0086
4.4089	1.11664	-0.208633	55.8318	-10.4317	0.0641968	-0.0922405	-18.9861	-55.1632
4.60885	1.10948	-0.216062	55.4739	-10.8031	0.0617409	-0.0961008	-18.8448	-57.2809
4.8088	1.1021	-0.223249	55.1048	-11.1625	0.0591801	-0.0999181	-18.7012	-59.3624
5.00875	1.0945	-0.230189	54.7251	-11.5094	0.056515	-0.10369	-18.5556	-61.4081
5.2087	1.08671	-0.236877	54.3354	-11.8438	0.0537461	-0.107416	-18.4083	-63.4186
5.40865	1.07872	-0.243309	53.9362	-12.1654	0.0508742	-0.111093	-18.2595	-65.3949
5.6086	1.07056	-0.249482	53.528	-12.4741	0.0478998	-0.114719	-18.1094	-67.3374
5.80855	1.06223	-0.255392	53.1113	-12.7696	0.0448235	-0.118292	-17.9582	-69.2471
6.0085	1.05373	-0.261038	52.6866	-13.0519	0.0416462	-0.121811	-17.8062	-71.1248
6.20845	1.04509	-0.266418	52.2546	-13.3209	0.0383684	-0.125273	-17.6534	-72.9713
6.4084	1.03631	-0.271529	51.8157	-13.5765	0.0349911	-0.128678	-17.5001	-74.7875
6.60835	1.02741	-0.276372	51.3703	-13.8186	0.0315149	-0.132022	-17.3464	-76.5742
6.8083	1.01838	-0.280945	50.9191	-14.0472	0.0279407	-0.135304	-17.1924	-78.3322
7.00825	1.00925	-0.285248	50.4625	-14.2624	0.0242693	-0.138522	-17.0383	-80.0625
7.2082	1.00002	-0.289282	50.001	-14.4641	0.0205017	-0.141674	-16.8842	-81.7659
7.40815	0.990702	-0.293047	49.5351	-14.6523	0.0166387	-0.144758	-16.7301	-83.4431
7.6081	0.981305	-0.296544	49.0652	-14.8272	0.0126814	-0.147773	-16.5762	-85.0951
7.80805	0.971838	-0.299775	48.5919	-14.9887	0.00863075	-0.150716	-16.4226	-86.7225
8.008	0.96231	-0.302741	48.1155	-15.1371	0.00448774	-0.153586	-16.2693	-88.3263
8.20795	0.95273	-0.305445	47.6365	-15.2722	0.000253486	-0.15638	-16.1164	-89.9071
8.4079	0.943106	-0.307888	47.1553	-15.3944	-0.00407091	-0.159097	-15.9639	-91.4657
8.60785	0.933446	-0.310074	46.6723	-15.5037	-0.0084843	-0.161735	-15.812	-93.0029
8.8078	0.923759	-0.312006	46.188	-15.6003	-0.0129855	-0.164291	-15.6607	-94.5192
9.00775	0.914052	-0.313685	45.7026	-15.6843	-0.0175732	-0.166765	-15.5099	-96.0155
9.2077	0.904332	-0.315116	45.2166	-15.7558	-0.0222463	-0.169155	-15.3599	-97.4922
9.40765	0.894607	-0.316303	44.7303	-15.8151	-0.0270033	-0.171457	-15.2105	-98.9502
9.6076	0.884883	-0.317248	44.2441	-15.8624	-0.031843	-0.173671	-15.0618	-100.39
9.80755	0.875166	-0.317957	43.7583	-15.8978	-0.0367639	-0.175796	-14.9139	-101.812
10.0075	0.865464	-0.318432	43.2732	-15.9216	-0.0417646	-0.177827	-14.7668	-103.217
10.2075	0.855779	-0.318678	42.7889	-15.9339	-0.0468448	-0.179766	-14.6205	-104.606
10.4074	0.846124	-0.318699	42.3062	-15.9349	-0.0519994	-0.181608	-14.4751	-105.978
10.6074	0.836496	-0.3185	41.8248	-15.925	-0.0572317	-0.183354	-14.3304	-107.335
10.8073	0.826909	-0.318085	41.3454	-15.9042	-0.062535	-0.184999	-14.1867	-108.677
11.0073	0.817358	-0.317458	40.8679	-15.8729	-0.0679128	-0.186544	-14.0438	-110.004
11.2072	0.807857	-0.316625	40.3929	-15.8313	-0.0733583	-0.187986	-13.9019	-111.317
11.4072	0.798402	-0.31559	39.9201	-15.7795	-0.0788749	-0.189325	-13.7608	-112.617
11.6071	0.789006	-0.314357	39.4503	-15.7179	-0.0844555	-0.190556	-13.6207	-113.903
11.8071	0.779663	-0.312931	38.9831	-15.6466	-0.0901037	-0.191681	-13.4814	-115.177
12.007	0.770386	-0.311318	38.5193	-15.5659	-0.095812	-0.192696	-13.3431	-116.437
12.207	0.76117	-0.30952	38.0585	-15.476	-0.101584	-0.1936	-13.2057	-117.687
