Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
0.01	1.2	-0.000634951	60	-0.0317475	0.0909089	-0.000262376	-20.8278	-0.165364
0.0204435	1.2	-0.00129806	59.9999	-0.0649029	0.0909084	-0.000536388	-20.8278	-0.338059
0.030887	1.19999	-0.00196116	59.9997	-0.0980579	0.0909075	-0.0008104	-20.8277	-0.510753
0.0413304	1.19999	-0.00262425	59.9995	-0.131213	0.0909063	-0.00108441	-20.8275	-0.683442
0.0517739	1.19998	-0.00328733	59.9992	-0.164367	0.0909047	-0.00135842	-20.8273	-0.856126
0.0622174	1.19998	-0.0039504	59.9989	-0.19752	0.0909027	-0.00163243	-20.8271	-1.0288
0.0726609	1.19997	-0.00461345	59.9985	-0.230673	0.0909004	-0.00190643	-20.8268	-1.20147
0.0831044	1.19996	-0.00527649	59.998	-0.263824	0.0908978	-0.00218043	-20.8264	-1.37413
0.0935478	1.19995	-0.0059395	59.9975	-0.296975	0.0908947	-0.00245443	-20.8261	-1.54678
0.103991	1.19994	-0.00660248	59.9969	-0.330124	0.0908914	-0.00272843	-20.8256	-1.71942
0.114435	1.19992	-0.00726544	59.9962	-0.363272	0.0908876	-0.00300242	-20.8252	-1.89205
0.124878	1.19991	-0.00792837	59.9955	-0.396418	0.0908835	-0.00327641	-20.8247	-2.06466
0.135322	1.19989	-0.00859126	59.9947	-0.429563	0.0908791	-0.0035504	-20.8241	-2.23725
0.145765	1.19988	-0.00925412	59.9938	-0.462706	0.0908743	-0.00382438	-20.8235	-2.40983
0.156209	1.19986	-0.00991694	59.9929	-0.495847	0.0908691	-0.00409835	-20.8229	-2.58239
0.166652	1.19984	-0.0105797	59.9919	-0.528986	0.0908636	-0.00437232	-20.8222	-2.75493
0.177096	1.19982	-0.0112425	59.9909	-0.562123	0.0908577	-0.00464629	-20.8214	-2.92745
0.187539	1.1998	-0.0119051	59.9898	-0.595257	0.0908514	-0.00492025	-20.8206	-3.09994
0.197983	1.19977	-0.0125678	59.9886	-0.628389	0.0908448	-0.0051942	-20.8198	-3.27242
0.208426	1.19975	-0.0132304	59.9874	-0.661518	0.0908379	-0.00546815	-20.819	-3.44486
0.21887	1.19972	-0.0138929	59.9861	-0.694645	0.0908306	-0.00574209	-20.818	-3.61729
0.229313	1.1997	-0.0145554	59.9848	-0.727768	0.0908229	-0.00601602	-20.8171	-3.78968
0.239757	1.19967	-0.0152178	59.9833	-0.760889	0.0908149	-0.00628994	-20.8161	-3.96204
0.2502	1.19964	-0.0158801	59.9819	-0.794006	0.0908065	-0.00656386	-20.815	-4.13438
0.260644	1.19961	-0.0165424	59.9803	-0.82712	0.0907977	-0.00683776	-20.8139	-4.30668
