Freq_GHz	Norm_dB_meas	Norm_dB_model_hole
0.33	0	0
0.83	-0.0759701	-0.00400456
1.5	-0.1	-0.0148015
2	-0.35	-0.0269369
2.5	-0.879403	-0.0425888
2.92	-0.69	-0.0584802
3.58	-0.377463	-0.0885798
4.08	-0.6066	-0.115617
4.42	-0.3568	-0.13612
4.92	-0.79	-0.169433
5.42	-0.529851	-0.20657
6.08	-1.3312	-0.261571
6.42	-1.15213	-0.292612
7	-0.94	-0.349904
7.5	-1.1	-0.403769
8	-0.787463	-0.461864
8.33	-0.922537	-0.502565
8.83	-1.0834	-0.567867
9.33	-1.7468	-0.637619
9.83	-1.28522	-0.7119
10.33	-1.95788	-0.790785
10.83	-1.37	-0.874343
11.17	-1.0096	-0.933865
11.67	-1.0996	-1.02542
12	-1.6398	-1.08848
12.67	-1.78	-1.22305
13.33	-1.77639	-1.36422
13.67	-2.76455	-1.4403
14.17	-2.12955	-1.55634
14.67	-1.8996	-1.67732
15.33	-1.7668	-1.84458
15.67	-2.343	-1.93408
16.5	-3.44	-2.16202
17	-2.5	-2.30574
17.5	-3.13254	-2.45418
18	-2.795	-2.60728
18.5	-2.61	-2.76495
19	-2.355	-2.92708
19.67	-2.29	-3.15115
20.17	-3.65727	-3.32329
20.67	-4.3932	-3.4995
21.17	-3.5372	-3.67965
21.67	-3.85	-3.86358
22.17	-3.4432	-4.05116
22.67	-3.49746	-4.24223
23.17	-3.26	-4.43663
23.67	-4.45	-4.63422
24.33	-4.8904	-4.89963
24.67	-4.98	-5.03828
25.17	-5.17	-5.24445
25.67	-4.494	-5.45315
26	-5.404	-5.59221
26.5	-4.537	-5.80479
27.08	-5.92	-6.05404
27.75	-6.16	-6.34522
28.25	-6.81	-6.56459
28.58	-6.45	-6.71027
29.08	-6.21	-6.93225
29.58	-6.02	-7.15562
30.08	-5.62	-7.38026
