Freq_GHz	Norm_dB_meas	Norm_dB_model_hole
0.83	0	1.92865e-15
1.5	0.0259701	-0.00459799
2	0.0159701	-0.00976058
2.5	-0.243433	-0.016411
2.92	-0.21403	-0.023154
3.58	-0.171493	-0.0359015
3.92	-0.23743	-0.0435033
4.58	-0.24723	-0.0602922
5.08	-0.40403	-0.074818
5.58	-0.359104	-0.0909238
6.08	-0.38523	-0.108632
6.67	-0.39723	-0.131623
7.17	-0.42723	-0.152912
7.67	-0.348878	-0.175888
8.17	-0.348955	-0.200582
8.67	-0.44063	-0.227025
9.33	-0.60083	-0.264669
9.83	-0.449254	-0.295307
10.33	-0.581909	-0.327816
10.67	-0.476151	-0.35101
11.17	-0.42363	-0.38675
11.67	-0.37363	-0.42447
12.33	-0.63403	-0.477363
12.83	-0.768608	-0.519841
13.25	-0.798126	-0.557164
13.83	-0.67403	-0.61122
14.33	-0.809254	-0.660214
14.83	-0.49443	-0.711471
15.67	-0.56703	-0.80281
16	-0.50403	-0.840525
16.5	-1.28403	-0.899682
17	-0.92403	-0.961302
17.5	-0.956567	-1.02543
18	-0.71903	-1.09211
18.67	-0.67403	-1.18553
19.17	-0.666151	-1.25833
19.67	-0.93403	-1.33381
20.17	-1.2113	-1.41201
20.67	-1.66723	-1.49295
21.17	-1.04123	-1.57666
21.67	-1.13403	-1.66317
22.17	-0.91723	-1.7525
22.67	-1.00149	-1.84466
23.17	-1.02403	-1.93967
23.67	-1.61403	-2.03755
24.33	-1.79443	-2.17112
24.83	-1.84403	-2.27563
25.33	-1.79403	-2.38301
25.83	-1.36403	-2.49323
26.33	-1.84403	-2.60628
26.83	-2.47403	-2.72214
27.42	-2.35803	-2.86245
27.92	-2.82403	-2.98435
28.42	-2.75373	-3.10898
29.08	-2.31403	-3.27759
29.42	-2.14643	-3.36624
29.92	-1.97603	-3.49877
30.58	-3.73403	-3.6776
31.33	-4.40736	-3.88603
