Freq_GHz	Norm_dB_model_hole
0.1	-2.57956e-05
0.109982	-4.02585e-05
0.119964	-5.60965e-05
0.129946	-7.33097e-05
0.139928	-9.1898e-05
0.14991	-0.000111861
0.159892	-0.0001332
0.169874	-0.000155914
0.179856	-0.000180003
0.189838	-0.000205467
0.19982	-0.000232307
0.209802	-0.000260522
0.219784	-0.000290112
0.229766	-0.000321078
0.239748	-0.000353419
0.24973	-0.000387135
0.259712	-0.000422227
0.269694	-0.000458694
0.279676	-0.000496537
0.289658	-0.000535755
0.29964	-0.000576349
0.309622	-0.000618319
0.319604	-0.000661664
0.329586	-0.000706385
0.339568	-0.000752482
0.34955	-0.000799955
0.359532	-0.000848803
0.369514	-0.000899027
0.379496	-0.000950628
0.389478	-0.0010036
0.39946	-0.00105796
0.409442	-0.00111368
0.419424	-0.00117079
0.429406	-0.00122927
0.439388	-0.00128913
0.44937	-0.00135036
0.459352	-0.00141297
0.469334	-0.00147696
0.479316	-0.00154232
0.489298	-0.00160906
0.49928	-0.00167717
0.509262	-0.00174667
0.519244	-0.00181753
0.529226	-0.00188978
0.539208	-0.0019634
0.54919	-0.0020384
0.559172	-0.00211478
0.569154	-0.00219253
0.579136	-0.00227167
0.589118	-0.00235217
0.5991	-0.00243406
0.609082	-0.00251732
0.619064	-0.00260196
0.629046	-0.00268798
0.639028	-0.00277538
0.64901	-0.00286415
0.658992	-0.0029543
0.668974	-0.00304583
0.678956	-0.00313874
0.688938	-0.00323303
0.69892	-0.00332869
0.708902	-0.00342573
0.718884	-0.00352415
0.728866	-0.00362395
0.738848	-0.00372513
0.74883	-0.00382768
0.758812	-0.00393162
0.768794	-0.00403693
0.778776	-0.00414362
0.788758	-0.0042517
0.79874	-0.00436115
0.808722	-0.00447198
0.818704	-0.00458419
0.828686	-0.00469778
0.838668	-0.00481274
0.84865	-0.00492909
0.858632	-0.00504682
0.868614	-0.00516593
0.878596	-0.00528642
0.888578	-0.00540828
0.89856	-0.00553153
0.908542	-0.00565616
0.918524	-0.00578217
0.928506	-0.00590956
0.938488	-0.00603833
0.94847	-0.00616848
0.958452	-0.00630001
0.968434	-0.00643293
0.978416	-0.00656722
0.988398	-0.0067029
0.99838	-0.00683996
1.00836	-0.0069784
1.01834	-0.00711822
1.02833	-0.00725942
1.03831	-0.007402
1.04829	-0.00754597
1.05827	-0.00769132
1.06825	-0.00783805
1.07824	-0.00798617
1.08822	-0.00813566
1.0982	-0.00828654
1.10818	-0.00843881
1.11816	-0.00859245
1.12815	-0.00874748
1.13813	-0.0089039
1.14811	-0.00906169
1.15809	-0.00922087
1.16807	-0.00938144
1.17806	-0.00954339
1.18804	-0.00970672
1.19802	-0.00987144
1.208	-0.0100375
1.21798	-0.010205
1.22797	-0.0103739
1.23795	-0.0105441
1.24793	-0.0107158
1.25791	-0.0108888
1.26789	-0.0110632
1.27788	-0.011239
1.28786	-0.0114162
1.29784	-0.0115948
1.30782	-0.0117747
1.3178	-0.0119561
1.32779	-0.0121388
1.33777	-0.0123229
1.34775	-0.0125084
1.35773	-0.0126953
1.36771	-0.0128836
1.3777	-0.0130733
1.38768	-0.0132643
1.39766	-0.0134567
1.40764	-0.0136506
1.41762	-0.0138458
1.42761	-0.0140424
1.43759	-0.0142404
1.44757	-0.0144398
1.45755	-0.0146405
1.46753	-0.0148427
1.47752	-0.0150462
1.4875	-0.0152512
1.49748	-0.0154575
1.50746	-0.0156652
1.51744	-0.0158743
1.52743	-0.0160848
1.53741	-0.0162967
1.54739	-0.01651
1.55737	-0.0167246
1.56735	-0.0169407
1.57734	-0.0171582
1.58732	-0.017377
1.5973	-0.0175972
1.60728	-0.0178189
1.61726	-0.0180419
1.62725	-0.0182663
1.63723	-0.0184921
1.64721	-0.0187193
1.65719	-0.0189479
1.66717	-0.0191779
1.67716	-0.0194092
1.68714	-0.019642
1.69712	-0.0198762
1.7071	-0.0201117
1.71708	-0.0203487
1.72707	-0.020587
1.73705	-0.0208267
1.74703	-0.0210679
1.75701	-0.0213104
1.76699	-0.0215543
1.77698	-0.0217997
1.78696	-0.0220464
1.79694	-0.0222945
1.80692	-0.022544
1.8169	-0.0227949
