Freq_GHz	Norm_dB_model_hole
0.1	-2.57956e-05
0.109982	-2.88977e-05
0.119964	-3.22948e-05
0.129946	-3.59868e-05
0.139928	-3.99737e-05
0.14991	-4.42556e-05
0.159892	-4.88324e-05
0.169874	-5.37042e-05
0.179856	-5.88709e-05
0.189838	-6.43326e-05
0.19982	-7.00893e-05
0.209802	-7.61409e-05
0.219784	-8.24875e-05
0.229766	-8.9129e-05
0.239748	-9.60656e-05
0.24973	-0.000103297
0.259712	-0.000110824
0.269694	-0.000118645
0.279676	-0.000126762
0.289658	-0.000135173
0.29964	-0.00014388
0.309622	-0.000152881
0.319604	-0.000162177
0.329586	-0.000171769
0.339568	-0.000181656
0.34955	-0.000191837
0.359532	-0.000202314
0.369514	-0.000213085
0.379496	-0.000224152
0.389478	-0.000235514
0.39946	-0.000247171
0.409442	-0.000259123
0.419424	-0.000271369
0.429406	-0.000283912
0.439388	-0.000296749
0.44937	-0.000309881
0.459352	-0.000323308
0.469334	-0.000337031
0.479316	-0.000351048
0.489298	-0.000365361
0.49928	-0.000379969
0.509262	-0.000394872
0.519244	-0.00041007
0.529226	-0.000425563
0.539208	-0.000441352
0.54919	-0.000457435
0.559172	-0.000473814
0.569154	-0.000490488
0.579136	-0.000507457
0.589118	-0.000524722
0.5991	-0.000542282
0.609082	-0.000560137
0.619064	-0.000578287
0.629046	-0.000596732
0.639028	-0.000615473
0.64901	-0.000634509
0.658992	-0.00065384
0.668974	-0.000673467
0.678956	-0.000693389
0.688938	-0.000713606
0.69892	-0.000734119
0.708902	-0.000754927
0.718884	-0.00077603
0.728866	-0.000797429
0.738848	-0.000819123
0.74883	-0.000841113
0.758812	-0.000863398
0.768794	-0.000885978
0.778776	-0.000908854
0.788758	-0.000932025
0.79874	-0.000955492
0.808722	-0.000979254
0.818704	-0.00100331
0.828686	-0.00102767
0.838668	-0.00105231
0.84865	-0.00107726
0.858632	-0.0011025
0.868614	-0.00112803
0.878596	-0.00115386
0.888578	-0.00117999
0.89856	-0.00120641
0.908542	-0.00123313
0.918524	-0.00126015
0.928506	-0.00128745
0.938488	-0.00131506
0.94847	-0.00134296
0.958452	-0.00137116
0.968434	-0.00139965
0.978416	-0.00142844
0.988398	-0.00145752
0.99838	-0.0014869
1.00836	-0.00151657
1.01834	-0.00154655
1.02833	-0.00157681
1.03831	-0.00160737
1.04829	-0.00163823
1.05827	-0.00166939
1.06825	-0.00170084
1.07824	-0.00173258
1.08822	-0.00176463
1.0982	-0.00179696
1.10818	-0.0018296
1.11816	-0.00186253
1.12815	-0.00189575
1.13813	-0.00192928
1.14811	-0.0019631
1.15809	-0.00199721
1.16807	-0.00203162
1.17806	-0.00206633
1.18804	-0.00210133
1.19802	-0.00213663
1.208	-0.00217222
1.21798	-0.00220811
1.22797	-0.0022443
1.23795	-0.00228079
1.24793	-0.00231757
1.25791	-0.00235464
1.26789	-0.00239201
1.27788	-0.00242968
1.28786	-0.00246765
1.29784	-0.00250591
1.30782	-0.00254447
1.3178	-0.00258332
1.32779	-0.00262247
1.33777	-0.00266192
1.34775	-0.00270167
1.35773	-0.00274171
1.36771	-0.00278204
1.3777	-0.00282268
1.38768	-0.00286361
1.39766	-0.00290483
1.40764	-0.00294636
1.41762	-0.00298818
1.42761	-0.00303029
1.43759	-0.00307271
1.44757	-0.00311542
1.45755	-0.00315842
1.46753	-0.00320173
1.47752	-0.00324533
1.4875	-0.00328923
1.49748	-0.00333342
1.50746	-0.00337791
1.51744	-0.0034227
1.52743	-0.00346778
1.53741	-0.00351317
1.54739	-0.00355885
1.55737	-0.00360482
1.56735	-0.00365109
1.57734	-0.00369766
1.58732	-0.00374453
1.5973	-0.0037917
1.60728	-0.00383916
1.61726	-0.00388692
1.62725	-0.00393497
1.63723	-0.00398333
1.64721	-0.00403198
1.65719	-0.00408092
