Freq_GHz	Norm_dB_meas	Norm_dB_model_sat
0.33	0	0
0.83	-0.0759701	-0.00464066
1.5	-0.1	-0.0171499
2	-0.35	-0.0312052
2.5	-0.879403	-0.0493261
2.92	-0.69	-0.0677162
3.58	-0.377463	-0.102527
4.08	-0.6066	-0.133771
4.42	-0.3568	-0.15745
4.92	-0.79	-0.195898
5.42	-0.529851	-0.238724
6.08	-1.3312	-0.302083
6.42	-1.15213	-0.337807
7	-0.94	-0.403682
7.5	-1.1	-0.465548
8	-0.787463	-0.532205
8.33	-0.922537	-0.578865
8.83	-1.0834	-0.653661
9.33	-1.7468	-0.733472
9.83	-1.28522	-0.818377
10.33	-1.95788	-0.908454
10.83	-1.37	-1.00378
11.17	-1.0096	-1.07162
11.67	-1.0996	-1.1759
12	-1.6398	-1.24768
12.67	-1.78	-1.40072
13.33	-1.77639	-1.5611
13.67	-2.76455	-1.64748
14.17	-2.12955	-1.77915
14.67	-1.8996	-1.91635
15.33	-1.7668	-2.10593
15.67	-2.343	-2.20734
16.5	-3.44	-2.46551
17	-2.5	-2.62824
17.5	-3.13254	-2.79631
18	-2.795	-2.96964
18.5	-2.61	-3.14816
19	-2.355	-3.33177
19.67	-2.29	-3.58559
20.17	-3.65727	-3.78068
20.67	-4.3932	-3.98047
21.17	-3.5372	-4.18483
21.67	-3.85	-4.39363
22.17	-3.4432	-4.60672
22.67	-3.49746	-4.82395
23.17	-3.26	-5.04519
23.67	-4.45	-5.27027
24.33	-4.8904	-5.573
24.67	-4.98	-5.73134
25.17	-5.17	-5.96703
25.67	-4.494	-6.20595
26	-5.404	-6.36533
26.5	-4.537	-6.60928
27.08	-5.92	-6.89581
27.75	-6.16	-7.23124
28.25	-6.81	-7.48449
28.58	-6.45	-7.65293
29.08	-6.21	-7.91
29.58	-6.02	-8.1692
30.08	-5.62	-8.43042
