Freq_GHz	Norm_dB_meas	Norm_dB_model_sat
0.33	0	0
0.83	-0.0759701	-0.00395099
1.33	-0.341515	-0.0113146
1.83	-0.4378	-0.0221029
2.5	-0.809403	-0.0419592
2.92	-0.65	-0.0575829
3.42	-0.605075	-0.0794021
3.92	-0.6934	-0.104753
4.42	-0.5668	-0.133674
4.92	-0.97	-0.166208
5.58	-0.795075	-0.214765
6.08	-1.1512	-0.255869
6.67	-1.1732	-0.309242
7.17	-1.2232	-0.358669
7.67	-0.994848	-0.412008
8.17	-1.02493	-0.469325
8.67	-1.2566	-0.530682
9.17	-1.5432	-0.596144
9.83	-1.44522	-0.688952
10.33	-1.66788	-0.76419
11	-1.5298	-0.871792
11.33	-1.55	-0.927685
11.83	-1.19	-1.01606
12.5	-1.67	-1.14155
13	-2.07819	-1.24052
13.67	-2.64455	-1.38039
14.17	-2.04955	-1.49021
14.67	-2.1296	-1.60473
15.17	-2.0232	-1.72397
15.67	-2.413	-1.84795
16.17	-2.0298	-1.97668
16.67	-2.9202	-2.11017
17.33	-3.15507	-2.29364
17.83	-2.99758	-2.43813
18.33	-2.56	-2.58733
18.83	-2.45788	-2.74121
19.33	-2.64	-2.89974
19.83	-3.52273	-3.06286
20.33	-3.04	-3.23052
21	-3.8536	-3.46219
21.5	-3.58	-3.64021
17.17	-3.06746	-2.2484
17.67	-3.01	-2.39138
18.17	-2.57242	-2.53908
18.67	-2.59	-2.69147
19	-2.595	-2.79459
19.67	-2.94	-3.01016
20.33	-3.45	-3.23052
20.67	-4.2832	-3.34709
21.17	-3.3372	-3.52223
21.67	-3.61	-3.70173
22.17	-3.1532	-3.8855
22.67	-3.59746	-4.07347
23.33	-3.8604	-4.32785
24	-4.3936	-4.59315
24.33	-4.6004	-4.72637
24.83	-4.78	-4.93133
25.33	-4.67	-5.13994
25.83	-4.39	-5.35209
26.33	-4.4	-5.56768
