Freq_GHz	Norm_dB_model_sat
0.1	-3.67622e-05
0.109982	-5.35237e-05
0.119964	-7.18789e-05
0.129946	-9.18278e-05
0.139928	-0.00011337
0.14991	-0.000136507
0.159892	-0.000161237
0.169874	-0.00018756
0.179856	-0.000215478
0.189838	-0.000244989
0.19982	-0.000276094
0.209802	-0.000308793
0.219784	-0.000343086
0.229766	-0.000378973
0.239748	-0.000416454
0.24973	-0.000455528
0.259712	-0.000496197
0.269694	-0.00053846
0.279676	-0.000582317
0.289658	-0.000627767
0.29964	-0.000674812
0.309622	-0.000723452
0.319604	-0.000773685
0.329586	-0.000825513
0.339568	-0.000878935
0.34955	-0.000933951
0.359532	-0.000990562
0.369514	-0.00104877
0.379496	-0.00110857
0.389478	-0.00116996
0.39946	-0.00123295
0.409442	-0.00129753
0.419424	-0.00136371
0.429406	-0.00143148
0.439388	-0.00150085
0.44937	-0.00157181
0.459352	-0.00164437
0.469334	-0.00171852
0.479316	-0.00179427
0.489298	-0.00187161
0.49928	-0.00195055
0.509262	-0.00203109
0.519244	-0.00211321
0.529226	-0.00219694
0.539208	-0.00228226
0.54919	-0.00236917
0.559172	-0.00245768
0.569154	-0.00254779
0.579136	-0.00263949
0.589118	-0.00273279
0.5991	-0.00282768
0.609082	-0.00292417
0.619064	-0.00302226
0.629046	-0.00312194
0.639028	-0.00322322
0.64901	-0.00332609
0.658992	-0.00343056
0.668974	-0.00353663
0.678956	-0.00364429
0.688938	-0.00375355
0.69892	-0.00386441
0.708902	-0.00397686
0.718884	-0.00409092
0.728866	-0.00420656
0.738848	-0.00432381
0.74883	-0.00444265
0.758812	-0.00456309
0.768794	-0.00468513
0.778776	-0.00480876
0.788758	-0.004934
0.79874	-0.00506083
0.808722	-0.00518925
0.818704	-0.00531928
0.828686	-0.0054509
0.838668	-0.00558413
0.84865	-0.00571895
0.858632	-0.00585537
0.868614	-0.00599338
0.878596	-0.006133
0.888578	-0.00627421
0.89856	-0.00641703
0.908542	-0.00656144
0.918524	-0.00670745
0.928506	-0.00685506
0.938488	-0.00700427
0.94847	-0.00715508
0.958452	-0.00730749
0.968434	-0.0074615
0.978416	-0.00761711
0.988398	-0.00777432
0.99838	-0.00793313
1.00836	-0.00809354
1.01834	-0.00825555
1.02833	-0.00841916
1.03831	-0.00858437
1.04829	-0.00875118
1.05827	-0.00891959
1.06825	-0.00908961
1.07824	-0.00926122
1.08822	-0.00943444
1.0982	-0.00960926
1.10818	-0.00978568
1.11816	-0.0099637
1.12815	-0.0101433
1.13813	-0.0103245
1.14811	-0.0105074
1.15809	-0.0106918
1.16807	-0.0108778
1.17806	-0.0110655
1.18804	-0.0112547
1.19802	-0.0114456
1.208	-0.011638
1.21798	-0.011832
1.22797	-0.0120277
1.23795	-0.0122249
1.24793	-0.0124238
1.25791	-0.0126243
1.26789	-0.0128263
1.27788	-0.01303
1.28786	-0.0132353
1.29784	-0.0134422
1.30782	-0.0136507
1.3178	-0.0138607
1.32779	-0.0140724
1.33777	-0.0142857
1.34775	-0.0145006
1.35773	-0.0147172
1.36771	-0.0149353
1.3777	-0.015155
1.38768	-0.0153763
1.39766	-0.0155993
1.40764	-0.0158238
1.41762	-0.01605
1.42761	-0.0162777
1.43759	-0.0165071
1.44757	-0.016738
1.45755	-0.0169706
1.46753	-0.0172048
1.47752	-0.0174406
1.4875	-0.017678
1.49748	-0.017917
1.50746	-0.0181576
1.51744	-0.0183999
1.52743	-0.0186437
1.53741	-0.0188892
1.54739	-0.0191362
1.55737	-0.0193849
1.56735	-0.0196352
1.57734	-0.019887
1.58732	-0.0201405
1.5973	-0.0203956
1.60728	-0.0206524
1.61726	-0.0209107
1.62725	-0.0211706
1.63723	-0.0214322
1.64721	-0.0216953
1.65719	-0.0219601
1.66717	-0.0222265
1.67716	-0.0224945
1.68714	-0.0227641
1.69712	-0.0230353
1.7071	-0.0233082
1.71708	-0.0235826
1.72707	-0.0238587
1.73705	-0.0241363
1.74703	-0.0244156
1.75701	-0.0246965
1.76699	-0.024979
1.77698	-0.0252632
1.78696	-0.0255489
1.79694	-0.0258363
1.80692	-0.0261253
1.8169	-0.0264158
1.82689	-0.026708
1.83687	-0.0270019
1.84685	-0.0272973
1.85683	-0.0275944
1.86681	-0.027893
1.8768	-0.0281933
1.88678	-0.0284952
1.89676	-0.0287987
1.90674	-0.0291039
1.91672	-0.0294106
1.92671	-0.029719
1.93669	-0.030029
1.94667	-0.0303406
1.95665	-0.0306538
1.96663	-0.0309687
1.97662	-0.0312852
1.9866	-0.0316032
1.99658	-0.031923
2.00656	-0.0322443
2.01654	-0.0325672
2.02653	-0.0328918
2.03651	-0.033218
2.04649	-0.0335458
2.05647	-0.0338752
2.06645	-0.0342063
2.07644	-0.034539
2.08642	-0.0348733
2.0964	-0.0352092
2.10638	-0.0355467
2.11636	-0.0358859
2.12635	-0.0362267
2.13633	-0.0365691
2.14631	-0.0369131
2.15629	-0.0372588
2.16627	-0.0376061
2.17626	-0.037955
2.18624	-0.0383055
2.19622	-0.0386577
2.2062	-0.0390114
2.21618	-0.0393669
2.22617	-0.0397239
2.23615	-0.0400826
2.24613	-0.0404428
2.25611	-0.0408048
2.26609	-0.0411683
2.27608	-0.0415335
2.28606	-0.0419003
2.29604	-0.0422687
2.30602	-0.0426388
2.316	-0.0430105
2.32599	-0.0433838
2.33597	-0.0437587
2.34595	-0.0441353
2.35593	-0.0445135
2.36591	-0.0448933
2.3759	-0.0452748
2.38588	-0.0456579
2.39586	-0.0460426
2.40584	-0.046429
2.41582	-0.0468169
2.42581	-0.0472066
2.43579	-0.0475978
2.44577	-0.0479907
2.45575	-0.0483852
2.46573	-0.0487814
2.47572	-0.0491792
2.4857	-0.0495786
2.49568	-0.0499796
2.50566	-0.0503823
2.51564	-0.0507867
2.52563	-0.0511926
2.53561	-0.0516002
2.54559	-0.0520094
2.55557	-0.0524203
2.56555	-0.0528328
2.57554	-0.053247
2.58552	-0.0536627
2.5955	-0.0540802
2.60548	-0.0544992
2.61546	-0.0549199
2.62545	-0.0553422
2.63543	-0.0557662
2.64541	-0.0561918
2.65539	-0.0566191
