Freq_GHz	Norm_dB_model_sat
0.1	-3.67622e-05
0.109982	-5.10345e-05
0.119964	-6.66638e-05
0.129946	-8.36501e-05
0.139928	-0.000101993
0.14991	-0.000121694
0.159892	-0.000142751
0.169874	-0.000165165
0.179856	-0.000188937
0.189838	-0.000214065
0.19982	-0.000240551
0.209802	-0.000268393
0.219784	-0.000297593
0.229766	-0.00032815
0.239748	-0.000360064
0.24973	-0.000393335
0.259712	-0.000427964
0.269694	-0.000463949
0.279676	-0.000501292
0.289658	-0.000539992
0.29964	-0.00058005
0.309622	-0.000621465
0.319604	-0.000664237
0.329586	-0.000708366
0.339568	-0.000753853
0.34955	-0.000800698
0.359532	-0.000848899
0.369514	-0.000898459
0.379496	-0.000949375
0.389478	-0.00100165
0.39946	-0.00105528
0.409442	-0.00111027
0.419424	-0.00116662
0.429406	-0.00122432
0.439388	-0.00128339
0.44937	-0.00134381
0.459352	-0.00140559
0.469334	-0.00146872
0.479316	-0.00153322
0.489298	-0.00159907
0.49928	-0.00166628
0.509262	-0.00173485
0.519244	-0.00180477
0.529226	-0.00187606
0.539208	-0.0019487
0.54919	-0.0020227
0.559172	-0.00209806
0.569154	-0.00217477
0.579136	-0.00225285
0.589118	-0.00233228
0.5991	-0.00241308
0.609082	-0.00249523
0.619064	-0.00257874
0.629046	-0.0026636
0.639028	-0.00274983
0.64901	-0.00283742
0.658992	-0.00292636
0.668974	-0.00301666
0.678956	-0.00310833
0.688938	-0.00320135
0.69892	-0.00329573
0.708902	-0.00339147
0.718884	-0.00348856
0.728866	-0.00358702
0.738848	-0.00368684
0.74883	-0.00378801
0.758812	-0.00389055
0.768794	-0.00399444
0.778776	-0.0040997
0.788758	-0.00420631
0.79874	-0.00431429
0.808722	-0.00442362
0.818704	-0.00453431
0.828686	-0.00464637
0.838668	-0.00475978
0.84865	-0.00487455
0.858632	-0.00499068
0.868614	-0.00510818
0.878596	-0.00522703
0.888578	-0.00534725
0.89856	-0.00546882
0.908542	-0.00559175
0.918524	-0.00571605
0.928506	-0.00584171
0.938488	-0.00596872
0.94847	-0.0060971
0.958452	-0.00622684
0.968434	-0.00635794
0.978416	-0.0064904
0.988398	-0.00662422
0.99838	-0.0067594
1.00836	-0.00689595
1.01834	-0.00703385
1.02833	-0.00717312
1.03831	-0.00731375
1.04829	-0.00745574
1.05827	-0.00759909
1.06825	-0.00774381
1.07824	-0.00788988
1.08822	-0.00803732
1.0982	-0.00818612
1.10818	-0.00833628
1.11816	-0.00848781
1.12815	-0.0086407
1.13813	-0.00879495
1.14811	-0.00895056
1.15809	-0.00910753
1.16807	-0.00926587
1.17806	-0.00942557
1.18804	-0.00958664
1.19802	-0.00974906
1.208	-0.00991285
1.21798	-0.010078
1.22797	-0.0102445
1.23795	-0.0104124
1.24793	-0.0105817
1.25791	-0.0107523
1.26789	-0.0109242
1.27788	-0.0110976
1.28786	-0.0112723
1.29784	-0.0114483
1.30782	-0.0116258
1.3178	-0.0118046
1.32779	-0.0119847
1.33777	-0.0121662
1.34775	-0.0123491
1.35773	-0.0125334
1.36771	-0.012719
1.3777	-0.012906
1.38768	-0.0130943
1.39766	-0.013284
1.40764	-0.0134751
1.41762	-0.0136676
1.42761	-0.0138614
1.43759	-0.0140565
1.44757	-0.0142531
1.45755	-0.014451
1.46753	-0.0146503
1.47752	-0.0148509
1.4875	-0.0150529
1.49748	-0.0152563
1.50746	-0.015461
1.51744	-0.0156671
1.52743	-0.0158746
1.53741	-0.0160835
1.54739	-0.0162937
1.55737	-0.0165053
1.56735	-0.0167182
1.57734	-0.0169325
1.58732	-0.0171482
1.5973	-0.0173652
1.60728	-0.0175837
1.61726	-0.0178034
1.62725	-0.0180246
1.63723	-0.0182471
1.64721	-0.018471
1.65719	-0.0186963
1.66717	-0.0189229
1.67716	-0.0191509
1.68714	-0.0193803
1.69712	-0.019611
1.7071	-0.0198431
1.71708	-0.0200766
1.72707	-0.0203114
1.73705	-0.0205476
1.74703	-0.0207852
1.75701	-0.0210242
1.76699	-0.0212645
1.77698	-0.0215062
1.78696	-0.0217493
1.79694	-0.0219937
1.80692	-0.0222395
1.8169	-0.0224867
1.82689	-0.0227353
1.83687	-0.0229852
1.84685	-0.0232365
1.85683	-0.0234891
1.86681	-0.0237432
1.8768	-0.0239986
1.88678	-0.0242554
1.89676	-0.0245135
1.90674	-0.0247731
1.91672	-0.025034
1.92671	-0.0252963
1.93669	-0.0255599
1.94667	-0.0258249
1.95665	-0.0260913
1.96663	-0.0263591
1.97662	-0.0266282
1.9866	-0.0268988
1.99658	-0.0271706
2.00656	-0.0274439
2.01654	-0.0277186
2.02653	-0.0279946
2.03651	-0.028272
2.04649	-0.0285507
2.05647	-0.0288309
2.06645	-0.0291124
2.07644	-0.0293953
2.08642	-0.0296796
2.0964	-0.0299652
2.10638	-0.0302522
2.11636	-0.0305406
2.12635	-0.0308304
