Freq_GHz	Norm_dB_meas	Norm_dB_model_vE
0.33	0	1.92865e-15
0.83	-0.0759701	-0.00465833
1.5	-0.1	-0.0172152
2	-0.35	-0.0313238
2.5	-0.879403	-0.0495133
2.92	-0.69	-0.0679728
3.58	-0.377463	-0.102914
4.08	-0.6066	-0.134276
4.42	-0.3568	-0.158043
4.92	-0.79	-0.196634
5.42	-0.529851	-0.239618
6.08	-1.3312	-0.303208
6.42	-1.15213	-0.339063
7	-0.94	-0.405177
7.5	-1.1	-0.467265
8	-0.787463	-0.53416
8.33	-0.922537	-0.580985
8.83	-1.0834	-0.656046
9.33	-1.7468	-0.736136
9.83	-1.28522	-0.821337
10.33	-1.95788	-0.911725
10.83	-1.37	-1.00737
11.17	-1.0096	-1.07545
11.67	-1.0996	-1.18008
12	-1.6398	-1.25211
12.67	-1.78	-1.40566
13.33	-1.77639	-1.56658
13.67	-2.76455	-1.65324
14.17	-2.12955	-1.78534
14.67	-1.8996	-1.923
15.33	-1.7668	-2.1132
15.67	-2.343	-2.21494
16.5	-3.44	-2.47395
17	-2.5	-2.63721
17.5	-3.13254	-2.80583
18	-2.795	-2.97973
18.5	-2.61	-3.15883
19	-2.355	-3.34303
19.67	-2.29	-3.59769
20.17	-3.65727	-3.79341
20.67	-4.3932	-3.99386
21.17	-3.5372	-4.1989
21.67	-3.85	-4.40839
22.17	-3.4432	-4.6222
22.67	-3.49746	-4.84017
23.17	-3.26	-5.06215
23.67	-4.45	-5.288
24.33	-4.8904	-5.59177
24.67	-4.98	-5.75067
25.17	-5.17	-5.98718
25.67	-4.494	-6.22695
26	-5.404	-6.3869
26.5	-4.537	-6.63173
27.08	-5.92	-6.9193
27.75	-6.16	-7.25598
28.25	-6.81	-7.51018
28.58	-6.45	-7.67926
29.08	-6.21	-7.93731
29.58	-6.02	-8.19753
30.08	-5.62	-8.45977
