Freq_GHz	Norm_dB_meas	Norm_dB_model_vE
0.5	0	0
1	-0.132985	-0.00195607
1.67	-0.2422	-0.00662533
2.17	-0.220597	-0.0116425
2.67	-0.22	-0.0179746
3.25	-0.282537	-0.0269753
3.75	-0.33	-0.0361697
4.08	-0.3466	-0.0429704
4.75	-0.45	-0.0585829
5.25	-0.374925	-0.0718231
5.75	-0.48	-0.0864359
6.08	-0.4112	-0.0968392
6.83	-0.4068	-0.122754
7.33	-0.4468	-0.141806
7.67	-0.424848	-0.155585
8.17	-0.504925	-0.177073
8.67	-0.5166	-0.200041
9.17	-0.6132	-0.224513
9.5	-0.49	-0.241501
10.17	-0.54	-0.278077
10.67	-0.472121	-0.307227
11.17	-0.4996	-0.337999
11.5	-0.4798	-0.359214
12.17	-0.7196	-0.404548
12.67	-0.76	-0.440401
13.17	-0.691807	-0.478028
13.67	-0.704545	-0.517473
14.17	-0.639552	-0.558781
14.67	-0.4596	-0.602002
15.17	-0.4932	-0.647186
15.67	-0.773	-0.694387
16.33	-1.0302	-0.759876
16.83	-0.7298	-0.811976
17.17	-0.947463	-0.848663
17.83	-0.707576	-0.922873
18.33	-0.58	-0.9818
18.83	-0.547879	-1.04313
19.5	-0.655	-1.12922
20	-1.295	-1.19646
20.5	-0.8366	-1.26635
21	-1.2736	-1.33895
21.33	-0.8	-1.3884
22	-0.82	-1.49262
22.33	-0.5468	-1.54589
23	-0.732537	-1.65807
23.5	-1.2502	-1.7454
24	-1.4136	-1.8359
24.5	-1.3602	-1.92965
25	-1.41	-2.02671
25.5	-1.107	-2.12716
26	-1.514	-2.23106
26.5	-1.107	-2.33848
27.25	-1.887	-2.50634
27.58	-2.04	-2.58281
28.08	-2.34485	-2.70174
28.75	-1.8564	-2.86699
29.25	-1.6962	-2.99477
29.75	-1.686	-3.12639
30.25	-2.8536	-3.26189
31.08	-2.83	-3.49545
31.67	-3.28627	-3.66806
32.17	-2.9212	-3.81864
32.67	-3.3108	-3.97317
33.17	-2.3372	-4.13164
33.83	-2.6	-4.34684
34.67	-4.3456	-4.63056
35	-4.4196	-4.74501
35.67	-5.3844	-4.98251
36.17	-3.84358	-5.16418
36.67	-3.84402	-5.34959
