Freq_GHz	Norm_dB_model_vE
0.1	-3.70668e-05
0.109982	-5.38923e-05
0.119964	-7.23174e-05
0.129946	-9.23423e-05
0.139928	-0.000113967
0.14991	-0.000137191
0.159892	-0.000162016
0.169874	-0.00018844
0.179856	-0.000216464
0.189838	-0.000246087
0.19982	-0.000277311
0.209802	-0.000310135
0.219784	-0.000344558
0.229766	-0.000380582
0.239748	-0.000418205
0.24973	-0.000457429
0.259712	-0.000498252
0.269694	-0.000540676
0.279676	-0.0005847
0.289658	-0.000630324
0.29964	-0.000677548
0.309622	-0.000726373
0.319604	-0.000776797
0.329586	-0.000828822
0.339568	-0.000882448
0.34955	-0.000937674
0.359532	-0.0009945
0.369514	-0.00105293
0.379496	-0.00111295
0.389478	-0.00117458
0.39946	-0.00123781
0.409442	-0.00130264
0.419424	-0.00136907
0.429406	-0.0014371
0.439388	-0.00150673
0.44937	-0.00157797
0.459352	-0.0016508
0.469334	-0.00172524
0.479316	-0.00180127
0.489298	-0.00187891
0.49928	-0.00195815
0.509262	-0.00203899
0.519244	-0.00212143
0.529226	-0.00220547
0.539208	-0.00229112
0.54919	-0.00237836
0.559172	-0.00246721
0.569154	-0.00255766
0.579136	-0.00264971
0.589118	-0.00274336
0.5991	-0.00283862
0.609082	-0.00293547
0.619064	-0.00303393
0.629046	-0.003134
0.639028	-0.00323566
0.64901	-0.00333893
0.658992	-0.00344379
0.668974	-0.00355026
0.678956	-0.00365834
0.688938	-0.00376802
0.69892	-0.00387929
0.708902	-0.00399218
0.718884	-0.00410666
0.728866	-0.00422275
0.738848	-0.00434044
0.74883	-0.00445974
0.758812	-0.00458064
0.768794	-0.00470314
0.778776	-0.00482724
0.788758	-0.00495295
0.79874	-0.00508027
0.808722	-0.00520918
0.818704	-0.0053397
0.828686	-0.00547183
0.838668	-0.00560556
0.84865	-0.00574089
0.858632	-0.00587783
0.868614	-0.00601637
0.878596	-0.00615652
0.888578	-0.00629827
0.89856	-0.00644163
0.908542	-0.00658659
0.918524	-0.00673316
0.928506	-0.00688133
0.938488	-0.00703111
0.94847	-0.00718249
0.958452	-0.00733548
0.968434	-0.00749008
0.978416	-0.00764628
0.988398	-0.00780409
0.99838	-0.0079635
1.00836	-0.00812452
1.01834	-0.00828715
1.02833	-0.00845138
1.03831	-0.00861722
1.04829	-0.00878467
1.05827	-0.00895372
1.06825	-0.00912438
1.07824	-0.00929665
1.08822	-0.00947052
1.0982	-0.00964601
1.10818	-0.0098231
1.11816	-0.0100018
1.12815	-0.0101821
1.13813	-0.010364
1.14811	-0.0105475
1.15809	-0.0107327
1.16807	-0.0109194
1.17806	-0.0111078
1.18804	-0.0112977
1.19802	-0.0114893
1.208	-0.0116825
1.21798	-0.0118772
1.22797	-0.0120736
1.23795	-0.0122716
1.24793	-0.0124713
1.25791	-0.0126725
1.26789	-0.0128753
1.27788	-0.0130798
1.28786	-0.0132858
1.29784	-0.0134935
1.30782	-0.0137028
1.3178	-0.0139137
1.32779	-0.0141262
1.33777	-0.0143403
1.34775	-0.014556
1.35773	-0.0147733
1.36771	-0.0149923
1.3777	-0.0152128
1.38768	-0.015435
1.39766	-0.0156588
1.40764	-0.0158842
1.41762	-0.0161112
1.42761	-0.0163398
1.43759	-0.0165701
1.44757	-0.0168019
1.45755	-0.0170354
1.46753	-0.0172704
1.47752	-0.0175071
1.4875	-0.0177454
1.49748	-0.0179854
1.50746	-0.0182269
1.51744	-0.01847
1.52743	-0.0187148
1.53741	-0.0189612
1.54739	-0.0192092
1.55737	-0.0194588
1.56735	-0.01971
1.57734	-0.0199629
1.58732	-0.0202173
1.5973	-0.0204734
1.60728	-0.0207311
1.61726	-0.0209904
1.62725	-0.0212513
1.63723	-0.0215139
1.64721	-0.021778
1.65719	-0.0220438
1.66717	-0.0223112
1.67716	-0.0225802
1.68714	-0.0228508
1.69712	-0.0231231
1.7071	-0.023397
1.71708	-0.0236725
1.72707	-0.0239496
1.73705	-0.0242283
1.74703	-0.0245086
1.75701	-0.0247906
1.76699	-0.0250742
1.77698	-0.0253594
1.78696	-0.0256462
1.79694	-0.0259347
1.80692	-0.0262248
1.8169	-0.0265164
1.82689	-0.0268098
1.83687	-0.0271047
1.84685	-0.0274013
1.85683	-0.0276994
1.86681	-0.0279992
1.8768	-0.0283007
1.88678	-0.0286037
1.89676	-0.0289084
1.90674	-0.0292147
1.91672	-0.0295226
1.92671	-0.0298321
1.93669	-0.0301433
1.94667	-0.0304561
1.95665	-0.0307705
1.96663	-0.0310866
1.97662	-0.0314042
1.9866	-0.0317235
1.99658	-0.0320444
2.00656	-0.032367
2.01654	-0.0326912
2.02653	-0.033017
2.03651	-0.0333444
2.04649	-0.0336734
2.05647	-0.0340041
2.06645	-0.0343364
2.07644	-0.0346704
2.08642	-0.0350059
2.0964	-0.0353431
2.10638	-0.0356819
2.11636	-0.0360224
2.12635	-0.0363645
2.13633	-0.0367082
2.14631	-0.0370535
2.15629	-0.0374005
2.16627	-0.0377491
2.17626	-0.0380993
2.18624	-0.0384512
2.19622	-0.0388047
2.2062	-0.0391598
2.21618	-0.0395166
2.22617	-0.0398749
2.23615	-0.040235
2.24613	-0.0405966
2.25611	-0.0409599
2.26609	-0.0413248
2.27608	-0.0416914
2.28606	-0.0420596
2.29604	-0.0424294
2.30602	-0.0428008
2.316	-0.0431739
2.32599	-0.0435487
2.33597	-0.043925
2.34595	-0.044303
2.35593	-0.0446827
2.36591	-0.0450639
2.3759	-0.0454468
2.38588	-0.0458314
2.39586	-0.0462176
2.40584	-0.0466054
2.41582	-0.0469948
2.42581	-0.0473859
2.43579	-0.0477787
2.44577	-0.048173
2.45575	-0.0485691
2.46573	-0.0489667
2.47572	-0.049366
2.4857	-0.0497669
2.49568	-0.0501695
2.50566	-0.0505737
2.51564	-0.0509796
2.52563	-0.0513871
2.53561	-0.0517962
2.54559	-0.052207
2.55557	-0.0526194
2.56555	-0.0530335
2.57554	-0.0534492
2.58552	-0.0538665
2.5955	-0.0542855
2.60548	-0.0547061
2.61546	-0.0551284
2.62545	-0.0555524
2.63543	-0.0559779
2.64541	-0.0564051
2.65539	-0.056834
2.66537	-0.0572645
2.67536	-0.0576967
2.68534	-0.0581305
2.69532	-0.0585659
2.7053	-0.059003
2.71528	-0.0594418
2.72527	-0.0598821
2.73525	-0.0603242
2.74523	-0.0607679
2.75521	-0.0612132
2.76519	-0.0616602
2.77518	-0.0621088
2.78516	-0.0625591
2.79514	-0.0630111
2.80512	-0.0634647
