Freq_GHz	Norm_dB_model_vE
0.1	-3.70668e-05
0.109982	-5.1403e-05
0.119964	-6.71023e-05
0.129946	-8.41646e-05
0.139928	-0.00010259
0.14991	-0.000122378
0.159892	-0.00014353
0.169874	-0.000166045
0.179856	-0.000189922
0.189838	-0.000215163
0.19982	-0.000241767
0.209802	-0.000269735
0.219784	-0.000299065
0.229766	-0.000329759
0.239748	-0.000361815
0.24973	-0.000395236
0.259712	-0.000430019
0.269694	-0.000466166
0.279676	-0.000503676
0.289658	-0.000542549
0.29964	-0.000582786
0.309622	-0.000624386
0.319604	-0.000667349
0.329586	-0.000711676
0.339568	-0.000757366
0.34955	-0.00080442
0.359532	-0.000852838
0.369514	-0.000902619
0.379496	-0.000953764
0.389478	-0.00100627
0.39946	-0.00106014
0.409442	-0.00111538
0.419424	-0.00117198
0.429406	-0.00122994
0.439388	-0.00128927
0.44937	-0.00134996
0.459352	-0.00141201
0.469334	-0.00147543
0.479316	-0.00154022
0.489298	-0.00160636
0.49928	-0.00167387
0.509262	-0.00174275
0.519244	-0.00181299
0.529226	-0.00188459
0.539208	-0.00195756
0.54919	-0.00203189
0.559172	-0.00210758
0.569154	-0.00218464
0.579136	-0.00226307
0.589118	-0.00234286
0.5991	-0.00242401
0.609082	-0.00250653
0.619064	-0.00259041
0.629046	-0.00267566
0.639028	-0.00276227
0.64901	-0.00285025
0.658992	-0.00293959
0.668974	-0.0030303
0.678956	-0.00312237
0.688938	-0.00321581
0.69892	-0.00331061
0.708902	-0.00340678
0.718884	-0.00350431
0.728866	-0.00360321
0.738848	-0.00370347
0.74883	-0.0038051
0.758812	-0.00390809
0.768794	-0.00401245
0.778776	-0.00411818
0.788758	-0.00422527
0.79874	-0.00433373
0.808722	-0.00444355
0.818704	-0.00455474
0.828686	-0.00466729
0.838668	-0.00478121
0.84865	-0.0048965
0.858632	-0.00501315
0.868614	-0.00513117
0.878596	-0.00525055
0.888578	-0.0053713
0.89856	-0.00549342
