Freq_GHz	Norm_dB
0.33	0
0.83	-0.13
1.33	-0.2
2	-0.26
2.5	-0.66
3.08	-0.65
3.58	-0.42
4.08	-0.59
4.58	-0.49
5.08	-1.08
5.58	-0.86
6.25	-0.96
6.83	-1.01
7.5	-1.17
7.83	-0.97
8.33	-1.19
8.83	-1.26
9.33	-1.78
10	-1.78
10.5	-1.4
11	-1.34
11.5	-1.47
12	-2.1
12.67	-1.99
13.33	-2.3
13.83	-2.56
14.33	-2.55
14.83	-2.04
15.33	-2.03
15.83	-2.75
16.33	-3.12
16.83	-2.89
17.5	-3.39
18	-3.18
18.33	-2.97
19	-2.87
19.5	-3.08
19.83	-4.3
20.5	-3.98
16.33	-2.54
16.67	-3.48
17.17	-3.41
17.67	-3.32
18.17	-2.88
18.67	-2.95
19	-3
19.67	-3.34
20.17	-4.14
20.67	-4.63
21.33	-3.82
21.83	-4.13
22.33	-3.49
22.67	-4.3
23.33	-4.42
23.83	-5.09
24.33	-5.33
24.83	-5.45
25.33	-5.4
25.83	30.93
26.33	-5.42
