Freq_GHz	Meas_CalRF_dBm
0.5	-2.26
1	-2.43
1.5	-2.3
2	-2.42
2.5	-3.02
3.08	-2.9
3.58	-2.5
4.08	-2.76
4.75	-2.57
5.25	-3.25
5.75	-3.32
6.25	-3.12
6.83	-3.19
7.33	-3.44
7.83	-3.03
8.33	-3.12
8.83	-3.54
9.33	-4.45
9.83	-3.79
10.33	-4.56
10.83	-4.26
11.17	-4.1
11.83	-3.65
12.33	-4.84
12.83	-5
13.25	-4.97
13.83	-5.07
14.33	-5.24
14.83	-4.4
15.5	-4.17
16	-4.33
16.5	-6.61
17.17	-6.1
17.5	-6.4
18	-5.96
18.5	-5.62
19	-5.13
19.67	-5.1
20.17	-6.23
20.67	-5.94
21.17	-5.56
21.67	-5.86
22.17	-5.98
22.67	-6.05
23.17	-6.15
23.67	-7.37
24.17	-7.79
24.67	-7.88
25.17	-8.04
25.67	-7.44
26	-8.51
26.67	-8.66
27.25	-8.85
27.75	-9.35
28.25	-9.7
28.92	-9.11
29.25	-9.06
29.75	-9.04
30.42	-11.09
30.92	-11.06
