Freq_GHz	Meas_CalRF_dBm
0.33	-7.62
0.83	-7.74
1.5	-7.72
2	-7.7
2.33	-7.93
2.83	-7.95
3.42	-7.94
3.75	-7.95
4.42	-7.98
4.92	-8.1
5.42	-8
5.75	-8.17
6.5	-8.07
6.83	-8.05
7.33	-8.08
7.83	-8.06
8.5	-8.22
9	-8.47
9.33	-8.71
9.83	-8.43
10.33	-8.52
10.83	-8.66
11.33	-8.74
11.83	-8.78
12.33	-8.93
12.83	-8.98
13.5	-9
13.83	-8.53
14.5	-8.78
15	-8.4
15.67	-8.54
16	-8.48
16.5	-9.5
17	-9.41
17.67	-9.31
18	-9.03
18.5	-8.78
19.17	-8.41
19.67	-8.59
20.17	-8.4
20.67	-8.76
21.17	28.13
21.67	-8.2
22.33	-8.14
23	-8.61
23.5	-9.3
24	-9.56
24.5	-9.59
24.83	-9.73
25.33	-9.51
25.83	-9.73
26.5	-9.52
27.08	-10.46
27.58	-10.48
28.08	-10.87
28.58	-10.53
29.08	-10.29
29.58	-10.12
30.25	-10.75
30.75	-10.83
