Freq_GHz	Model_dBm
0.1	-2.04131
0.10998	-2.0413331
0.11995999	-2.0413583
0.12993999	-2.0413858
0.13991998	-2.0414155
0.14989998	-2.0414473
0.15987997	-2.0414814
0.16985997	-2.0415176
0.17983996	-2.0415561
0.18981996	-2.0415967
0.19979996	-2.0416396
0.20977995	-2.0416846
0.21975995	-2.0417318
0.22973994	-2.0417812
0.23971994	-2.0418328
0.24969993	-2.0418866
0.25967993	-2.0419426
0.26965992	-2.0420008
0.27963992	-2.0420612
0.28961992	-2.0421238
0.29959991	-2.0421886
0.30957991	-2.0422555
0.3195599	-2.0423247
0.3295399	-2.042396
0.33951989	-2.0424696
0.34949989	-2.0425453
0.35947988	-2.0426233
0.36945988	-2.0427034
0.37943988	-2.0427857
0.38941987	-2.0428703
0.39939987	-2.042957
0.40937986	-2.0430459
0.41935986	-2.043137
0.42933985	-2.0432303
0.43931985	-2.0433258
0.44929984	-2.0434235
0.45927984	-2.0435234
0.46925984	-2.0436255
0.47923983	-2.0437297
0.48921983	-2.0438362
0.49919982	-2.0439449
0.50917982	-2.0440557
0.51915981	-2.0441688
0.52913981	-2.044284
0.5391198	-2.0444014
0.5490998	-2.0445211
0.5590798	-2.0446429
0.56905979	-2.0447669
0.57903979	-2.0448931
0.58901978	-2.0450215
0.59899978	-2.0451522
0.60897977	-2.045285
0.61895977	-2.0454199
0.62893976	-2.0455571
0.63891976	-2.0456965
0.64889976	-2.0458381
0.65887975	-2.0459819
0.66885975	-2.0461278
0.67883974	-2.046276
0.68881974	-2.0464263
0.69879973	-2.0465789
0.70877973	-2.0467336
0.71875972	-2.0468906
0.72873972	-2.0470497
0.73871972	-2.047211
0.74869971	-2.0473746
0.75867971	-2.0475403
0.7686597	-2.0477082
0.7786397	-2.0478783
0.78861969	-2.0480506
0.79859969	-2.0482251
0.80857968	-2.0484018
0.81855968	-2.0485807
0.82853968	-2.0487617
0.83851967	-2.048945
0.84849967	-2.0491305
0.85847966	-2.0493181
0.86845966	-2.049508
0.87843965	-2.0497
