Freq_GHz	Model_dBohm
0.1	32.041111
0.10998	32.041093
0.11995999	32.041072
0.12993999	32.04105
0.13991998	32.041026
0.14989998	32.041001
0.15987997	32.040973
0.16985997	32.040944
0.17983996	32.040913
0.18981996	32.04088
0.19979996	32.040846
0.20977995	32.04081
0.21975995	32.040772
0.22973994	32.040732
0.23971994	32.04069
0.24969993	32.040647
0.25967993	32.040602
0.26965992	32.040555
0.27963992	32.040507
0.28961992	32.040456
0.29959991	32.040404
0.30957991	32.04035
0.3195599	32.040295
0.3295399	32.040237
0.33951989	32.040178
0.34949989	32.040117
0.35947988	32.040054
0.36945988	32.03999
0.37943988	32.039923
0.38941987	32.039855
0.39939987	32.039786
0.40937986	32.039714
0.41935986	32.039641
0.42933985	32.039566
0.43931985	32.039489
0.44929984	32.03941
0.45927984	32.03933
0.46925984	32.039248
0.47923983	32.039164
0.48921983	32.039078
0.49919982	32.038991
0.50917982	32.038901
0.51915981	32.03881
0.52913981	32.038718
0.5391198	32.038623
0.5490998	32.038527
0.5590798	32.038429
0.56905979	32.038329
0.57903979	32.038227
0.58901978	32.038124
0.59899978	32.038019
0.60897977	32.037912
0.61895977	32.037803
0.62893976	32.037693
0.63891976	32.037581
0.64889976	32.037467
0.65887975	32.037351
0.66885975	32.037233
0.67883974	32.037114
0.68881974	32.036993
0.69879973	32.03687
0.70877973	32.036746
0.71875972	32.036619
0.72873972	32.036491
0.73871972	32.036362
0.74869971	32.03623
0.75867971	32.036096
0.7686597	32.035961
0.7786397	32.035824
0.78861969	32.035686
0.79859969	32.035545
0.80857968	32.035403
0.81855968	32.035259
0.82853968	32.035113
0.83851967	32.034966
0.84849967	32.034816
0.85847966	32.034665
0.86845966	32.034512
0.87843965	32.034358
0.88841965	32.034201
0.89839964	32.034043
0.90837964	32.033883
0.91835964	32.033722
0.92833963	32.033558
0.93831963	32.033393
0.94829962	32.033226
0.95827962	32.033057
0.96825961	32.032887
0.97823961	32.032714
0.9882196	32.03254
0.9981996	32.032364
1.0081796	32.032187
1.0181596	32.032008
1.0281396	32.031826
1.0381196	32.031643
1.0480996	32.031459
1.0580796	32.031272
1.0680596	32.031084
1.0780396	32.030894
1.0880196	32.030702
1.0979996	32.030509
1.1079796	32.030314
1.1179595	32.030116
1.1279395	32.029918
1.1379195	32.029717
1.1478995	32.029515
1.1578795	32.029311
1.1678595	32.029105
1.1778395	32.028897
1.1878195	32.028687
1.1977995	32.028476
1.2077795	32.028263
1.2177595	32.028049
1.2277395	32.027832
1.2377195	32.027614
1.2476995	32.027394
1.2576795	32.027172
1.2676595	32.026948
1.2776395	32.026723
1.2876195	32.026496
1.2975995	32.026267
1.3075795	32.026036
1.3175595	32.025804
1.3275395	32.025569
1.3375194	32.025333
1.3474994	32.025095
1.3574794	32.024856
1.3674594	32.024615
1.3774394	32.024372
1.3874194	32.024127
1.3973994	32.02388
1.4073794	32.023632
1.4173594	32.023381
1.4273394	32.023129
1.4373194	32.022876
1.4472994	32.02262
1.4572794	32.022363
1.4672594	32.022104
1.4772394	32.021843
1.4872194	32.021581
1.4971994	32.021316
1.5071794	32.02105
1.5171594	32.020782
1.5271394	32.020513
1.5371194	32.020241
1.5470994	32.019968
1.5570794	32.019693
1.5670593	32.019416
1.5770393	32.019138
1.5870193	32.018857
1.5969993	32.018575
1.6069793	32.018291
1.6169593	32.018006
1.6269393	32.017718
1.6369193	32.017429
1.6468993	32.017138
1.6568793	32.016845
1.6668593	32.016551
1.6768393	32.016255
1.6868193	32.015957
1.6967993	32.015657
1.7067793	32.015355
1.7167593	32.015052
1.7267393	32.014747
1.7367193	32.01444
1.7466993	32.014131
1.7566793	32.013821
1.7666593	32.013508
1.7766393	32.013194
1.7866192	32.012879
1.7965992	32.012561
1.8065792	32.012242
1.8165592	32.011921
1.8265392	32.011598
1.8365192	32.011273
1.8464992	32.010947
1.8564792	32.010618
1.8664592	32.010288
1.8764392	32.009957
1.8864192	32.009623
1.8963992	32.009288
1.9063792	32.008951
1.9163592	32.008612
1.9263392	32.008271
1.9363192	32.007929
1.9462992	32.007584
1.9562792	32.007238
1.9662592	32.006891
1.9762392	32.006541
1.9862192	32.00619
1.9961992	32.005837
2.0061792	32.005482
2.0161591	32.005125
2.0261391	32.004767
2.0361191	32.004407
2.0460991	32.004045
2.0560791	32.003681
2.0660591	32.003315
2.0760391	32.002948
2.0860191	32.002579
2.0959991	32.002208
2.1059791	32.001836
2.1159591	32.001461
2.1259391	32.001085
2.1359191	32.000707
2.1458991	32.000327
2.1558791	31.999946
2.1658591	31.999562
2.1758391	31.999177
2.1858191	31.99879
2.1957991	31.998402
2.2057791	31.998011
2.2157591	31.997619
2.2257391	31.997225
2.235719	31.996829
2.245699	31.996432
2.255679	31.996032
2.265659	31.995631
2.275639	31.995228
2.285619	31.994824
2.295599	31.994417
2.305579	31.994009
2.315559	31.993599
2.325539	31.993187
2.335519	31.992774
2.345499	31.992358
2.355479	31.991941
2.365459	31.991522
2.375439	31.991101
2.385419	31.990679
2.395399	31.990255
2.405379	31.989829
2.415359	31.989401
2.425339	31.988971
2.435319	31.98854
2.445299	31.988107
2.455279	31.987672
2.4652589	31.987235
2.4752389	31.986796
2.4852189	31.986356
2.4951989	31.985914
2.5051789	31.98547
2.5151589	31.985024
2.5251389	31.984577
2.5351189	31.984128
2.5450989	31.983677
2.5550789	31.983224
2.5650589	31.982769
2.5750389	31.982313
2.5850189	31.981855
2.5949989	31.981395
2.6049789	31.980933
2.6149589	31.98047
2.6249389	31.980004
2.6349189	31.979537
2.6448989	31.979068
2.6548789	31.978598
2.6648589	31.978125
2.6748389	31.977651
2.6848188	31.977175
2.6947988	31.976697
2.7047788	31.976218
2.7147588	31.975736
2.7247388	31.975253
2.7347188	31.974768
2.7446988	31.974282
2.7546788	31.973793
2.7646588	31.973303
2.7746388	31.972811
2.7846188	31.972317
2.7945988	31.971821
2.8045788	31.971324
2.8145588	31.970825
2.8245388	31.970324
2.8345188	31.969821
2.8444988	31.969316
2.8544788	31.96881
2.8644588	31.968302
2.8744388	31.967792
2.8844188	31.96728
2.8943988	31.966766
2.9043788	31.966251
2.9143587	31.965734
2.9243387	31.965215
2.9343187	31.964694
2.9442987	31.964172
2.9542787	31.963648
2.9642587	31.963121
2.9742387	31.962594
2.9842187	31.962064
2.9941987	31.961533
3.0041787	31.960999
3.0141587	31.960464
3.0241387	31.959927
3.0341187	31.959389
3.0440987	31.958848
3.0540787	31.958306
3.0640587	31.957762
3.0740387	31.957217
3.0840187	31.956669
3.0939987	31.95612
3.1039787	31.955568
3.1139587	31.955016
3.1239387	31.954461
3.1339186	31.953904
3.1438986	31.953346
3.1538786	31.952786
3.1638586	31.952224
3.1738386	31.95166
3.1838186	31.951095
3.1937986	31.950527
3.2037786	31.949958
3.2137586	31.949388
3.2237386	31.948815
3.2337186	31.94824
3.2436986	31.947664
3.2536786	31.947086
3.2636586	31.946506
3.2736386	31.945925
3.2836186	31.945341
3.2935986	31.944756
3.3035786	31.944169
3.3135586	31.94358
3.3235386	31.94299
3.3335186	31.942397
3.3434986	31.941803
3.3534786	31.941207
3.3634585	31.940609
3.3734385	31.94001
3.3834185	31.939408
3.3933985	31.938805
3.4033785	31.9382
3.4133585	31.937593
3.4233385	31.936985
3.4333185	31.936374
3.4432985	31.935762
3.4532785	31.935148
3.4632585	31.934532
3.4732385	31.933915
3.4832185	31.933295
3.4931985	31.932674
3.5031785	31.932051
3.5131585	31.931426
3.5231385	31.9308
3.5331185	31.930171
3.5430985	31.929541
3.5530785	31.928909
3.5630585	31.928276
3.5730385	31.92764
3.5830184	31.927003
3.5929984	31.926363
3.6029784	31.925722
3.6129584	31.92508
3.6229384	31.924435
3.6329184	31.923789
3.6428984	31.923141
3.6528784	31.922491
3.6628584	31.921839
3.6728384	31.921185
3.6828184	31.92053
3.6927984	31.919873
3.7027784	31.919214
3.7127584	31.918553
3.7227384	31.91789
3.7327184	31.917226
3.7426984	31.91656
3.7526784	31.915892
3.7626584	31.915222
3.7726384	31.91455
3.7826184	31.913877
3.7925984	31.913202
3.8025784	31.912525
3.8125583	31.911846
3.8225383	31.911165
3.8325183	31.910483
3.8424983	31.909799
3.8524783	31.909113
3.8624583	31.908425
3.8724383	31.907735
3.8824183	31.907044
3.8923983	31.90635
3.9023783	31.905655
3.9123583	31.904958
3.9223383	31.90426
3.9323183	31.903559
3.9422983	31.902857
3.9522783	31.902153
3.9622583	31.901447
3.9722383	31.900739
3.9822183	31.90003
3.9921983	31.899318
4.0021783	31.898605
4.0121583	31.89789
4.0221383	31.897173
4.0321182	31.896455
4.0420982	31.895735
4.0520782	31.895012
4.0620582	31.894288
4.0720382	31.893563
4.0820182	31.892835
4.0919982	31.892105
4.1019782	31.891374
4.1119582	31.890641
4.1219382	31.889906
4.1319182	31.88917
4.1418982	31.888431
4.1518782	31.887691
4.1618582	31.886949
4.1718382	31.886205
4.1818182	31.885459
4.1917982	31.884712
4.2017782	31.883962
4.2117582	31.883211
4.2217382	31.882458
4.2317182	31.881703
4.2416982	31.880947
4.2516782	31.880188
4.2616581	31.879428
4.2716381	31.878666
4.2816181	31.877902
4.2915981	31.877137
4.3015781	31.876369
4.3115581	31.8756
4.3215381	31.874829
4.3315181	31.874056
4.3414981	31.873281
4.3514781	31.872505
4.3614581	31.871726
4.3714381	31.870946
4.3814181	31.870164
4.3913981	31.86938
4.4013781	31.868595
4.4113581	31.867807
4.4213381	31.867018
4.4313181	31.866227
4.4412981	31.865434
4.4512781	31.864639
4.4612581	31.863843
4.4712381	31.863044
4.481218	31.862244
4.491198	31.861442
4.501178	31.860639
4.511158	31.859833
4.521138	31.859026
4.531118	31.858216
4.541098	31.857405
4.551078	31.856592
4.561058	31.855778
4.571038	31.854961
4.581018	31.854143
4.590998	31.853323
4.600978	31.852501
4.610958	31.851677
4.620938	31.850851
4.630918	31.850024
4.640898	31.849195
4.650878	31.848363
4.660858	31.847531
4.670838	31.846696
4.680818	31.845859
4.690798	31.845021
4.700778	31.844181
4.7107579	31.843339
4.7207379	31.842495
4.7307179	31.841649
4.7406979	31.840802
4.7506779	31.839953
4.7606579	31.839101
4.7706379	31.838248
4.7806179	31.837394
4.7905979	31.836537
4.8005779	31.835679
4.8105579	31.834818
4.8205379	31.833956
4.8305179	31.833092
4.8404979	31.832227
4.8504779	31.831359
4.8604579	31.83049
4.8704379	31.829619
4.8804179	31.828746
4.8903979	31.827871
4.9003779	31.826994
4.9103579	31.826116
4.9203379	31.825235
4.9303178	31.824353
4.9402978	31.823469
4.9502778	31.822583
4.9602578	31.821696
4.9702378	31.820806
4.9802178	31.819915
4.9901978	31.819022
5.0001778	31.818127
5.0101578	31.81723
5.0201378	31.816332
5.0301178	31.815431
5.0400978	31.814529
5.0500778	31.813625
5.0600578	31.812719
5.0700378	31.811811
5.0800178	31.810902
5.0899978	31.80999
5.0999778	31.809077
5.1099578	31.808162
5.1199378	31.807245
5.1299178	31.806327
5.1398978	31.805406
5.1498778	31.804484
5.1598577	31.803559
5.1698377	31.802633
5.1798177	31.801706
5.1897977	31.800776
5.1997777	31.799844
5.2097577	31.798911
5.2197377	31.797976
5.2297177	31.797039
5.2396977	31.7961
5.2496777	31.795159
5.2596577	31.794217
5.2696377	31.793272
5.2796177	31.792326
5.2895977	31.791378
5.2995777	31.790428
5.3095577	31.789477
5.3195377	31.788523
5.3295177	31.787568
5.3394977	31.78661
5.3494777	31.785651
5.3594577	31.784691
5.3694377	31.783728
5.3794176	31.782763
5.3893976	31.781797
5.3993776	31.780829
5.4093576	31.779859
5.4193376	31.778887
5.4293176	31.777913
5.4392976	31.776937
5.4492776	31.77596
5.4592576	31.774981
5.4692376	31.774
5.4792176	31.773017
5.4891976	31.772032
5.4991776	31.771045
5.5091576	31.770057
5.5191376	31.769067
5.5291176	31.768075
5.5390976	31.767081
5.5490776	31.766085
5.5590576	31.765087
5.5690376	31.764088
5.5790176	31.763087
5.5889976	31.762083
5.5989776	31.761078
5.6089575	31.760072
5.6189375	31.759063
5.6289175	31.758052
5.6388975	31.75704
5.6488775	31.756026
5.6588575	31.75501
5.6688375	31.753992
5.6788175	31.752972
5.6887975	31.751951
5.6987775	31.750927
5.7087575	31.749902
5.7187375	31.748875
5.7287175	31.747846
5.7386975	31.746815
5.7486775	31.745783
5.7586575	31.744748
5.7686375	31.743712
5.7786175	31.742674
5.7885975	31.741634
5.7985775	31.740592
5.8085575	31.739548
