Freq_GHz	Model_dBm
0.1	-9.335216
0.10998	-9.3352233
0.11995999	-9.3352313
0.12993999	-9.3352399
0.13991998	-9.3352493
0.14989998	-9.3352593
0.15987997	-9.33527
0.16985997	-9.3352815
0.17983996	-9.3352936
0.18981996	-9.3353064
0.19979996	-9.3353199
0.20977995	-9.3353341
0.21975995	-9.3353489
0.22973994	-9.3353645
0.23971994	-9.3353808
0.24969993	-9.3353977
0.25967993	-9.3354154
0.26965992	-9.3354337
0.27963992	-9.3354527
0.28961992	-9.3354724
0.29959991	-9.3354928
0.30957991	-9.3355139
0.3195599	-9.3355357
0.3295399	-9.3355582
0.33951989	-9.3355814
0.34949989	-9.3356052
0.35947988	-9.3356298
0.36945988	-9.3356551
0.37943988	-9.335681
0.38941987	-9.3357076
0.39939987	-9.3357349
0.40937986	-9.335763
0.41935986	-9.3357917
0.42933985	-9.3358211
0.43931985	-9.3358512
0.44929984	-9.3358819
0.45927984	-9.3359134
0.46925984	-9.3359456
0.47923983	-9.3359784
0.48921983	-9.336012
0.49919982	-9.3360462
0.50917982	-9.3360812
0.51915981	-9.3361168
0.52913981	-9.3361531
0.5391198	-9.3361901
0.5490998	-9.3362278
0.5590798	-9.3362662
0.56905979	-9.3363053
0.57903979	-9.3363451
0.58901978	-9.3363855
0.59899978	-9.3364267
0.60897977	-9.3364685
0.61895977	-9.3365111
0.62893976	-9.3365543
0.63891976	-9.3365982
0.64889976	-9.3366429
0.65887975	-9.3366882
0.66885975	-9.3367342
0.67883974	-9.3367809
0.68881974	-9.3368283
0.69879973	-9.3368763
0.70877973	-9.3369251
0.71875972	-9.3369746
0.72873972	-9.3370247
0.73871972	-9.3370756
0.74869971	-9.3371271
0.75867971	-9.3371794
0.7686597	-9.3372323
0.7786397	-9.3372859
0.78861969	-9.3373402
0.79859969	-9.3373952
0.80857968	-9.3374509
0.81855968	-9.3375073
0.82853968	-9.3375644
0.83851967	-9.3376222
0.84849967	-9.3376807
0.85847966	-9.3377398
0.86845966	-9.3377997
0.87843965	-9.3378602
0.88841965	-9.3379215
0.89839964	-9.3379834
