Freq_GHz	Norm_dB
0.1	-2.7378776e-05
0.109982	-5.1343227e-05
0.11996399	-7.7586112e-05
0.12994599	-0.00010610744
0.13992799	-0.00013690721
0.14990998	-0.00016998543
0.15989198	-0.00020534212
0.16987397	-0.00024297727
0.17985597	-0.00028289089
0.18983797	-0.000325083
0.19981996	-0.0003695536
0.20980196	-0.0004163027
0.21978396	-0.00046533032
0.22976595	-0.00051663645
0.23974795	-0.00057022111
0.24972995	-0.00062608432
0.25971194	-0.00068422608
0.26969394	-0.00074464641
0.27967594	-0.00080734532
0.28965793	-0.00087232281
0.29963993	-0.00093957892
0.30962192	-0.0010091136
0.31960392	-0.001080927
0.32958592	-0.001155019
0.33956791	-0.0012313897
0.34954991	-0.001310039
0.35953191	-0.0013909671
0.3695139	-0.0014741738
0.3794959	-0.0015596593
0.3894779	-0.0016474235
0.39945989	-0.0017374665
0.40944189	-0.0018297883
0.41942388	-0.0019243889
0.42940588	-0.0020212683
0.43938788	-0.0021204266
0.44936987	-0.0022218637
0.45935187	-0.0023255797
0.46933387	-0.0024315746
0.47931586	-0.0025398485
0.48929786	-0.0026504012
0.49927986	-0.002763233
0.50926185	-0.0028783438
0.51924385	-0.0029957335
0.52922585	-0.0031154024
0.53920784	-0.0032373503
0.54918984	-0.0033615772
0.55917183	-0.0034880833
0.56915383	-0.0036168686
0.57913583	-0.003747933
0.58911782	-0.0038812766
0.59909982	-0.0040168995
0.60908182	-0.0041548016
0.61906381	-0.004294983
0.62904581	-0.0044374437
0.63902781	-0.0045821837
0.6490098	-0.0047292031
0.6589918	-0.0048785019
0.66897379	-0.0050300802
0.67895579	-0.0051839379
0.68893779	-0.0053400751
0.69891978	-0.0054984918
0.70890178	-0.0056591881
0.71888378	-0.005822164
0.72886577	-0.0059874195
0.73884777	-0.0061549547
0.74882977	-0.0063247695
0.75881176	-0.0064968641
0.76879376	-0.0066712385
0.77877576	-0.0068478926
0.78875775	-0.0070268266
0.79873975	-0.0072080405
0.80872174	-0.0073915342
0.81870374	-0.0075773079
0.82868574	-0.0077653616
0.83866773	-0.0079556954
0.84864973	-0.0081483091
0.85863173	-0.008343203
0.86861372	-0.008540377
0.87859572	-0.0087398312
0.88857772	-0.0089415657
0.89855971	-0.0091455804
0.90854171	-0.0093518753
0.9185237	-0.0095604507
0.9285057	-0.0097713064
0.9384877	-0.0099844426
0.94846969	-0.010199859
0.95845169	-0.010417556
0.96843369	-0.010637534
0.97841568	-0.010859792
0.98839768	-0.011084331
0.99837968	-0.011311151
1.0083617	-0.011540251
1.0183437	-0.011771633
