Freq_GHz	Norm_dB
0.1	-3.252683e-05
0.109982	-4.2585881e-05
0.11996399	-5.360132e-05
0.12994599	-6.5573153e-05
0.13992799	-7.8501387e-05
0.14990998	-9.2386031e-05
0.15989198	-0.00010722709
0.16987397	-0.00012302458
0.17985597	-0.00013977851
0.18983797	-0.00015748888
0.19981996	-0.00017615572
0.20980196	-0.00019577902
0.21978396	-0.00021635881
0.22976595	-0.00023789509
0.23974795	-0.00026038788
0.24972995	-0.00028383719
0.25971194	-0.00030824304
0.26969394	-0.00033360544
0.27967594	-0.00035992441
0.28965793	-0.00038719997
0.29963993	-0.00041543213
0.30962192	-0.0004446209
0.31960392	-0.00047476631
0.32958592	-0.00050586838
0.33956791	-0.00053792713
0.34954991	-0.00057094257
0.35953191	-0.00060491472
0.3695139	-0.00063984361
0.3794959	-0.00067572926
0.3894779	-0.00071257169
0.39945989	-0.00075037093
0.40944189	-0.00078912699
0.41942388	-0.0008288399
0.42940588	-0.00086950969
0.43938788	-0.00091113638
0.44936987	-0.00095371999
0.45935187	-0.00099726056
0.46933387	-0.0010417581
0.47931586	-0.0010872127
0.48929786	-0.0011336243
0.49927986	-0.0011809929
0.50926185	-0.0012293187
0.51924385	-0.0012786016
0.52922585	-0.0013288416
0.53920784	-0.0013800388
0.54918984	-0.0014321933
0.55917183	-0.0014853049
0.56915383	-0.0015393739
0.57913583	-0.0015944002
0.58911782	-0.0016503839
0.59909982	-0.0017073249
0.60908182	-0.0017652233
0.61906381	-0.0018240792
0.62904581	-0.0018838926
0.63902781	-0.0019446636
0.6490098	-0.0020063921
0.6589918	-0.0020690782
0.66897379	-0.0021327219
0.67895579	-0.0021973234
0.68893779	-0.0022628826
0.69891978	-0.0023293995
0.70890178	-0.0023968742
0.71888378	-0.0024653068
0.72886577	-0.0025346973
0.73884777	-0.0026050457
0.74882977	-0.0026763521
0.75881176	-0.0027486165
0.76879376	-0.002821839
0.77877576	-0.0028960196
0.78875775	-0.0029711584
0.79873975	-0.0030472554
0.80872174	-0.0031243106
0.81870374	-0.0032023241
0.82868574	-0.003281296
0.83866773	-0.0033612262
0.84864973	-0.003442115
0.85863173	-0.0035239622
0.86861372	-0.003606768
0.87859572	-0.0036905323
0.88857772	-0.0037752553
0.89855971	-0.0038609371
0.90854171	-0.0039475775
0.9185237	-0.0040351768
0.9285057	-0.004123735
0.9384877	-0.0042132521
0.94846969	-0.0043037281
0.95845169	-0.0043951632
0.96843369	-0.0044875574
0.97841568	-0.0045809107
0.98839768	-0.0046752233
0.99837968	-0.0047704951
1.0083617	-0.0048667262
1.0183437	-0.0049639167
1.0283257	-0.0050620666
1.0383077	-0.0051611761
1.0482897	-0.0052612451
1.0582717	-0.0053622737
1.0682537	-0.005464262
1.0782356	-0.0055672101
