Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-0.010879453	0.068469435	-9.0488986e-07	-0.0786708
0.20995	0.0074865823	-1.6182396	-0.00039883781	-1.6516893
0.4099	0.005495911	-3.1719229	-0.0015199615	-3.2246853
0.60985	0.0014757855	-4.7079492	-0.0033633983	-4.7976372
0.8098	0.0040840711	-6.2682357	-0.0059277049	-6.3705234
1.00975	-0.0054508471	-7.817873	-0.0092108727	-7.943322
1.2097	-0.014293064	-9.3517179	-0.013210329	-9.5160109
1.40965	-0.012525071	-10.869796	-0.017922937	-11.088568
1.6096	-0.015284259	-12.426825	-0.023344999	-12.660969
1.80955	-0.021057578	-13.978365	-0.029472256	-14.233192
2.0095	-0.027811984	-15.50948	-0.036299891	-15.805213
2.20945	-0.03764531	-17.042866	-0.04382253	-17.377008
2.4094	-0.050666086	-18.550936	-0.052034246	-18.94855
2.60935	-0.048162516	-20.040316	-0.060928559	-20.519815
2.8093	-0.064858511	-21.548807	-0.070498443	-22.090775
3.00925	-0.064231031	-23.065767	-0.080736326	-23.661404
3.2092	-0.07084427	-24.58272	-0.091634094	-25.231672
3.40915	-0.071575649	-26.10446	-0.1031831	-26.801551
3.6091	-0.078684501	-27.658834	-0.11537416	-28.37101
3.80905	-0.094442755	-29.174307	-0.12819757	-29.940017
4.009	-0.1010098	-30.684557	-0.14164309	-31.50854
4.20895	-0.10367617	-32.201199	-0.15569998	-33.076546
4.4089	-0.11765281	-33.710426	-0.17035698	-34.643998
4.60885	-0.13061747	-35.249249	-0.18560235	-36.21086
4.8088	-0.13071918	-36.692062	-0.20142382	-37.777095
5.00875	-0.14294019	-38.232254	-0.21780865	-39.342663
5.2087	-0.14954974	-39.743984	-0.23474364	-40.907523
5.40865	-0.15897766	-41.281055	-0.25221509	-42.471633
5.6086	-0.17039394	-42.766853	-0.27020887	-44.03495
5.80855	-0.17683621	-44.268688	-0.28871037	-45.597426
6.0085	-0.19135956	-45.777229	-0.30770459	-47.159016
6.20845	-0.20666772	-47.241245	-0.32717605	-48.719669
6.4084	-0.22735535	-48.7981	-0.3471089	-50.279336
6.60835	-0.23455846	-50.21476	-0.36748687	-51.837963
6.8083	-0.25045401	-51.773663	-0.38829332	-53.395496
7.00825	-0.2603792	-53.233875	-0.40951123	-54.951879
7.2082	-0.26779196	-54.715378	-0.43112323	-56.507052
7.40815	-0.2877903	-56.243465	-0.4531116	-58.060956
7.6081	-0.29998124	-57.723133	-0.47545832	-59.613528
7.80805	-0.32194772	-59.187813	-0.49814505	-61.164704
8.008	-0.33321106	-60.643181	-0.52115318	-62.714417
8.20795	-0.34466696	-62.132504	-0.54446382	-64.262599
8.4079	-0.3545202	-63.58482	-0.56805784	-65.809179
8.60785	-0.3776786	-65.516403	-0.59191589	-67.354083
8.8078	-0.38917544	-66.622505	-0.61601841	-68.897238
9.00775	-0.4013446	-68.058334	-0.64034567	-70.438566
9.2077	-0.42278528	-69.49559	-0.66487776	-71.977988
9.40765	-0.4320994	-70.957367	-0.68959465	-73.515422
9.6076	-0.4517363	-72.44632	-0.7144762	-75.050785
9.80755	-0.48270309	-73.885406	-0.73950217	-76.583991
10.0075	-0.48431596	-75.378105	-0.76465226	-78.114954
10.20745	-0.5211066	-76.933426	-0.78990614	-79.643581
10.4074	-0.52797145	-78.376602	-0.81524347	-81.169783
10.60735	-0.55690354	-79.633316	-0.84064391	-82.693465
10.8073	-0.56493849	-81.077141	-0.86608716	-84.214531
11.00725	-0.57551712	-82.514458	-0.891553	-85.732882
11.2072	-0.59931457	-83.978584	-0.91702128	-87.248421
11.40715	-0.62298298	-85.374229	-0.942472	-88.761044
11.6071	-0.64057171	-86.897842	-0.96788527	-90.270648
11.80705	-0.6498099	-88.222099	-0.99324141	-91.777129
12.007	-0.67674446	-89.883987	-1.0185209	-93.280379
12.20695	-0.68277931	-91.222252	-1.0437045	-94.780289
12.4069	-0.70309508	-92.73764	-1.0687731	-96.276751
12.60685	-0.71957052	-93.93045	-1.093708	-97.769652
12.8068	-0.74671912	-95.498848	-1.1184908	-99.258879
13.00675	-0.75319713	-96.794174	-1.1431032	-100.74432
13.2067	-0.78532654	-98.244568	-1.1675277	-102.22586
13.40665	-0.7872225	-99.666969	-1.1917467	-103.70338
13.6066	-0.74410909	-97.173485	-1.2157432	-105.17676
