Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-4.3842621	0.41059342	-4.4369753	-0.076375682
0.20995	-4.3351035	-1.8116938	-4.4371147	-1.6035275
0.4099	-4.3430324	-3.6865528	-4.4375072	-3.1307886
0.60985	-4.3459768	-5.5118489	-4.4381519	-4.6582628
0.8098	-4.3382802	-7.3440447	-4.4390471	-6.1860535
1.00975	-4.347456	-9.1087179	-4.4401906	-7.7142634
1.2097	-4.3448286	-10.898556	-4.4415795	-9.2429943
1.40965	-4.3347507	-12.684372	-4.4432104	-10.772347
1.6096	-4.3384609	-14.538085	-4.4450792	-12.30242
1.80955	-4.3383026	-16.372952	-4.4471811	-13.833312
2.0095	-4.3393579	-18.157597	-4.4495108	-15.365118
2.20945	-4.3421931	-19.995113	-4.4520623	-16.897932
2.4094	-4.351613	-21.671944	-4.454829	-18.431846
2.60935	-4.3275661	-23.380749	-4.4578037	-19.966948
2.8093	-4.344893	-25.159655	-4.4609787	-21.503326
3.00925	-4.3227773	-26.870346	-4.4643455	-23.041061
3.2092	-4.3240457	-28.639914	-4.4678951	-24.580234
3.40915	-4.3017306	-30.359955	-4.471618	-26.120923
3.6091	-4.2978401	-32.261501	-4.4755039	-27.663198
3.80905	-4.3121185	-33.98711	-4.4795421	-29.207131
4.009	-4.2893929	-35.783566	-4.4837214	-30.752785
4.20895	-4.2937913	-37.459278	-4.4880297	-32.300222
4.4089	-4.2744379	-39.216	-4.4924547	-33.849497
4.60885	-4.2839227	-40.990799	-4.4969834	-35.400661
4.8088	-4.2548299	-42.632721	-4.5016023	-36.953761
5.00875	-4.2446647	-44.372883	-4.5062975	-38.508837
5.2087	-4.2365546	-46.006115	-4.5110543	-40.065925
5.40865	-4.2260118	-47.822205	-4.5158579	-41.625055
5.6086	-4.2185388	-49.523438	-4.5206927	-43.18625
5.80855	-4.1913371	-51.146732	-4.5255429	-44.749529
6.0085	-4.2083344	-52.90913	-4.5303922	-46.314902
6.20845	-4.1814408	-54.527348	-4.5352239	-47.882374
6.4084	-4.182672	-56.338753	-4.5400208	-49.451945
6.60835	-4.159915	-57.819279	-4.5447655	-51.023604
6.8083	-4.1631012	-59.674107	-4.5494403	-52.597337
7.00825	-4.1476283	-61.214149	-4.554027	-54.173121
7.2082	-4.129355	-62.904293	-4.5585074	-55.750925
