Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-0.010879453	0.068469435	-7.9284921e-07	-0.074710801	0.99874753	0.0011935209	0.99999906	-0.001303949
0.20995	0.0074865823	-1.6182396	-0.00034946129	-1.5685585	1.0004631	-0.028264205	0.99958507	-0.02737199
0.4099	0.005495911	-3.1719229	-0.0013318568	-3.0624351	0.99909997	-0.055367247	0.99841881	-0.053415938
0.60985	0.0014757855	-4.7079492	-0.0029474046	-4.5563677	0.99679536	-0.082090728	0.99650146	-0.079412875
0.8098	0.0040840711	-6.2682357	-0.0051951588	-6.0503835	0.99448913	-0.1092346	0.99383499	-0.10533994
1.00975	-0.0054508471	-7.817873	-0.0080738014	-7.5445092	0.99008393	-0.13593929	0.99042211	-0.13117435
1.2097	-0.014293064	-9.3517179	-0.011581642	-9.0387713	0.9850871	-0.16222737	0.98626631	-0.15689345
1.40965	-0.012525071	-10.869796	-0.015716618	-10.533195	0.98064315	-0.18830603	0.98137182	-0.18247469
1.6096	-0.015284259	-12.426825	-0.020476289	-12.027807	0.97485471	-0.21481423	0.97574363	-0.2078957
1.80955	-0.021057578	-13.978365	-0.02585784	-13.52263	0.96803731	-0.24097059	0.96938748	-0.23313432
2.0095	-0.027811984	-15.50948	-0.031858081	-15.017688	0.96050578	-0.26654298	0.96230984	-0.25816858
2.20945	-0.03764531	-17.042866	-0.038473439	-16.513004	0.95195097	-0.29181957	0.95451791	-0.28297675
2.4094	-0.050666086	-18.550936	-0.04569996	-18.008599	0.94252723	-0.31629719	0.94601962	-0.30753739
2.60935	-0.048162516	-20.040316	-0.05353331	-19.504495	0.93425696	-0.34078639	0.93682359	-0.33182934
2.8093	-0.064858511	-21.548807	-0.061968767	-21.000709	0.9231857	-0.36456125	0.92693918	-0.35583177
3.00925	-0.064231031	-23.065767	-0.071001224	-22.49726	0.91327715	-0.38890094	0.91637638	-0.37952418
3.2092	-0.07084427	-24.58272	-0.080625183	-23.994164	0.9019748	-0.4126273	0.90514592	-0.40288645
3.40915	-0.071575649	-26.10446	-0.090834756	-25.491435	0.89062386	-0.4363981	0.89325914	-0.42589886
3.6091	-0.078684501	-27.658834	-0.10162366	-26.989088	0.87773991	-0.46001959	0.88072806	-0.4485421
3.80905	-0.094442755	-29.174307	-0.11298522	-28.487133	0.86369842	-0.48219658	0.86756532	-0.4707973
4.009	-0.1010098	-30.684557	-0.12491236	-29.98558	0.8500468	-0.50441101	0.85378418	-0.49264606
4.20895	-0.10367617	-32.201199	-0.13739761	-31.484436	0.83614189	-0.52657109	0.83939848	-0.51407046
4.4089	-0.11765281	-33.710426	-0.1504331	-32.983708	0.82066143	-0.54752892	0.82442266	-0.5350531
4.60885	-0.13061747	-35.249249	-0.16401055	-34.483397	0.80446032	-0.56852053	0.80887172	-0.5555771
4.8088	-0.13071918	-36.692062	-0.17812127	-35.983507	0.78988114	-0.58858904	0.79276119	-0.57562613
5.00875	-0.14294019	-38.232254	-0.1927562	-37.484035	0.77268763	-0.60874985	0.77610713	-0.59518444
5.2087	-0.14954974	-39.743984	-0.20790585	-38.984979	0.75578356	-0.62844431	0.75892608	-0.61423686
5.40865	-0.15897766	-41.281055	-0.22356032	-40.486333	0.73785307	-0.64778761	0.74123507	-0.63276882
5.6086	-0.17039394	-42.766853	-0.23970933	-41.988087	0.71986163	-0.66582602	0.72305158	-0.6507664
5.80855	-0.17683621	-44.268688	-0.25634218	-43.490232	0.70164314	-0.68395666	0.70439351	-0.66821629
6.0085	-0.19135956	-45.777229	-0.27344776	-44.992753	0.68225241	-0.70101791	0.68527918	-0.68510585
6.20845	-0.20666772	-47.241245	-0.2910146	-46.495634	0.66294989	-0.71695534	0.66572726	-0.70142311
6.4084	-0.22735535	-48.7981	-0.30903078	-47.998857	0.6416961	-0.7329545	0.64575679	-0.71715679
6.60835	-0.23455846	-50.21476	-0.32748402	-49.502398	0.62286248	-0.74797449	0.62538712	-0.73229629
6.8083	-0.25045401	-51.773663	-0.34636166	-51.006232	0.60118238	-0.76324435	0.60463792	-0.74683173
7.00825	-0.2603792	-53.233875	-0.36565061	-52.510332	0.58087346	-0.77742742	0.58352909	-0.76075394
7.2082	-0.26779196	-54.715378	-0.38533744	-54.014667	0.56010129	-0.79150979	0.5620808	-0.77405447
7.40815	-0.2877903	-56.243465	-0.40540833	-55.519202	0.53755583	-0.80431055	0.54031343	-0.78672562
7.6081	-0.29998124	-57.723133	-0.4258491	-57.023899	0.51588294	-0.81677605	0.51824752	-0.79876042
7.80805	-0.32194772	-59.187813	-0.4466452	-58.528718	0.49358716	-0.82759988	0.49590378	-0.81015263
8.008	-0.33321106	-60.643181	-0.46778174	-60.033616	0.47179617	-0.83878077	0.47330303	-0.82089679
8.20795	-0.34466696	-62.132504	-0.48924346	-61.538544	0.44924342	-0.84963838	0.4504662	-0.83098815
8.4079	-0.3545202	-63.58482	-0.51101482	-63.043452	0.42708029	-0.85977563	0.42741427	-0.84042276
8.60785	-0.3776786	-65.516403	-0.53307991	-64.548286	0.39679857	-0.87135599	0.40416824	-0.84919736
8.8078	-0.38917544	-66.622505	-0.55542255	-66.052989	0.37940153	-0.87769089	0.38074914	-0.85730951
9.00775	-0.4013446	-68.058334	-0.57802623	-67.5575	0.3567896	-0.88568036	0.35717795	-0.86475745
9.2077	-0.42278528	-69.49559	-0.60087419	-69.061755	0.33363794	-0.89214586	0.3334756	-0.8715402
9.40765	-0.4320994	-70.957367	-0.62394939	-70.565685	0.3104376	-0.89940167	0.30966294	-0.87765751
9.6076	-0.4517363	-72.44632	-0.64723454	-72.06922	0.28631452	-0.90511588	0.2857607	-0.88310985
9.80755	-0.48270309	-73.885406	-0.67071213	-73.572286	0.26255527	-0.90877521	0.26178946	-0.88789842
10.0075	-0.48431596	-75.378105	-0.69436443	-75.074804	0.23874863	-0.91513633	0.23776963	-0.89202513
10.20745	-0.5211066	-76.933426	-0.7181735	-76.576692	0.21291815	-0.91738533	0.21372142	-0.89549258
10.4074	-0.52797145	-78.376602	-0.74212125	-78.077867	0.18959589	-0.92172802	0.18966481	-0.89830407
10.60735	-0.55690354	-79.633316	-0.76618941	-79.578238	0.16877181	-0.92258634	0.16561954	-0.90046357
10.8073	-0.56493849	-81.077141	-0.79035961	-81.077716	0.14533746	-0.92568923	0.14160506	-0.9019757
11.00725	-0.57551712	-82.514458	-0.81461333	-82.576204	0.12192383	-0.92791271	0.11764051	-0.90284574
11.2072	-0.59931457	-83.978584	-0.83893199	-84.073604	0.097906277	-0.92817855	0.093744703	-0.90307959
11.40715	-0.62298298	-85.374229	-0.86329695	-85.569815	0.075065511	-0.92775631	0.069936118	-0.90268375
11.6071	-0.64057171	-86.897842	-0.8876895	-87.064732	0.050269028	-0.92754406	0.046232844	-0.90166532
11.80705	-0.6498099	-88.222099	-0.91209095	-88.558247	0.028788879	-0.9274711	0.022652582	-0.90003198
12.007	-0.67674446	-89.883987	-0.9364826	-90.05025	0.0018730376	-0.92504293	-0.00078738249	-0.89779194
12.20695	-0.68277931	-91.222252	-0.96084581	-91.540625	-0.019718152	-0.92419201	-0.024070195	-0.89495395
12.4069	-0.70309508	-92.73764	-0.98516197	-93.029256	-0.04404876	-0.9211902	-0.047179454	-0.89152726
12.60685	-0.71957052	-93.93045	-1.0094126	-94.516024	-0.063095799	-0.91833007	-0.070099222	-0.88752162
12.8068	-0.74671912	-95.498848	-1.0335793	-96.000806	-0.087931852	-0.9133997	-0.092814046	-0.88294722
13.00675	-0.75319713	-96.794174	-1.0576438	-97.483477	-0.10847656	-0.9104992	-0.11530897	-0.87781469
13.2067	-0.78532654	-98.244568	-1.0815881	-98.963909	-0.13100238	-0.90411126	-0.13756954	-0.87213509
13.40665	-0.7872225	-99.666969	-1.1053943	-100.44197	-0.15337131	-0.90038424	-0.15958183	-0.86591985
13.6066	-0.74410909	-97.173485	-1.1290448	-101.91754	-0.11462171	-0.9107135	-0.18133245	-0.85918077
13.80655	-0.77292949	-99.187965	-1.1525221	-103.39046	-0.14607883	-0.90311987	-0.20280853	-0.85192997
