Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-15.539295	-179.04326	-17.306021	-179.96456	-0.16709933	-0.0027905279	-0.13636373	-8.4346967e-05
0.20995	-15.469976	-179.42804	-17.302736	-179.2563	-0.16845331	-0.0016816554	-0.13640384	-0.0017706348
0.4099	-15.428585	-178.69991	-17.293491	-178.54997	-0.16922282	-0.003840469	-0.13651688	-0.0034556692
0.60985	-15.430092	-178.2552	-17.278318	-177.84743	-0.16915857	-0.005152895	-0.13670284	-0.005138256
0.8098	-15.420345	-177.51692	-17.257272	-177.15048	-0.16926797	-0.007340318	-0.13696168	-0.0068172001
1.00975	-15.402754	-177.13231	-17.230426	-176.46089	-0.16955793	-0.0084935751	-0.13729339	-0.0084913053
1.2097	-15.392506	-176.34668	-17.197875	-175.78035	-0.16962555	-0.010830424	-0.13769793	-0.010159373
1.40965	-15.359499	-175.99046	-17.15973	-175.11053	-0.17020048	-0.011930055	-0.13817524	-0.011820204
1.6096	-15.340988	-175.37827	-17.116119	-174.453	-0.17042611	-0.013777216	-0.13872527	-0.013472596
1.80955	-15.290567	-174.73279	-17.067186	-173.80922	-0.17125131	-0.01578766	-0.13934796	-0.015115341
2.0095	-15.252077	-174.21005	-17.013089	-173.1806	-0.17186003	-0.01742645	-0.14004324	-0.016747233
2.20945	-15.23738	-173.68317	-16.953999	-172.56843	-0.17198328	-0.019038266	-0.14081101	-0.018367058
2.4094	-15.173024	-173.19965	-16.890094	-171.97389	-0.17309425	-0.020641312	-0.14165118	-0.019973599
2.60935	-15.147102	-172.49237	-16.821565	-171.39807	-0.17334282	-0.022844499	-0.14256366	-0.021565635
2.8093	-15.063987	-172.15776	-16.748607	-170.84194	-0.17487181	-0.024085811	-0.14354833	-0.023141941
3.00925	-15.059678	-171.67488	-16.671421	-170.30636	-0.17474928	-0.025571413	-0.14460506	-0.024701285
3.2092	-14.95195	-171.27003	-16.590212	-169.79208	-0.17674277	-0.027140067	-0.14573371	-0.02624243
3.40915	-14.914118	-170.70114	-16.505186	-169.29976	-0.17723487	-0.029019702	-0.14693415	-0.027764135
3.6091	-14.859105	-170.21194	-16.416552	-168.82994	-0.17810512	-0.030725875	-0.14820621	-0.029265151
3.80905	-14.785477	-169.86879	-16.324516	-168.38306	-0.17943248	-0.032062644	-0.14954973	-0.030744222
4.009	-14.723451	-169.31235	-16.229283	-167.95949	-0.18039627	-0.034045958	-0.15096451	-0.032200087
4.20895	-14.642904	-169.08214	-16.131055	-167.55946	-0.18193738	-0.035094436	-0.15245036	-0.033631477
4.4089	-14.588585	-168.47882	-16.030029	-167.18317	-0.18269673	-0.037240405	-0.15400708	-0.035037118
4.60885	-14.489121	-168.29005	-15.926401	-166.83071	-0.18467574	-0.038277954	-0.15563442	-0.036415725
4.8088	-14.438938	-167.6622	-15.820356	-166.5021	-0.18531277	-0.040532806	-0.15733217	-0.037766007
5.00875	-14.346267	-167.44943	-15.712079	-166.1973	-0.18714706	-0.041662835	-0.15910005	-0.039086667
5.2087	-14.281939	-167.15154	-15.601744	-165.9162	-0.18831745	-0.042952206	-0.16093781	-0.040376398
5.40865	-14.199497	-166.69667	-15.48952	-165.65865	-0.18976314	-0.04486975	-0.16284514	-0.041633886
5.6086	-14.106486	-166.55911	-15.375571	-165.42443	-0.19169666	-0.045813182	-0.16482175	-0.042857808
5.80855	-14.048878	-166.10652	-15.26005	-165.21329	-0.19260197	-0.047640911	-0.16686731	-0.044046833
6.0085	-13.91914	-166.0097	-15.143105	-165.02494	-0.1954184	-0.048688139	-0.16898149	-0.045199622
6.20845	-13.86245	-165.64781	-15.024878	-164.85905	-0.19638454	-0.050248343	-0.17116391	-0.046314829
6.4084	-13.749836	-165.41098	-14.905501	-164.71527	-0.19873517	-0.051725967	-0.1734142	-0.047391097
6.60835	-13.7139	-165.24811	-14.785102	-164.59321	-0.19941064	-0.052507475	-0.17573196	-0.048427064
6.8083	-13.564105	-165.12413	-14.663798	-164.49247	-0.20276339	-0.053859738	-0.17811675	-0.049421357
7.00825	-13.49098	-164.87341	-14.541704	-164.41264	-0.20423799	-0.055209337	-0.18056814	-0.050372596
7.2082	-13.401643	-164.56804	-14.418925	-164.35328	-0.20604926	-0.056879097	-0.18308565	-0.051279395
7.40815	-13.294899	-164.60251	-14.295561	-164.31395	-0.2086317	-0.057456912	-0.1856688	-0.052140359
