Freq_GHz	Norm_dB
0.83	0
1.5	0.025970149
2	0.015970149
2.5	-0.24343284
2.92	-0.21402985
3.58	-0.17149254
3.92	-0.23742985
4.58	-0.24722985
5.08	-0.40402985
5.58	-0.35910448
6.08	-0.38522985
6.67	-0.39722985
7.17	-0.42722985
7.67	-0.34887834
8.17	-0.34895522
8.67	-0.44062985
9.33	-0.60082985
9.83	-0.44925373
10.33	-0.58190864
10.67	-0.47615106
11.17	-0.42362985
11.67	-0.37362985
12.33	-0.63402985
12.83	-0.76860816
13.25	-0.79812624
13.83	-0.67402985
14.33	-0.80925373
14.83	-0.49442985
15.67	-0.56702985
16	-0.50402985
16.5	-1.2840299
17	-0.92402985
17.5	-0.95656716
18	-0.71902985
18.67	-0.67402985
19.17	-0.66615106
19.67	-0.93402985
20.17	-1.2113026
20.67	-1.6672299
21.17	-1.0412299
21.67	-1.1340299
22.17	-0.91722985
22.67	-1.0014925
23.17	-1.0240299
23.67	-1.6140299
24.33	-1.7944299
24.83	-1.8440299
25.33	-1.7940299
25.83	-1.3640299
26.33	-1.8440299
26.83	-2.4740299
27.42	-2.3580299
27.92	-2.8240299
28.42	-2.7537268
29.08	-2.3140299
29.42	-2.1464299
29.92	-1.9760299
30.58	-3.7340299
31.33	-4.4073632
