Freq_GHz	Meas_abs_dB
0.33	-16.26
0.83	-16.33597
1.5	-16.36
2	-16.61
2.5	-17.139403
2.92	-16.95
3.58	-16.637463
4.08	-16.8666
4.42	-16.6168
4.92	-17.05
5.42	-16.789851
6.08	-17.5912
6.42	-17.412133
7	-17.2
7.5	-17.36
8	-17.047463
8.33	-17.182537
8.83	-17.3434
9.33	-18.0068
9.83	-17.545224
10.33	-18.217879
10.83	-17.63
11.17	-17.2696
11.67	-17.3596
12	-17.8998
12.67	-18.04
13.33	-18.036386
13.67	-19.024545
14.17	-18.389552
14.67	-18.1596
15.33	-18.0268
15.67	-18.603
16.5	-19.7
17	-18.76
17.5	-19.392537
18	-19.055
18.5	-18.87
19	-18.615
19.67	-18.55
20.17	-19.917273
20.67	-20.6532
21.17	-19.7972
21.67	-20.11
22.17	-19.7032
22.67	-19.757463
23.17	-19.52
23.67	-20.71
24.33	-21.1504
24.67	-21.24
25.17	-21.43
25.67	-20.754
26	-21.664
26.5	-20.797
27.08	-22.18
27.75	-22.42
28.25	-23.07
28.58	-22.71
29.08	-22.47
29.58	-22.28
30.08	-21.88
